  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0624181             0.766416          0.0621453             0                 0.0610665             0.142412          0.0608283          0
      1          0.0656115             1.09966           0.0621453             0                 0.0616599             0.676807          0.0608283          0.000592038
      2          0.0715819             1.47823           0.0621453             0.133971          0.0667065             1.36298           0.0608333          0.0149086
      3          0.07793               1.6855            0.0632617             0.619442          0.073018              1.66637           0.0609526          0.219646
      4          0.0856277             1.92242           0.0673073             1.78595           0.080593              1.93844           0.0626636          0.597474
      5          0.0939502             2.24402           0.0781446             2.82385           0.0891717             2.10324           0.0659315          1.78252
      6          0.104328              2.61181           0.0908394             3.06858           0.09812               2.10679           0.077518           2.30448
      7          0.115715              2.88275           0.103716              2.49721           0.106728              2.06551           0.0851355          2.16234
      8          0.128351              3.16403           0.111649              2.44462           0.115333              2.17208           0.0955375          2.33032
      9          0.142082              3.38229           0.124088              2.51999           0.124829              2.3949            0.104555           2.30782
     10          0.156537              3.50104           0.132649              2.14222           0.13529               2.60658           0.114769           2.4519
     11          0.171258              3.53485           0.14194               1.14263           0.146551              2.80465           0.124987           2.46439
     12          0.185994              3.4224            0.142171             -0.872857          0.158662              2.93231           0.135306           2.50158
     13          0.199778              3.20816           0.134666             -1.88349           0.170986              3.03134           0.145834           2.34103
     14          0.212728              2.67695           0.126476             -0.966568          0.183923              3.12682           0.154814           1.96928
     15          0.222085              1.49789           0.126611             -0.851438          0.197043              3.151             0.162244           1.43386
     16          0.225211              0.750039          0.11938              -1.73543           0.210182              2.89991           0.166763           1.7886
     17        nan                   nan               nan                   nan                 0.221209              1.60114           0.177149          -0.561306
     18        nan                   nan               nan                   nan                 0.223524              0.555675          0.162086          -3.61531
