  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0632115          0.122661             0.0623044          0                    0.0623873           0.140515            0.0613413          0
      1          0.0637225          0.126006             0.0623044          0.00112209           0.0629728           0.158756            0.0613413          0
      2          0.0642615          0.149598             0.0623138          0.0533296            0.0637103           0.197511            0.0613413          0.00465496
      3          0.0649692          0.275787             0.0627489          0.193692             0.0646187           0.237403            0.0613801          0.0088769
      4          0.0665597          0.432396             0.0639279          0.306034             0.0656886           0.263492            0.0614153          0.021651
      5          0.0685725          0.497706             0.0652991          0.331491             0.0668145           0.287633            0.0615605          0.110203
      6          0.0707073          0.447164             0.0666903          0.435281             0.0680856           0.326064            0.0623336          0.295969
      7          0.0722989          0.386387             0.0689265          0.532208             0.0695317           0.370015            0.0640269          0.501112
      8          0.0739272          0.45991              0.0711254          0.655442             0.071169            0.438486            0.0665096          0.665713
      9          0.0761314          0.581434             0.0743885          0.780808             0.0731857           0.540192            0.0695745          0.727852
     10          0.0787725          0.712034             0.0776321          0.798236             0.0756706           0.603683            0.072575           0.687094
     11          0.0820651          0.798985             0.0810405          0.794167             0.0782164           0.611261            0.0753003          0.618027
     12          0.0854307          0.73106              0.0842502          0.749714             0.0807645           0.602114            0.0777252          0.573589
     13          0.0881572          0.646168             0.0872881          0.737808             0.083234            0.578135            0.0800802          0.59394
     14          0.0908154          0.654665             0.0903986          0.754396             0.0855823           0.555293            0.0826747          0.61413
     15          0.0936128          0.668332             0.0935747          0.76509              0.0878615           0.561897            0.085198           0.602926
     16          0.0963848          0.621751             0.0967743          0.757222             0.0902647           0.56049             0.0876991          0.581329
     17          0.098794           0.580099             0.0998849          0.676234             0.0925322           0.553237            0.0900424          0.584631
     18          0.101219           0.537661             0.10241            0.618122             0.094875            0.563846            0.092571           0.619326
     19          0.103275           0.506153             0.105036           0.635458             0.0972309           0.553074            0.0952034          0.640003
     20          0.105437           0.483338             0.107705           0.610307             0.099484            0.562438            0.0979044          0.63551
     21          0.107302           0.462079             0.110122           0.542853             0.101918            0.560003            0.100499           0.576511
     22          0.109288           0.426739             0.112229           0.461118             0.104151            0.555348            0.102709           0.55145
     23          0.110859           0.410859             0.113964           0.439023             0.106546            0.529042            0.105095           0.544793
     24          0.112711           0.371507             0.115887           0.442354             0.108559            0.471558            0.107249           0.500138
     25          0.113954           0.166087             0.117651           0.388555             0.110475            0.460949            0.109263           0.466579
     26          0.114095           0.140138             0.119125           0.329071             0.112401            0.435997            0.111137           0.432424
     27          0.115122           0.25105              0.120393           0.301504             0.114109            0.404549            0.112866           0.413588
     28          0.116188           0.26214              0.121638           0.290583             0.115772            0.351341            0.114583           0.379975
     29          0.117307           0.219004             0.122815           0.289439             0.117037            0.306361            0.116033           0.362167
     30          0.118013           0.190389             0.12405            0.248126             0.118325            0.308797            0.117601           0.358973
     31          0.118893           0.179411             0.124882           0.203002             0.11961             0.29375             0.119024           0.321896
     32          0.119508           0.158175             0.125742           0.225682             0.120773            0.27356             0.120284           0.301057
     33          0.120211           0.164631             0.126763           0.193057             0.12189             0.266848            0.121533           0.288066
     34          0.12088            0.133169             0.12735            0.146712             0.122997            0.248932            0.122684           0.256402
     35          0.121321           0.113894             0.127986           0.11991              0.123964            0.240272            0.123669           0.247254
     36          0.121829           0.125958             0.12835            0.158276             0.124999            0.239947            0.124745           0.25494
     37          0.122371           0.112819             0.129304           0.145972             0.125964            0.21494             0.125794           0.228688
     38          0.122769           0.0978873            0.129566           0.0957514            0.12679             0.20969             0.126651           0.218296
     39          0.123187           0.102161             0.130102           0.131749             0.127711            0.21337             0.127613           0.226632
     40          0.12362            0.0967877            0.130664           0.119261             0.128568            0.191124            0.128539           0.18766
     41          0.123993           0.0874153            0.131096           0.0945987            0.129304            0.161029            0.129177           0.156861
     42          0.124349           0.0883358            0.131452           0.121971             0.12991             0.137863            0.129846           0.152964
     43          0.124729           0.0828841            0.132113           0.124092             0.130453            0.121083            0.130452           0.129256
     44          0.125039           0.0706564            0.132486           0.103971             0.130919            0.12655             0.130923           0.117132
     45          0.125318           0.0580162            0.132979           0.102648             0.131507            0.113126            0.131428           0.109879
     46          0.125523           0.0487432            0.133342           0.091205             0.131862            0.0955891           0.131839           0.0907176
     47          0.125724           0.0592312            0.133739           0.0454834            0.132304            0.088336            0.132184           0.0743711
     48          0.126016           0.0593432            0.133721           0.0362504            0.132598            0.0735051           0.132459           0.0736675
     49          0.126219           0.0336271            0.134041           0.0876703            0.132916            0.0779435           0.132798           0.0731262
     50          0.126297           0.0245505            0.134451           0.0606025            0.133247            0.0703657           0.133068           0.0523412
     51          0.126423           0.0321966            0.134546          -0.0344037            0.133503            0.0506092           0.133234           0.0468744
     52          0.126565           0.0366648            0.134165          -0.0927901            0.133669            0.0325306           0.133459           0.0377268
     53          0.126729           0.0215406            0.133773          -0.140693             0.133774            0.0296618           0.133548           0.0316646
     54          0.126744           0.0178542            0.132992          -0.0375477            0.133916            0.0398919           0.133723           0.0329636
     55          0.126878           0.0287109            0.13346            0.0809927            0.134106            0.0492018           0.133823           0.0333425
     56          0.126984           0.0236884            0.133667           0.037755             0.134326            0.0293912           0.134001           0.0291747
     57          0.127075           0.020187             0.133775           0.0180015            0.134351            0.0147768           0.134066           0.0269013
     58          0.127152           0.0183099            0.133817           0.0235645            0.134449            0.025494            0.134225           0.0303655
     59          0.127228           0.018036             0.133971           0.00840993           0.134564            0.0304738           0.134319           0.0280921
     60          0.127302           0.0221196            0.133887           0.0270692            0.134703            0.0346416           0.134459           0.024628
     61          0.127412           0.0280064            0.134197           0.0823974            0.134852            0.0240326           0.134524           0.0198648
     62          0.127536           0.023135             0.134574           0.0932754            0.134904            0.0184033           0.134624           0.0290664
     63          0.127605           0.027131             0.134974           0.0566244            0.135006            0.0279298           0.134767           0.0315563
     64          0.127762           0.0254343            0.135046           0.0287498            0.135136            0.0326389           0.134887           0.0150474
     65          0.127817           0.0122337            0.135214           0.0494456            0.135278            0.0266307           0.134892           0.0150474
     66          0.127864           0.0188513            0.135458          -0.00528753           0.135358            0.0210556           0.135013           0.0205684
     67          0.127974           0.0220913            0.135169           0.00421749           0.135453            0.0291206           0.135063           0.0181327
     68          0.128048           0.0244465            0.135493           0.0119264            0.135601            0.0296618           0.135164           0.0217592
     69          0.128178           0.0173785            0.135269          -0.292655             0.1357              0.022517            0.135245           0.0122328
     70          0.128193           0.0217585            0.133054          -0.27027              0.135789            0.0307985           0.135266           0.0283628
     71          0.128359           0.0406285            0.133017          -0.08019              0.135957            0.0383222           0.135481           0.0522871
     72          0.128531           0.0398604            0.132386          -0.243891             0.136108            0.0310692           0.135702           0.0136401
     73          0.128691           0.0297238            0.130984          -0.173352             0.136216            0.0245739           0.135595           0.0160759
     74          0.128779           0.0136107            0.130941           0.0290165            0.136313            0.0253858           0.135836           0.0376727
     75          0.128804           0.0201906            0.131226           0.0242923            0.136427            0.0232207           0.135909           0.0146144
     76          0.128947           0.0282836            0.131144           0.0216367            0.136506            0.0279298           0.135957           0.0187822
     77          0.12904            0.0257579            0.131406           0.0464306            0.13666             0.0339379           0.136065           0.0269555
     78          0.129162           0.0300567            0.131531           0.0148826            0.136789            0.0203519           0.136182           0.0174832
     79          0.129291           0.027593             0.13153           -0.00515716           0.13683             0.0224629           0.136211           0.0223546
     80          0.129392           0.0287837            0.131488           0.00594886           0.136976            0.0315563           0.136368           0.0205684
     81          0.12953            0.0260238            0.13158            0.0288408            0.137093            0.0290664           0.136382          -0.00589989
     82          0.129609           0.0203293            0.131728           0.0167086            0.137218            0.0316646           0.136319           0.0027605
     83          0.1297             0.0191558            0.131719           0.00167319           0.137357            0.0299325           0.136405           0.0190529
     84          0.129768           0.0186207            0.131742           0.0299683            0.137468            0.0264683           0.136478           0.0428689
     85          0.129855           0.0160653            0.131969           0.011499             0.137577            0.0187281           0.136762           0.0210556
     86          0.129902           0.0219615            0.131838          -0.00247023           0.137624            0.0327471           0.136653          -0.000162382
     87          0.130038           0.0315506            0.131948           0.0401446            0.13785             0.0379975           0.136761           0.0265766
     88          0.130165           0.0258696            0.132172           0.0269423            0.137941            0.0330719           0.136875           0.0246821
     89          0.130254           0.0146973            0.132173          -0.00710086           0.138126            0.0388635           0.136967           0.0170501
     90          0.130287           0.0125727            0.132113           0.0119869            0.138265            0.0311233           0.137017           0.01613
     91          0.130358           0.00726247           0.132273           0.0164046            0.138385            0.0326389           0.137101           0.0219216
     92          0.130348           0.0131854            0.13225            0.0123973            0.138536            0.0269555           0.1372             0.00746959
     93          0.130468           0.0305288            0.132376           0.00929536           0.13861             0.0233831           0.137163           0.00541274
     94          0.130602           0.0260416            0.132327           0.00583432           0.138731            0.0345874           0.137245           0.017429
     95          0.130685           0.0242618            0.132425           0.00700877           0.138898            0.0214345           0.137309           0.0155346
     96          0.130805           0.0198132            0.132386           0.0184269            0.13891             0.0310692           0.137374           0.0164547
     97          0.13085            0.010925             0.132578          -0.00762362           0.139157            0.0343168           0.137446           0.014019
     98          0.130896           0.0140581            0.132322          -0.000575727          0.139196            0.0228418           0.137491           0.0154804
     99          0.130968           0.010706             0.132573           0.0282985            0.139347            0.0311774           0.137575           0.0177538
    100          0.130985           0.0233865            0.132558           0.0190561            0.139456            0.0296077           0.137639           0.0236537
    101          0.131162           0.0254103            0.132732           0.0151632            0.139594            0.0227877           0.137772           0.0275509
    102          0.131197           0.0110916            0.132684           0.00347402           0.139646            0.0267931           0.137868           0.0160759
    103          0.131255           0.0156093            0.132761          -0.00170825           0.139817            0.0328554           0.137906           0.0139108
    104          0.131327           0.0246888            0.13267           -0.00737076           0.139919            0.0228418           0.137984           0.0182409
    105          0.131461           0.0328947            0.1327             0.0163722            0.140007            0.0266307           0.138058           0.0108796
    106          0.131601           0.0178155            0.132807           0.0142496            0.140141            0.0299866           0.138075           0.0119622
    107          0.131609           0.0135596            0.132818           0.00711687           0.140257            0.0293371           0.138158           0.0294995
    108          0.131714           0.0219995            0.132866           0.0277609            0.140386            0.0334508           0.138321           0.0333966
    109          0.131792           0.0152379            0.13305            0.0354917            0.140536            0.029716            0.138436           0.0166171
    110          0.131841           0.0201594            0.133162           0.0123053            0.140633            0.0230042           0.138459           0.00909341
    111          0.13196            0.0181258            0.133152           0.00865229           0.140728            0.0282004           0.138512           0.0138025
    112          0.131992           0.0101223            0.133234           0.0233393            0.140868            0.0435185           0.138574           0.0184575
    113          0.132045           0.00512597           0.133347          -0.00367452           0.14109             0.0384846           0.138665           0.0188905
    114          0.132035           0.0203727            0.133203           0.000281979          0.141189            0.0264142           0.138732           0.0181868
    115          0.132215           0.025227             0.133349           0.00452634           0.141311            0.0315022           0.138817           0.0166713
    116          0.132245           0.0138723            0.133241           0.00105742           0.141452            0.0243574           0.138871           0.0130988
    117          0.13233            0.0149858            0.133358           0.0147785            0.141514            0.0173208           0.138926           0.0193235
    118          0.13237            0.0118407            0.133364           0.0057193            0.141596            0.0282004           0.139032           0.0184033
    119          0.132429           0.0109883            0.133406          -0.0125407            0.141749            0.0324765           0.13908            0.0208932
    120          0.132461           0.00990287           0.13326           -0.00773962           0.141867            0.0285252           0.139206           0.0316646
    121          0.132511           0.0178704            0.133341           0.0252347            0.141986            0.027172            0.139343           0.0192152
    122          0.13261            0.0227322            0.13347            0.00791197           0.142093            0.0231124           0.139366           0.0117998
    123          0.132701           0.0219316            0.133407           0.00405794           0.142179            0.0265766           0.139442           0.0218675
    124          0.132793           0.0211462            0.133504           0.0179939            0.142315            0.0208932           0.139548           0.00882277
    125          0.132877           0.0182444            0.133557           0.0085656            0.142353            0.0133154           0.139515           0.00400543
    126          0.132945           0.0164892            0.133575          -0.0310486            0.142426            0.0245739           0.139582           0.0240326
    127          0.133014           0.0138689            0.133298          -0.024164             0.142558            0.0177538           0.139716           0.0228418
    128          0.133061           0.0155705            0.133374           0.0282455            0.142574            0.0185657           0.139772           0.0155887
    129          0.133144           0.012427             0.133534          -0.00725865           0.142712            0.0270096           0.139845           0.0224629
    130          0.133164           0.0188857            0.133313          -0.0381742            0.142799            0.0202437           0.139959           0.00974294
    131          0.133302           0.0230682            0.133216          -0.0273969            0.142881            0.0251693           0.139927           0.00725308
    132          0.133356           0.0132136            0.133085          -0.0270563            0.143008            0.0262518           0.14002            0.021218
    133          0.133412           0.00869482           0.13299           -0.0966268            0.1431              0.0215969           0.140103           0.0243574
    134          0.133429           0.0111458            0.13228           -0.0744799            0.143188            0.0234372           0.140223           0.0164547
    135          0.133505           0.012911             0.132369          -0.0145302            0.143295            0.0204602           0.140241           0.00357241
    136          0.133536           0.0175113            0.132159          -0.0171863            0.143359            0.0204602           0.140252           0.0108255
    137          0.13365            0.0189199            0.132226           0.0116335            0.143466            0.0240867           0.140331           0.0121245
    138          0.133694           0.0182202            0.132256           0.000478114          0.14356             0.0218134           0.140353           0.01272
    139          0.133802           0.0212493            0.13223            0.00874098           0.143647            0.0247904           0.140437           0.0153181
    140          0.133871           0.0147783            0.132328           0.0198263            0.143766            0.0274426           0.140481           0.0163465
    141          0.133925           0.0150523            0.132395           0.0205647            0.143876            0.0287958           0.140573           0.0220299
    142          0.133997           0.0197476            0.1325             0.0170011            0.144006            0.0236537           0.140665           0.0154804
    143          0.13409            0.0230316            0.132537           0.0114192            0.144073            0.0117998           0.140702           0.00876865
    144          0.134188           0.0145742            0.132595           0.00860649           0.144104            0.0161841           0.140738           0.0130447
    145          0.134211           0.017781             0.132609          -0.00371013           0.144208            0.0266848           0.140811           0.0252234
    146          0.134337           0.0286244            0.132564           0.0017654            0.144327            0.0219216           0.140948           0.0213803
    147          0.13445            0.0132927            0.132624           0.0143687            0.144391            0.0169419           0.140989           0.00286875
    148          0.134447           0.0166347            0.132684           0.0110507            0.144468            0.0284169           0.140972           0.0165089
    149          0.134589           0.0165569            0.132716           0.0056835            0.144628            0.0266848           0.141126           0.026739
    150          0.134585           0.0119944            0.132731           0.0121981            0.14469             0.0173749           0.141195           0.0218134
    151          0.134689           0.0153357            0.132817           0.0177838            0.144772            0.0274967           0.141308           0.0320434
    152          0.134713           0.0253853            0.132879           0.00589535           0.144919            0.0263601           0.141462           0.017429
    153          0.1349             0.0151482            0.132866           0.00573974           0.144992            0.0193776           0.141454           0.00806499
    154          0.134839           0.0100115            0.132927           0.0230118            0.145081            0.0201895           0.141529           0.01954
    155          0.134984           0.0257166            0.133058           0.00687669           0.14516             0.0219757           0.141616           0.0248986
    156          0.135054           0.0129735            0.132984           0.00269488           0.145264            0.0224629           0.141736           0.0223546
    157          0.135092           0.060352             0.133081           0.0219128            0.145348            0.0232748           0.141803           0.0150474
    158          0.135557           0.0628558            0.133167           0.000783086          0.145458            0.028038            0.141862           0.0184575
    159          0.135615          -0.0205185            0.133087          -0.0011466            0.145581            0.0195941           0.141956           0.0190529
    160          0.135386          -0.020821             0.133157           0.010136             0.145621            0.0210014           0.14202            0.0159676
    161          0.135442           0.0115248            0.133172           0.00206388           0.145756            0.0192152           0.14209            0.0142896
    162          0.135482           0.0482462            0.133175           0.00527437           0.145781            0.00979707          0.14214            0.0120704
    163          0.135844           0.0503837            0.133216           0.0164652            0.145838            0.0158593           0.14219            0.0158052
    164          0.135902           0.0136118            0.133312           0.0215102            0.145914            0.0264683           0.142271           0.0238161
    165          0.135957           0.0108422            0.133395          -0.00435078           0.146058            0.0249528           0.142389           0.0191611
    166          0.135992           0.011355             0.133276          -0.0101352            0.146122            0.0161841           0.142431           0.00844388
