  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0622009             0.599815                nan                  nan          0.0613918             0.278035                nan                  nan
      1          0.0647001             0.734324                nan                  nan          0.0625503             0.528536                nan                  nan
      2          0.0683202             0.855145                nan                  nan          0.0657963             0.853773                nan                  nan
      3          0.0718263             0.847253                nan                  nan          0.0696651             0.934058                nan                  nan
      4          0.0753807             0.877823                nan                  nan          0.0735801             0.959168                nan                  nan
      5          0.0791415             0.911219                nan                  nan          0.0776581             0.984169                nan                  nan
      6          0.0829742             0.952835                nan                  nan          0.0817815             1.01262                 nan                  nan
      7          0.0870818             1.02273                 nan                  nan          0.0860966             1.04694                 nan                  nan
      8          0.0914969             1.12942                 nan                  nan          0.090506              1.12286                 nan                  nan
      9          0.0964936             1.27767                 nan                  nan          0.0954538             1.26447                 nan                  nan
     10          0.102144              1.52007                 nan                  nan          0.101043              1.42978                 nan                  nan
     11          0.109161              1.8399                  nan                  nan          0.107369              1.61503                 nan                  nan
     12          0.117477              2.0639                  nan                  nan          0.114502              1.78789                 nan                  nan
     13          0.12636               2.1482                  nan                  nan          0.122268              1.91036                 nan                  nan
     14          0.135378              2.15744                 nan                  nan          0.130422              1.97394                 nan                  nan
     15          0.144339              2.13296                 nan                  nan          0.138717              2.00061                 nan                  nan
     16          0.153153              2.10236                 nan                  nan          0.147093              2.00241                 nan                  nan
     17          0.161858              2.05744                 nan                  nan          0.155404              1.97443                 nan                  nan
     18          0.170298              2.01179                 nan                  nan          0.163547              1.95113                 nan                  nan
     19          0.178623              1.97942                 nan                  nan          0.171663              1.93574                 nan                  nan
     20          0.186793              1.946                   nan                  nan          0.179678              1.91737                 nan                  nan
     21          0.19484               1.91152                 nan                  nan          0.187641              1.91198                 nan                  nan
     22          0.202723              1.8677                  nan                  nan          0.195611              1.90038                 nan                  nan
     23          0.210404              1.77501                 nan                  nan          0.203478              1.87623                 nan                  nan
     24          0.217515              1.36971                 nan                  nan          0.211246              1.85005                 nan                  nan
     25          0.221818              0.733706                nan                  nan          0.218895              1.60139                 nan                  nan
     26          0.223629              0.434501                nan                  nan          0.224591              1.36711                 nan                  nan
