  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0621815             0.135661          0.0615424           0                   0.0612242              1.0514           0.0610005            0
      1          0.0627468             0.179459          0.0615424           0                   0.065605               1.43683          0.0610005            0
      2          0.063677              0.381978          0.0615424           0                   0.0731978              2.02451          0.0610005            0.0801512
      3          0.0659299             0.603831          0.0615424           0                   0.082476               2.32899          0.0616685            0.817585
      4          0.0687089             0.754452          0.0615424           0                   0.0926061              2.43132          0.0678137            1.07325
      5          0.072217              0.878339          0.0615424           0                   0.102737               2.41916          0.0706123            1.79081
      6          0.0760284             0.888168          0.0615424           0                   0.112766               2.41675          0.0827372            1.78631
      7          0.0796184             0.874343          0.0615424           0                   0.122877               2.37989          0.0854982            1.6207
      8          0.0833146             0.865378          0.0615424           0                   0.132598               2.27322          0.096243             1.53616
      9          0.0868299             0.821202          0.0615424           0.00502248          0.14182                2.31903          0.0982995            1.31199
     10          0.090158              0.786531          0.0615843           0.0472545           0.151923               2.48812          0.107176             1.44679
     11          0.0933843             0.776756          0.0619362           0.0995855           0.162554               2.63835          0.110356             1.53814
     12          0.0966309             0.765253          0.0624142           0.108226            0.17391                2.82211          0.119994             1.78326
     13          0.0997614             0.760014          0.0628381           0.132907            0.186072               2.90955          0.125217             1.75609
     14          0.102964              0.769411          0.0635217           0.240863            0.198156               2.94946          0.134628             1.83957
     15          0.106173              0.775568          0.0648453           0.298378            0.210651               2.69708          0.140546             1.78417
     16          0.109427              0.795333          0.0660082           0.311556            0.220631               2.39536          0.149496             2.14801
     17          0.112801              0.795117          0.0674416           0.256848          nan                    nan              nan                  nan
     18          0.116053              0.787611          0.0681486           0.300268          nan                    nan              nan                  nan
     19          0.119364              0.804946          0.0699438           0.600321          nan                    nan              nan                  nan
     20          0.122761              0.824334          0.0731513           0.752615          nan                    nan              nan                  nan
     21          0.126234              0.853011          0.0762156           0.779672          nan                    nan              nan                  nan
     22          0.12987               0.891787          0.0796486           0.663939          nan                    nan              nan                  nan
     23          0.133665              0.909878          0.0817485           0.839078          nan                    nan              nan                  nan
     24          0.137452              0.928996          0.0866409           0.889032          nan                    nan              nan                  nan
     25          0.141407              0.968852          0.0891571           0.555821          nan                    nan              nan                  nan
     26          0.145526              0.996233          0.0912727           0.666801          nan                    nan              nan                  nan
     27          0.149709              1.01319           0.0947137           1.01227           nan                    nan              nan                  nan
     28          0.153969              1.02561           0.0997083           0.976143          nan                    nan              nan                  nan
     29          0.158256              1.03312           0.102848            0.728637          nan                    nan              nan                  nan
     30          0.162578              1.04937           0.10578             0.915927          nan                    nan              nan                  nan
     31          0.167                 1.05828           0.110481            0.798358          nan                    nan              nan                  nan
     32          0.171397              1.06363           0.112433            0.44727           nan                    nan              nan                  nan
     33          0.175864              1.05704           0.114208            0.927862          nan                    nan              nan                  nan
     34          0.180206              1.02518           0.120165            1.20059           nan                    nan              nan                  nan
     35          0.184407              1.0221            0.124213            0.831679          nan                    nan              nan                  nan
     36          0.188724              1.01918           0.127096            0.743219          nan                    nan              nan                  nan
     37          0.1929                0.997313          0.130407            0.692886          nan                    nan              nan                  nan
     38          0.197035              0.995855          0.13287             0.597567          nan                    nan              nan                  nan
     39          0.201199              0.991102          0.135386            0.885252          nan                    nan              nan                  nan
     40          0.205294              0.951786          0.140247            1.00352           nan                    nan              nan                  nan
     41          0.209131              0.916197          0.143749            0.834163          nan                    nan              nan                  nan
     42          0.212929              0.906778          0.147199            0.952812          nan                    nan              nan                  nan
     43          0.216687              0.858274          0.151689            0.891463          nan                    nan              nan                  nan
     44          0.220081              0.710809          0.154627            0.752615          nan                    nan              nan                  nan
     45          0.222611              0.491668          0.157961            0.653084          nan                    nan              nan                  nan
     46          0.224178              0.299537          0.16007             0.83843           nan                    nan              nan                  nan
     47          0.225107              0.222868          0.164948            1.17072           nan                    nan              nan                  nan
