  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0636773          0.1307               0.0623254           0                   0.0627569          0.141388             0.0617245          0.00646594
      1          0.0642219          0.11469              0.0623254           0                   0.063346           0.153512             0.0617515         -0.0012393
      2          0.0646331          0.105749             0.0623254           0                   0.0640361          0.183471             0.0617142         -0.00538828
      3          0.0651031          0.117497             0.0623254           0                   0.0648749          0.198235             0.0617066          0.00463392
      4          0.0656122          0.0971718            0.0623254           0                   0.0656881          0.197049             0.0617528          0
      5          0.0659129          0.0925934            0.0623254           0                   0.066517           0.201145             0.0617066         -0.00554993
      6          0.0663838          0.113866             0.0623254           0.00378057          0.0673643          0.199474             0.0617066          0
      7          0.0668618          0.117097             0.0623569           0.00209616          0.0681793          0.199312             0.0617066          0
      8          0.0673596          0.145185             0.0623429           0.00752371          0.0690252          0.205078             0.0617066          0.0037718
      9          0.0680717          0.159832             0.0624196           0.00359341          0.0698882          0.200552             0.061738           0
     10          0.0686916          0.155838             0.0623728           0.0615372           0.0706965          0.196888             0.0617066         -0.0037718
     11          0.0693703          0.145121             0.0629324           0.0551364           0.071529           0.198127             0.0617066          0.000754359
     12          0.0699009          0.160843             0.0628323          -0.0155715           0.0723475          0.195487             0.0617129          0.00199366
     13          0.0707107          0.188579             0.0628027          -0.00640076          0.073158           0.190206             0.0617232         -0.000754359
     14          0.0714724          0.182703             0.062779            0.0688737           0.0739326          0.193816             0.0617066          0.00651982
     15          0.0722332          0.178039             0.0633766           0.105182            0.0747732          0.202815             0.0617775          0.0409509
     16          0.0729561          0.185622             0.0636555          -0.0711945           0.0756227          0.197588             0.0620478          0.0203677
     17          0.07378            0.197173             0.0627833          -0.030544            0.0764197          0.1922               0.0619473          0.0360476
     18          0.0745992          0.18944              0.0634009           0.0926426           0.0772244          0.190853             0.0623482          0.101731
     19          0.0753587          0.184499             0.0635553           0.0723923           0.0780102          0.17846              0.062795           0.0236546
     20          0.0761367          0.208484             0.0640042           0.0107802           0.0787116          0.167683             0.0625454          0.114986
     21          0.0770961          0.239577             0.0636452           0.123748            0.0794075          0.172533             0.0637532          0.115255
     22          0.0781331          0.239471             0.0650354           0.173981            0.0801493          0.179915             0.0635058          0.0876673
     23          0.0790917          0.232262             0.065095            0.132619            0.0809068          0.180831             0.0644838          0.126571
     24          0.0800686          0.250952             0.0661406           0.18274             0.0816562          0.185141             0.0645606          0.075382
     25          0.0811829          0.258212             0.0666179           0.122588            0.0824497          0.181208             0.065112           0.132067
     26          0.0822204          0.245256             0.0671622           0.0425969           0.0831663          0.186596             0.0656611          0.175496
     27          0.0832267          0.2338               0.0669728           0.156126            0.0840046          0.207395             0.0665744          0.254973
     28          0.0841687          0.25634              0.0684632           0.268121            0.0848946          0.218171             0.0677859          0.266774
     29          0.0853629          0.276481             0.0692072           0.319978            0.0858227          0.224584             0.0687976          0.162079
     30          0.0864728          0.268972             0.0711297           0.28227             0.0867661          0.234229             0.0691366          0.292314
     31          0.0876043          0.265018             0.0715594           0.286902            0.0877746          0.243281             0.0712335          0.257129
     32          0.0886812          0.260134             0.0735206           0.112963            0.0887935          0.245867             0.0712793          0.214939
     33          0.0897721          0.255782             0.0725008           0.277782            0.0898235          0.244143             0.0730247          0.349484
     34          0.0908128          0.26829              0.0758354           0.463651            0.090828           0.242796             0.0741917          0.228679
     35          0.0920079          0.299803             0.0763645           0.255781            0.0918468          0.239792             0.0749303         -0.0590556
     36          0.0933111          0.250477             0.0779669           0.215713            0.0928263          0.242149             0.0736996          0.104317
     37          0.0940952          0.192471             0.0781622           0.193754            0.0938647          0.272526             0.0757996          0.337414
     38          0.094915           0.193719             0.0795815           0.0648653           0.0950973          0.240533             0.0765113          0.118434
     39          0.0957095          0.223491             0.0787027           0.112436            0.0958692          0.237623             0.0767866          0.365864
     40          0.0967775          0.216198             0.0805185           0.486655            0.0970775          0.248184             0.0795602          0.42131
     41          0.0975112          0.214259             0.0827582           0.456392            0.0979374          0.241072             0.0802975          0.16833
     42          0.098563           0.228068             0.0843218           0.245393            0.0990864          0.242095             0.080963           0.29156
     43          0.0994117          0.18369              0.0848031           0.308848            0.0999548          0.208473             0.0827272          0.316346
     44          0.100094           0.210692             0.0868955           0.254587            0.100824           0.178464             0.0835992          0.213753
     45          0.101168           0.241642             0.0869247           0.318468            0.101442           0.189991             0.0845084          0.175496
     46          0.102107           0.220181             0.0895494           0.270103            0.102407           0.2311               0.0850616          0.172694
     47          0.103002           0.197765             0.0891755           0.413973            0.103368           0.188267             0.0859476          0.0870207
     48          0.103755           0.252303             0.0929992           0.383343            0.103976           0.165905             0.0857868          0.366511
     49          0.105105           0.237137             0.09237             0.0791438           0.10475            0.169785             0.0890018          0.196457
     50          0.105732           0.174801             0.0936587           0.233659            0.105391           0.175766             0.087424          -0.0333535
     51          0.106562           0.178238             0.0943172           0.307768            0.106215           0.165851             0.0887239          0.147801
     52          0.107217           0.15496              0.0962234           0.149382            0.106773           0.152273             0.0886556          0.422549
     53          0.107853           0.192685             0.0955621           0.101143            0.107484           0.150549             0.0922451          0.213322
     54          0.108823           0.204375             0.0970663           0.461282            0.108027           0.15723              0.0904333          0.0194517
     55          0.109556           0.176785             0.0994061           0.433109            0.108794           0.160517             0.0924072          0.247807
     56          0.110296           0.181427             0.100676            0.0936955           0.109365           0.13961              0.0924984          0.0576546
     57          0.111068           0.174217             0.100187            0.111664            0.109958           0.134923             0.0928877          0.0668686
     58          0.111748           0.0655028            0.101606           -0.0641726           0.110489           0.128187             0.0930556          0.178406
     59          0.111614           0.043712             0.0996521           0.0974029           0.111026           0.104748             0.0943744          0.237946
     60          0.112112           0.130573             0.102418            0.1917              0.111362           0.11601              0.0950385          0.300019
     61          0.112702           0.147446             0.10125             0.250578            0.111993           0.123769             0.0968745          0.197265
     62          0.113341           0.119218             0.104506            0.00734541          0.112394           0.0959114            0.0966824          0.0816324
     63          0.113695           0.111471             0.101311            0.161307            0.112792           0.101406             0.0975548          0.193385
     64          0.11427            0.149698             0.10585             0.114912            0.113239           0.104964             0.0982939          0.0439684
     65          0.114943           0.0979321            0.102268           -0.118796            0.113667           0.0857288            0.0979212          0.112022
     66          0.115086           0.0768245            0.10486             0.319764            0.113953           0.0676229            0.0992274          0.301851
     67          0.115583           0.103035             0.104933            0.0936833           0.11423            0.0796927            0.100437           0.184225
     68          0.115944           0.0777772            0.105641            0.0414798           0.114617           0.0881523            0.100763           0.110406
     69          0.116231           0.0840817            0.105279            0.189075            0.114965           0.0869668            0.101357           0.0743583
     70          0.116645           0.0962453            0.107216           -0.0199765           0.115342           0.0838955            0.101382           0.0668686
     71          0.117033           0.0722503            0.105112           -0.0232192           0.115664           0.0737117            0.101914           0.00484945
     72          0.117247           0.0722245            0.107023            0.137139            0.115956           0.0656831            0.101423          -0.0163265
     73          0.117635           0.0662856            0.106255            0.303534            0.116211           0.0418669            0.101778           0.223236
     74          0.117799           0.0670071            0.109552            0.27834             0.116305           0.0320603            0.103283           0.11865
     75          0.118193           0.0989574            0.108575            0.119462            0.116478           0.0660064            0.102767          -0.0119081
     76          0.118624           0.0736886            0.110548            0.0509              0.116855           0.0732806            0.103184           0.0425135
     77          0.118808           0.0494767            0.108999            0.178365            0.117089           0.0604026            0.103121          -0.170647
     78          0.119036           0.0671457            0.112034            0.288178            0.117359           0.0619652            0.101762          -0.0414359
     79          0.119367           0.0693464            0.1114             -0.123291            0.117606           0.0604026            0.102776           0.38607
     80          0.119614           0.0709726            0.111007           -0.0649778           0.117862           0.0502188            0.104979           0.0894993
     81          0.119959           0.0621041            0.110859           -0.0190799           0.118024           0.0316831            0.103521          -0.0642822
     82          0.120132           0.0604924            0.110848           -0.0657038           0.118126           0.05884              0.104443           0.0237623
     83          0.120463           0.034657             0.110311            0.0622045           0.118514           0.0648749            0.103719          -0.043699
     84          0.120421           0.0315454            0.111366            0.0359364           0.118667           0.0382568            0.104079          -0.0144945
     85          0.120726           0.0518005            0.110611            0.068374            0.118833           0.040897             0.103599           0.250717
     86          0.120852           0.00889065           0.111936            0.0489867           0.119007           0.0404121            0.106168           0.184171
     87          0.1208            -0.0378526            0.111019           -0.0734559           0.11917            0.0199905            0.105133          -0.0296894
     88          0.120537           0.0112326            0.111324            0.114105            0.119174           0.00549605           0.105921           0.0757053
     89          0.120893           0.0553931            0.11197             0.13787             0.119216           0.0234929            0.105764           0.187782
     90          0.120998           0.0194331            0.112473           -0.0368616           0.11937            0.0310365            0.107486          -0.0644438
     91          0.121055           0.0203209            0.111663           -0.0200167           0.119474           0.0211221            0.105227          -0.170108
     92          0.121168           0.0121808            0.112306           -0.0694441           0.119546           0.0164881            0.106068          -0.0469319
     93          0.121157           0.0219779            0.111084            0.0349309           0.119612           0.0233851            0.104836           0.193439
     94          0.121351           0.0347973            0.112597            0.17616             0.119741           0.0065737            0.10768            0.136377
     95          0.121447           0.00831304           0.112552            0.228715            0.119667           0.00323297           0.105973          -0.0162726
     96          0.12142            0.0099781            0.114503           -0.0386082           0.119768           0.02942              0.107545          -0.0191284
     97          0.12153            0.0250925            0.11223            -0.215633            0.119912           0.0319525            0.105813          -0.055176
     98          0.121629           0.0359274            0.112706            0.181965            0.120034           0.0127702            0.107085           0.0422441
     99          0.121829           0.0273494            0.113747            0.086999            0.120018           0.012393             0.106165          -0.0707481
    100          0.121857          -0.00394922           0.113431           -0.0775481           0.120137           0.0242473            0.106495           0.0136323
    101          0.121796          -0.00647714           0.1131             -0.00776965          0.12022            0.00422304           0.106279           0.100707
    102          0.121803           0.00795226           0.113366           -0.0476018           0.120172          -0.00177813           0.107335          -0.00678923
    103          0.121863           0.00370328           0.112704            0.0182626           0.120205           0.00287004           0.106222          -0.0287195
    104          0.121834           0.0187458            0.113519            0.0513322           0.120196           0.0199905            0.107095           0.047794
    105          0.122019           0.0132266            0.113131           -0.302803            0.120372           0.0163459            0.106621          -0.146184
    106          0.121944           0.0229562            0.110995           -0.0729314           0.120332           0.00484945           0.105877          -0.16833
    107          0.12221            0.0266702            0.112524            0.272856            0.120412           0.0246783            0.105218           0.180992
    108          0.122167          -0.00809215           0.113269           -0.0240211           0.120538           0.0185896            0.107385           0.0640128
    109          0.122143          -0.0131443            0.112324            0.201958            0.120567           0.0107766            0.105751          -0.0584628
    110          0.122057          -0.0141001            0.114952           -0.0576648           0.120628          -0.0143328            0.106898          -0.15001
    111          0.122025           0.00319702           0.111843           -0.129359            0.120448           0.000215531          0.104501          -0.0307132
    112          0.122084           0.0163088            0.113874            0.0214926           0.12063            0.0379335            0.106642           0.0205293
    113          0.122161           0.00355519           0.112022           -0.198775            0.120764          -0.00134707           0.104672           0.0531823
    114          0.122113           0.0243395            0.112218            0.0868891           0.120618          -0.0037718            0.107085           0.225931
    115          0.122364           0.0198065            0.112746            0.250369            0.120733           0.0253788            0.106555           0.00743583
    116          0.122278          -0.0211745            0.114304            0.032551            0.12083            0.00392127           0.107147           0.011477
    117          0.122187          -0.0183583            0.113017           -0.0670188           0.120765          -0.015346             0.106651          -0.0474169
    118          0.122125           0.00681554           0.113745           -0.0352463           0.120702           0.00352006           0.106752          -0.0107766
    119          0.122244           0.0162035            0.112724           -0.00272369          0.120795           0.0233002            0.106561           0.00452616
    120          0.12226           -0.00871842           0.113723           -0.055397            0.120896           0.0151356            0.10679            0.0413281
    121          0.122172           0.0119686            0.112262           -0.00706543          0.120921           0.00476211           0.106905           0.0296355
    122          0.12236            0.0224926            0.113664            0.0539641           0.120936           0.00398733           0.107037          -0.0200444
    123          0.122359           0.00324227           0.112712            0.0336275           0.120954           0.0158415            0.106738          -0.0103455
    124          0.122387          -0.00230964           0.113944           -0.149667            0.121068          -0.00474169           0.106951          -0.187889
    125          0.12234           -0.0119869            0.111465            0.00183578          0.120914           0.00280191           0.105172           0.0318986
    126          0.122287           0.00681554           0.113959            0.0218341           0.121091           0.0257021            0.107216           0.127541
    127          0.122397           0.00477799           0.111646           -0.148025            0.121129           0.0130935            0.106235          -0.00463392
    128          0.122327           0.00275124           0.112726            0.096398            0.1212             0.0142789            0.107178           0.0483329
    129          0.122419           0.00901508           0.11245             0.0977013           0.121248           0.0176736            0.106638           0.0922474
    130          0.122402           0.00826196           0.11354             0.202659            0.121348           0.0224691            0.107947          -0.0202061
    131          0.122488           0.00103673           0.114139            0.0873046           0.121435          -0.00398733           0.10647           -0.00592711
    132          0.122411          -0.0203422            0.114268           -0.166807            0.121314          -0.0264026            0.107897          -0.00711253
    133          0.122319           0.0104575            0.112749           -0.00398386          0.121215           0.0072203            0.10641           -0.0906309
    134          0.122498           0.0212756            0.114234            0.0780171           0.121375           0.0237084            0.107142          -0.0470936
    135          0.122496          -0.00811357           0.113399           -0.0636131           0.121412           0.0120159            0.106018          -0.217148
