  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0638389          0.149722             0.0626457          0.0238544            0.0627164          0.142358             0.0611057          0.0189061
      1          0.0644628          0.142687             0.0627451          0.0242941            0.0633096          0.135887             0.0611845          0.0145172
      2          0.065028           0.149832             0.0628482          0.0516112            0.0638488          0.14354              0.0612267          0.013223
      3          0.0657114          0.158132             0.0631752          0.0736518            0.0645057          0.16464              0.0612947          0.0337046
      4          0.0663457          0.16775              0.063462           0.0977261            0.0652208          0.160364             0.0615076          0.0123227
      5          0.0671093          0.175665             0.0639896          0.148788             0.0658421          0.160364             0.0613974          0.00753992
      6          0.0678096          0.176764             0.0647019          0.148403             0.0665572          0.166103             0.0615704          0.0372495
      7          0.0685823          0.180337             0.0652263          0.110258             0.0672263          0.163177             0.0617078         -0.0120976
      8          0.0693124          0.183745             0.0656207          0.135376             0.067917           0.1746               0.0614696          0.00697724
      9          0.0701135          0.198585             0.0663544          0.169619             0.0686813          0.188386             0.0617659          0.155469
     10          0.0709673          0.205621             0.0670342          0.186658             0.0694869          0.183153             0.0627652          0.22164
     11          0.071827           0.207819             0.0679099          0.144116             0.0702076          0.188048             0.0636129          0.156144
     12          0.0726991          0.217218             0.0682351          0.194903             0.0710539          0.199864             0.0640664          0.225804
     13          0.0736372          0.223044             0.0695341          0.17649              0.0718731          0.202002             0.0654946          0.246004
     14          0.0745578          0.227441             0.0697059          0.237994             0.0727373          0.209992             0.0661164          0.176007
     15          0.0755325          0.241952             0.0715174          0.304061             0.073623           0.219896             0.0669614          0.226423
     16          0.0765741          0.247008             0.0722397          0.16808              0.0745697          0.226366             0.0680033          0.187485
     17          0.0775909          0.255748             0.0729181          0.192869             0.0755094          0.238914             0.0685237          0.211399
     18          0.0787053          0.252945             0.073847           0.285813             0.0765607          0.268961             0.0697649          0.350213
     19          0.0796988          0.261904             0.0752998          0.301533             0.0777508          0.272338             0.0714422          0.289499
     20          0.0808879          0.281031             0.0763597          0.24492              0.0788302          0.274645             0.0721774          0.355558
     21          0.0820407          0.276304             0.0773408          0.248767             0.0800395          0.284773             0.0744052          0.489363
     22          0.0831904          0.29032              0.0784328          0.294717             0.0812033          0.285223             0.0762554          0.30441
     23          0.0844601          0.306589             0.0797968          0.255528             0.0824163          0.294676             0.0769419          0.209599
     24          0.0857453          0.312306             0.0805622          0.240688             0.0836589          0.29417              0.0780021          0.315945
     25          0.0870626          0.29774              0.0818025          0.351935             0.0848677          0.299121             0.0795748          0.328381
     26          0.0882265          0.295652             0.083495           0.380131             0.0861516          0.307336             0.0807386          0.343517
     27          0.0895264          0.318187             0.0849703          0.271303             0.0874289          0.312063             0.0824374          0.378122
     28          0.090878           0.317362             0.0857558          0.230409             0.0887521          0.31949              0.0838896          0.344079
     29          0.0921711          0.302467             0.0868904          0.252945             0.0900913          0.315326             0.0853048          0.325455
     30          0.0933986          0.303292             0.0878637          0.354353             0.0913798          0.307393             0.0866017          0.209655
     31          0.0946985          0.308238             0.0898433          0.534965             0.0926529          0.309756             0.0870519          0.184447
     32          0.0959672          0.305435             0.0923217          0.309448             0.0939611          0.31105              0.0881388          0.401867
     33          0.0972438          0.30527              0.0924221          0.294827             0.095245           0.299628             0.0904008          0.43574
     34          0.0985112          0.295377             0.0947786          0.321705             0.096458           0.297883             0.09177            0.225748
     35          0.0997053          0.321815             0.0951029          0.257836             0.0977273          0.306436             0.092282           0.316339
     36          0.101193           0.312855             0.0969273          0.368369             0.0990117          0.298277             0.0944061          0.344304
     37          0.102312           0.286802             0.0981727          0.253274             0.100213           0.266542             0.0951512          0.225522
     38          0.103583           0.291584             0.0990379          0.225627             0.101233           0.281397             0.0962855          0.261309
     39          0.104742           0.284494             0.100053           0.264212             0.102558           0.292088             0.0973288          0.277739
