  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0626739             0.363453          0.061793            0                   0.0617428             0.190313          0.0608037          0
      1          0.0641882             0.466573          0.061793            0                   0.0625358             0.244673          0.0608037          0
      2          0.066562              0.595583          0.061793            0                   0.0637818             0.407807          0.0608037          0
      3          0.0691514             0.640202          0.061793            0.00583905          0.0659342             0.571155          0.0608037          0.000699681
      4          0.071897              0.668571          0.0618416           0.0336021           0.0685414             0.615181          0.0608095          0.00527452
      5          0.0747229             0.701568          0.062073            0.186795            0.0710607             0.603986          0.0608476          0.0320239
      6          0.0777434             0.749327          0.0633982           0.369072            0.0735746             0.6253            0.0610764          0.0586118
      7          0.0809673             0.797196          0.0651486           0.531629            0.0762715             0.624277          0.061336           0.0867605
      8          0.0843867             0.827988          0.0678285           0.701292            0.0787769             0.611898          0.0617994          0.173898
      9          0.0878672             0.857459          0.0709927           0.826722            0.0813707             0.61911           0.0627852          0.380035
     10          0.0915322             0.904061          0.0747178           0.83884             0.0839362             0.620187          0.0649663          0.556031
     11          0.095401              0.9451            0.077983            0.892328            0.0865389             0.630036          0.0674188          0.63375
     12          0.099408              0.950719          0.0821539           0.962893            0.0891865             0.668465          0.0702476          0.705763
     13          0.103324              0.968677          0.0860071           0.969944            0.0921095             0.71206           0.0733001          0.795484
     14          0.10748               1.01985           0.0902368           0.9933              0.0951203             0.746668          0.0768766          0.775678
     15          0.111822              1.05742           0.0942846           1.00795             0.0983317             0.797045          0.0797641          0.821856
     16          0.116292              1.08953           0.0986364           1.0621              0.101762              0.833697          0.0837254          0.854096
     17          0.120902              1.10017           0.103135            1.06948             0.105279              0.847099          0.0868816          0.839564
     18          0.12546               1.11058           0.107549            1.03847             0.108822              0.859639          0.0907218          0.846022
     19          0.130157              1.1211            0.111789            1.07516             0.112443              0.886335          0.0939318          0.857809
     20          0.134803              1.10876           0.116508            1.11421             0.116208              0.91373           0.0978702          0.865452
     21          0.139396              1.09857           0.121074            1.01341             0.120057              0.937896          0.101144           0.902912
     22          0.143957              1.08474           0.124953            0.937168            0.124023              0.969489          0.105394           0.987735
     23          0.148436              1.06579           0.128884            0.953198            0.128136              0.993009          0.109375           0.965076
     24          0.152839              1.04161           0.132897            0.969282            0.132299              0.993494          0.113437           0.893547
     25          0.157116              1.00327           0.136962            0.998037            0.136415              0.989242          0.116821           0.878369
     26          0.1612                0.966418          0.141214            0.908689            0.140542              0.991556          0.120756           0.87078
     27          0.165169              0.93882           0.144534            0.801052            0.144678              0.989995          0.124078           0.930684
     28          0.169023              0.903015          0.147889            0.859497            0.148792              0.990534          0.128512           0.901136
     29          0.172695              0.875142          0.151696            0.89668             0.152933              1.00038           0.131587           0.888811
     30          0.176316              0.85184           0.155361            0.736492            0.157129              1.0063            0.135919           0.975302
     31          0.179793              0.837794          0.157834            0.715504            0.161319              1.01497           0.139715           0.960824
     32          0.183298              0.801162          0.161324            0.781717            0.165587              1.02267           0.143926           0.978908
     33          0.18647               0.747509          0.164348            0.722941            0.169841              1.02433           0.147872           0.935313
     34          0.189527              0.699089          0.167348            0.70939             0.174123              1.01131           0.15172            0.758347
     35          0.192295              0.639541          0.17026             0.766403            0.178268              0.991395          0.154192           0.775408
     36          0.194856              0.584401          0.173735            0.682673            0.182385              0.982676          0.158182           0.923095
     37          0.197165              0.592664          0.175949            0.66758             0.186457              0.958563          0.161884           0.86416
     38          0.199795              0.569913          0.179298            0.719415            0.190373              0.927939          0.165383           0.784773
     39          0.201915              0.512239          0.181944            0.624007            0.19419               0.905872          0.168424           0.820511
     40          0.204064              0.51582           0.184498            0.6131              0.197921              0.886765          0.172221           0.791501
     41        nan                   nan               nan                 nan                   0.20158               0.871372          0.17502            0.751135
     42        nan                   nan               nan                 nan                   0.205183              0.845538          0.17848            0.775678
     43        nan                   nan               nan                 nan                   0.208626              0.826377          0.181484           0.720887
