  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0639911          0.124314             0.0620508          -0.00185337          0.0628022            0.130713           0.0614279           0.00422219
      1          0.0645091          0.130395             0.0620431           0.0576314           0.0633468            0.155681           0.0614455           0.00885837
      2          0.0650777          0.151604             0.062531            0.0285419           0.0640996            0.169449           0.0615017           0.0143629
      3          0.0657724          0.168796             0.0622809           0.00398526          0.0647589            0.170023           0.0615652           0.0421863
      4          0.0664844          0.168859             0.0625643           0.0581585           0.0655164            0.172267           0.0618533           0.0392836
      5          0.0671796          0.163867             0.0627656           0.00198629          0.0661945            0.181914           0.0618926           0.0144414
      6          0.0678499          0.168916             0.0625808          -0.0162242           0.0670324            0.191925           0.0619736           0.0358481
      7          0.0685872          0.177452             0.0626304           0.00584839          0.0677939            0.198175           0.0621913           0.049033
      8          0.0693287          0.173069             0.0626295           0.0320061           0.0686838            0.221457           0.0623822           0.076959
      9          0.0700295          0.164248             0.0628971           0.0436976           0.0696393            0.225807           0.0628326           0.119241
     10          0.0706974          0.171213             0.0629937           0.0353697           0.0705655            0.234691           0.0633759          -0.0361426
     11          0.0714562          0.195716             0.0631918           0.0570861           0.0715951            0.246811           0.0625314          -0.0435324
     12          0.0723284          0.194887             0.0634694           0.0539543           0.0726223            0.253274           0.0630131           0.0580183
     13          0.0730803          0.184013             0.0636414           0.10561             0.0737057            0.25031            0.0630149          -0.00159208
     14          0.0738618          0.19404              0.0643495           0.0555747           0.0747082            0.243861           0.0629999          -0.0610659
     15          0.0746973          0.21955              0.0641046          -0.00943574          0.0757379            0.251243           0.062506           -0.0147128
     16          0.0756914          0.229436             0.0642709           0.0506409           0.0768019            0.252586           0.0628773           0.198414
     17          0.0766093          0.232279             0.0645266           0.273925            0.0778428            0.245834           0.0641595           0.376677
     18          0.0776271          0.249607             0.0665536           0.326311            0.0788505            0.245186           0.0660162           0.408042
     19          0.0786893          0.259719             0.0672458          -0.0228772           0.079886             0.244666           0.0675598           0.174268
     20          0.0797914          0.259646             0.0663629          -0.0112428           0.0808894            0.245012           0.0674685           0.185039
     21          0.080853           0.265349             0.0671521           0.143533            0.0819277            0.256774           0.0691018           0.188463
     22          0.0820026          0.279912             0.067559            0.183946            0.0830292            0.27139            0.069039            0.246258
     23          0.0831856          0.269354             0.068685            0.13785             0.0841893            0.289914           0.071154            0.307248
     24          0.0842472          0.268403             0.0687078           0.147175            0.0854452            0.306231           0.0715994           0.289863
     25          0.0854223          0.285721             0.0699115           0.120561            0.0867413            0.31158            0.0735695           0.375891
     26          0.0866283          0.295387             0.0697125           0.168849            0.0880417            0.322298           0.0747318           0.182152
     27          0.0878839          0.297094             0.0713186           0.494565            0.0894271            0.329216           0.0750874           0.169143
     28          0.089104           0.282087             0.0738338           0.427478            0.0907851            0.345887           0.0761414           0.381845
     29          0.0902346          0.277377             0.0748809           0.241313            0.0923095            0.362192           0.0782695           0.233424
     30          0.0914155          0.288688             0.0758448           0.458416            0.0938034            0.35614            0.0780866           0.116632
     31          0.0926403          0.282227             0.078701            0.501719            0.0952773            0.353711           0.0792414           0.163091
     32          0.0937674          0.277024             0.0800258           0.334963            0.096751             0.344423           0.0794457           0.390819
     33          0.0949489          0.2873               0.0814924           0.190029            0.0981475            0.333284           0.0824982           0.425095
     34          0.0961616          0.293505             0.0816093           0.220077            0.0995283            0.327409           0.0829881           0.249602
     35          0.0973948          0.288588             0.0833263           0.335997            0.100876             0.321277           0.0845782           0.401073
     36          0.0985665          0.292057             0.0844093           0.323222            0.102206             0.301735           0.0863304           0.275598
     37          0.0998286          0.293582             0.0860199           0.218462            0.10339              0.287226           0.0868749           0.192279
     38          0.101013           0.289065             0.0862298           0.2315              0.104599             0.291335           0.0879327           0.454564
     39          0.102237           0.288984             0.087949            0.326238            0.105818             0.293976           0.0906629           0.447348
     40          0.103421           0.287994             0.0889485           0.253475            0.107049             0.291867           0.0916606           0.317794
     41          0.104637           0.284049             0.0900613           0.319883            0.10825              0.276756           0.0933112           0.210867
     42          0.105788           0.277472             0.0916142           0.286622            0.109355             0.255859           0.0934178           0.294058
     43          0.10695            0.274358             0.0924498           0.278424            0.110383             0.23654            0.0957617           0.274531
     44          0.108075           0.267573             0.0939344           0.439258            0.111326             0.229727           0.0957056           0.286543
     45          0.109179           0.269296             0.0961103           0.379952            0.112297             0.241367           0.0981496           0.420987
     46          0.110319           0.259915             0.0971006           0.353084            0.113338             0.251478           0.0992138           0.339624
     47          0.111345           0.261724             0.0990527           0.288096            0.114393             0.254178           0.10098             0.385347
     48          0.1125             0.289593             0.0995014           0.222132            0.115456             0.270246           0.102425            0.368901
     49          0.113759           0.303151             0.100904            0.277062            0.116645             0.272362           0.104054            0.204829
     50          0.115026           0.304996             0.10181             0.367394            0.117726             0.252092           0.104132            0.204308
     51          0.1163             0.282777             0.103965            0.351092            0.118745             0.253205           0.105757            0.347981
     52          0.117382           0.265833             0.104736            0.193291            0.119836             0.26368            0.107032            0.30633
     53          0.118516           0.264604             0.105576            0.290093            0.120943             0.260676           0.108309            0.2253
     54          0.119588           0.252635             0.107154            0.287805            0.122008             0.24808            0.108909            0.200226
     55          0.120621           0.241616             0.107975            0.25609             0.12301              0.241261           0.109978            0.368752
     56          0.121601           0.23415              0.109288            0.30201             0.124019             0.239276           0.111982            0.303335
     57          0.122572           0.249278             0.110491            0.244608            0.125004             0.23523            0.112506            0.0989184
     58          0.123678           0.2542               0.111326            0.317807            0.125979             0.251951           0.112807            0.308476
     59          0.12469            0.243381             0.11314             0.268251            0.127104             0.25377            0.115076            0.195403
     60          0.125706           0.239793             0.113561            0.196735            0.128094             0.23335            0.114435            0.106692
     61          0.126689           0.225852             0.114779            0.320701            0.129048             0.232724           0.115965            0.239026
     62          0.127589           0.223001             0.116234            0.220884            0.130033             0.228904           0.116427            0.274476
     63          0.128547           0.244333             0.11662             0.111706            0.130956             0.224021           0.118253            0.252126
     64          0.129625           0.239399             0.117165            0.233325            0.1319               0.21099            0.118528            0.314475
     65          0.130542           0.21722              0.118564            0.294724            0.132714             0.204048           0.120873            0.313858
     66          0.131435           0.217852             0.119621            0.3382              0.1336               0.213687           0.121143            0.207431
     67          0.132358           0.203013             0.121383            0.334951            0.134495             0.196768           0.122602            0.232065
     68          0.133127           0.187265             0.122412            0.236908            0.13524              0.17639            0.123077            0.0883004
     69          0.133918           0.19058              0.123357            0.286163            0.135965             0.185476           0.123338            0.215504
     70          0.134715           0.188786             0.124797            0.26664             0.136786             0.190346           0.124873            0.260166
     71          0.135491           0.186988             0.125579            0.132               0.137551             0.178644           0.125506            0.235614
     72          0.136273           0.182793             0.125897            0.219946            0.138274             0.1679             0.126837            0.35079
     73          0.137015           0.191509             0.127412            0.150829            0.13895              0.160238           0.128429            0.252906
     74          0.137869           0.181414             0.127154            0.214911            0.13961              0.164858           0.128944            0.216675
     75          0.138526           0.169106             0.129203            0.477995            0.140324             0.164424           0.130235            0.127211
     76          0.139278           0.1709               0.131137            0.301865            0.14098              0.159752           0.130004            0.290966
     77          0.13995            0.158669             0.131718            0.173337            0.141655             0.158841           0.132659            0.35283
     78          0.1406             0.15547              0.132581            0.256213            0.142303             0.151772           0.132944            0.203733
     79          0.141246           0.161832             0.133853            0.15729             0.14292              0.159909           0.134357            0.111572
     80          0.141949           0.16177              0.133892            0.0872503           0.143636             0.163657           0.133874            0.0319425
     81          0.142594           0.14363              0.13458             0.248704            0.144284             0.149736           0.134623            0.214652
     82          0.143146           0.141524             0.135965            0.144567            0.144884             0.140681           0.135663            0.31114
     83          0.143774           0.144891             0.135785            0.105711            0.145456             0.145272           0.137216            0.358257
     84          0.144353           0.152475             0.136846            0.217545            0.146094             0.140937           0.138648            0.186349
     85          0.145044           0.150575             0.137598            0.343075            0.146631             0.133351           0.138769            0.155379
     86          0.145608           0.128266             0.139705            0.208382            0.147206             0.139802           0.139943            0.301818
     87          0.146113           0.120851             0.139334            0.0686742           0.147796             0.152812           0.141284            0.215653
     88          0.146615           0.117103             0.140277            0.109985            0.148479             0.141385           0.14174             0.154042
     89          0.147089           0.119024             0.140251            0.0775498           0.148974             0.118242           0.142568            0.106438
     90          0.147607           0.115168             0.140923            0.17107             0.149464             0.120171           0.142627            0.128945
     91          0.148049           0.0993185            0.141677            0.235844            0.149975             0.126978           0.143642            0.213857
     92          0.148435           0.09784              0.142889            0.115729            0.150523             0.115351           0.144409            0.113067
     93          0.148864           0.0948817            0.142641            0.107089            0.150936             0.100855           0.144585            0.127142
     94          0.149225           0.103039             0.143781            0.126277            0.151363             0.102727           0.145469            0.215384
     95          0.149723           0.116638             0.143693            0.113573            0.151792             0.106009           0.146379            0.195329
     96          0.150197           0.101465             0.144727            0.134631            0.152246             0.104503           0.147097            0.145509
     97          0.150568           0.0884333            0.144815            0.177939            0.152663             0.0947247          0.147592            0.102436
     98          0.150934           0.0881179            0.14621             0.183141            0.153036             0.0801837          0.14795             0.0392355
     99          0.151302           0.0932078            0.146341            0.110866            0.153332             0.0846806          0.147919            0.148775
    100          0.151711           0.0991374            0.147134            0.0448457           0.153741             0.0908412          0.14919             0.120342
    101          0.152129           0.0890292            0.146715            0.115846            0.154089             0.0847463          0.148922           -0.0146143
    102          0.152453           0.076251             0.148099            0.0889576           0.154448             0.0799747          0.149068            0.063442
    103          0.152764           0.0741745            0.147456           -0.00971796          0.154755             0.073826           0.149451            0.164154
    104          0.153071           0.0638403            0.148018            0.135955            0.155063             0.0686466          0.150436            0.107814
    105          0.153296           0.0666895            0.148589            0.117378            0.155327             0.0628154          0.150349            0.0735039
    106          0.153627           0.0710839            0.148997            0.0229113           0.155586             0.0653524          0.151049            0.216877
    107          0.153888           0.0605566            0.14878             0.11885             0.155872             0.063375           0.152156            0.213053
    108          0.154131           0.0560172            0.149987            0.175798            0.156115             0.0519963          0.152824            0.0140884
    109          0.154355           0.0644198            0.150245            0.119416            0.156305             0.0455453          0.152274            0.0476433
    110          0.154668           0.0665929            0.150982            0.0058803           0.156494             0.0403346          0.153221            0.0455427
    111          0.15491            0.0505121            0.150294            0.0442845           0.156641             0.039131           0.152653            0.0104398
    112          0.155089           0.0406608            0.151351            0.095416            0.15682              0.0451401          0.153308            0.0332138
    113          0.155249           0.0366527            0.151089            0.0630243           0.157017             0.0437249          0.15293             0.0342885
    114          0.155395           0.0388257            0.151876            0.0704737           0.157185             0.039423           0.153594            0.0454467
    115          0.155573           0.0351854            0.151677            0.0711982           0.157346             0.0444755          0.153309            0.10368
    116          0.155688           0.0309303            0.15247             0.065925            0.157555             0.0409618          0.154458            0.0587165
    117          0.15583            0.0258036            0.152226            0.00891188          0.157687             0.0256071          0.153798           -0.0384549
    118          0.155903           0.0252227            0.152544           -0.044178            0.157769             0.0240668          0.154138            0.02277
    119          0.156041           0.0198005            0.151858           -0.0589853           0.157888             0.0358554          0.153988            0.0518792
    120          0.156068           0.0208172            0.152052           -0.00426572          0.158067             0.0394626          0.15457             0.0572151
    121          0.156214           0.033017             0.151822            0.0305167           0.158217             0.0313664          0.154465            0.104367
    122          0.156343           0.0155403            0.152307            0.0356635           0.158329             0.023097           0.15544             0.0591532
    123          0.156343          -0.00251743           0.15212             0.0401902           0.158409             0.0171711          0.154958            0.0436572
    124          0.156322           0.00542998           0.152642            0.0256584           0.158472             0.0176762          0.155803            0.115617
    125          0.156389           0.0190476            0.152333            0.0544501           0.158556             0.0202774          0.155921            0.0282063
    126          0.156481           0.0187589            0.153095            0.0310119         nan                  nan                nan                 nan
    127          0.156545           0.007998             0.152592           -0.0225114         nan                  nan                nan                 nan
    128          0.156547           0.00244766           0.152908           -0.0847402         nan                  nan                nan                 nan
    129          0.156565           0.00239949           0.151886           -0.0808532         nan                  nan                nan                 nan
    130          0.156567           0.00782856           0.152234            0.00120575        nan                  nan                nan                 nan
    131          0.156631           0.0135965            0.151896            0.0505045         nan                  nan                nan                 nan
    132          0.156681           0.00843013           0.152655            0.0541717         nan                  nan                nan                 nan
    133          0.156701          -0.00185143           0.152347            0.0109814         nan                  nan                nan                 nan
    134          0.156665          -0.0049504            0.152746           -0.0163112         nan                  nan                nan                 nan
    135          0.15666            0.00248157           0.152211           -0.0311898         nan                  nan                nan                 nan
    136          0.156686           0.00301562           0.152487            0.0184721         nan                  nan                nan                 nan
    137          0.156685          -0.000290836          0.152365           -0.0291309         nan                  nan                nan                 nan
