  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0618728             0.126353                nan                  nan          0.0616764            0.138927                 nan                  nan
      1          0.0623993             0.408858                nan                  nan          0.0622553            0.427155                 nan                  nan
      2          0.06528               0.771259                nan                  nan          0.065236             0.796796                 nan                  nan
      3          0.0688265             0.912525                nan                  nan          0.0688952            0.9537                   nan                  nan
      4          0.0728844             1.01735                 nan                  nan          0.0731835            1.08758                  nan                  nan
      5          0.0773043             1.09645                 nan                  nan          0.0779584            1.21016                  nan                  nan
      6          0.0820215             1.14784                 nan                  nan          0.0832682            1.30221                  nan                  nan
      7          0.0868697             1.19512                 nan                  nan          0.0888101            1.35799                  nan                  nan
      8          0.0919808             1.26271                 nan                  nan          0.0945847            1.40606                  nan                  nan
      9          0.0973923             1.35017                 nan                  nan          0.100527             1.42523                  nan                  nan
     10          0.103232              1.44221                 nan                  nan          0.106462             1.44744                  nan                  nan
     11          0.109411              1.49714                 nan                  nan          0.112589             1.46205                  nan                  nan
     12          0.115708              1.5104                  nan                  nan          0.118645             1.42088                  nan                  nan
     13          0.121997              1.48739                 nan                  nan          0.12443              1.36103                  nan                  nan
     14          0.128103              1.43104                 nan                  nan          0.129987             1.28554                  nan                  nan
     15          0.133923              1.37318                 nan                  nan          0.135143             1.20358                  nan                  nan
     16          0.139547              1.33222                 nan                  nan          0.140017             1.15986                  nan                  nan
     17          0.145025              1.31669                 nan                  nan          0.144808             1.16953                  nan                  nan
     18          0.150519              1.32086                 nan                  nan          0.149763             1.21988                  nan                  nan
     19          0.156032              1.30695                 nan                  nan          0.154974             1.25067                  nan                  nan
     20          0.16141               1.2596                  nan                  nan          0.160186             1.24519                  nan                  nan
     21          0.166528              1.17903                 nan                  nan          0.165351             1.22238                  nan                  nan
     22          0.171235              1.08682                 nan                  nan          0.170372             1.19321                  nan                  nan
     23          0.175585              0.994032                nan                  nan          0.175294             1.15117                  nan                  nan
     24          0.179519              0.899446                nan                  nan          0.179965             1.10029                  nan                  nan
     25          0.183081              0.801535                nan                  nan          0.184463             1.05124                  nan                  nan
     26          0.186198              0.704193                nan                  nan          0.188726             1.00399                  nan                  nan
     27          0.188949              0.614641                nan                  nan          0.19283              0.958371                 nan                  nan
     28          0.19132               0.539056                nan                  nan          0.196712             0.911609                 nan                  nan
     29          0.193441              0.472407                nan                  nan          0.200426             0.870061                 nan                  nan
     30          0.195257              0.407758                nan                  nan          0.203962             0.81776                  nan                  nan
     31          0.196839              0.365176                nan                  nan          0.207241             0.781426                 nan                  nan
     32          0.1983                0.315572                nan                  nan          0.210474             0.747185                 nan                  nan
     33          0.199469              0.270366                nan                  nan          0.213468             0.689659                 nan                  nan
     34          0.200553              0.250988                nan                  nan          0.216221             0.643556                 nan                  nan
     35          0.20156               0.227707                nan                  nan          0.218831             0.593616                 nan                  nan
     36          0.202451              0.205179                nan                  nan          0.221168             0.464335                 nan                  nan
     37          0.20327               0.185827                nan                  nan          0.2227               0.330397                 nan                  nan
     38          0.204                 0.175304                nan                  nan          0.223922             0.253141                 nan                  nan
     39          0.204731              0.169685                nan                  nan          0.224809             0.189647                 nan                  nan
     40          0.205414              0.155798                nan                  nan          0.225502             0.134187                 nan                  nan
     41          0.206029              0.160454                nan                  nan          0.225928             0.0933825                nan                  nan
     42          0.206751              0.179277                nan                  nan          0.22628              0.0792014                nan                  nan
     43          0.207523              0.185424                nan                  nan          0.226588             0.0594932                nan                  nan
     44        nan                   nan                       nan                  nan          0.226776             0.0567177                nan                  nan
     45        nan                   nan                       nan                  nan          0.22706              0.0682639                nan                  nan
