  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0627789             0.79511           0.062028             0                  0.0617029             0.246092          0.0611423            0
      1          0.0660919             1.07799           0.062028             0                  0.0627283             0.511497          0.0611423            0
      2          0.0717622             1.27515           0.062028             0.0251728          0.0659654             0.943911          0.0611423            0
      3          0.0767181             1.1574            0.0622378            0.136504           0.0705942             1.02251           0.0611423            0.0251918
      4          0.0814072             1.15998           0.0631656            0.491939           0.0744863             0.938679          0.0613523            0.0937546
      5          0.0863846             1.22864           0.0663373            1.22025            0.0784165             1.06545           0.0619236            0.21734
      6          0.0916458             1.29138           0.0733343            1.55748            0.083365              1.20899           0.0631634            0.586964
      7          0.0971461             1.4496            0.0793163            1.62718            0.0884915             1.19071           0.066815             0.927728
      8          0.103726              1.72634           0.0868942            1.72096            0.0932875             1.18224           0.0708945            1.2365
      9          0.111532              1.92109           0.0936577            1.70341            0.0983434             1.29487           0.0771192            1.5326
     10          0.119735              1.91494           0.101089             1.82599            0.104078              1.36716           0.0836662            1.603
     11          0.12749               1.77466           0.108874             1.89142            0.109736              1.40686           0.0904775            1.49603
     12          0.134524              1.64621           0.116851             1.76796            0.115802              1.52883           0.0961331            1.41198
     13          0.141209              1.52276           0.123607             1.71554            0.122477              1.64928           0.102244             1.54701
     14          0.147213              1.41006           0.131147             1.74323            0.129546              1.68478           0.109025             1.67291
     15          0.152959              1.39092           0.138134             1.62466            0.136516              1.61702           0.116185             1.68591
     16          0.158804              1.37184           0.144686             1.52468            0.143021              1.46517           0.123074             1.63666
     17          0.164391              1.35165           0.15084              1.54722            0.148726              1.39165           0.129824             1.65473
     18          0.170068              1.32056           0.15758              1.52655            0.154618              1.42256           0.136863             1.66342
     19          0.175396              1.23248           0.163561             1.5011             0.160581              1.41705           0.143686             1.5818
     20          0.180339              1.15647           0.170089             1.43118            0.166427              1.37573           0.150045             1.54959
     21          0.185033              1.11632           0.175488             1.37403            0.172045              1.34159           0.156599             1.56427
     22          0.189642              1.0713            0.181539             1.34875            0.177607              1.32664           0.163081             1.52397
     23          0.19396               1.01541           0.186727             1.29023            0.183101              1.2789            0.169299             1.43464
     24          0.198103              0.923058          0.192291             1.3284             0.188264              1.19955           0.175036             1.42417
     25          0.201653              0.718988          0.197797             1.23846            0.193097              1.14296           0.181167             1.37719
     26          0.204095              0.647144          0.202611             1.11671            0.197789              1.12354           0.186513             1.33188
     27          0.207045              0.708129          0.207103             1.07799            0.20246               1.10693           0.192266             1.30992
     28        nan                   nan               nan                  nan                  0.207014              1.07343           0.197429             1.25641
     29        nan                   nan               nan                  nan                  0.211405              1.05395           0.202736             1.27372
