  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0624726             0.40729           0.0623152            0                  0.0616643             0.607125          0.0610866            0
      1          0.0641696             0.603961          0.0623152            0                  0.064194              0.6975            0.0610866            0
      2          0.0675056             0.904812          0.0623152            0                  0.0674768             0.892107          0.0610866            0
      3          0.0717097             1.27574           0.0623152            0                  0.0716282             1.22381           0.0610866            0.0620227
      4          0.0781368             1.60669           0.0623152            0.0972736          0.0776752             1.5997            0.0616034            0.246856
      5          0.0850988             1.70659           0.0631258            0.436676           0.084959              1.72863           0.0631437            0.908324
      6          0.0923584             1.72488           0.0659541            1.03934            0.0920805             1.67971           0.0691728            0.887274
      7          0.0994728             1.68282           0.071787             1.62185            0.0989567             1.63455           0.0705376            0.985007
      8          0.106382              1.65285           0.0794695            1.51557            0.105702              1.66216           0.0773812            1.43039
      9          0.113247              1.62762           0.0844167            1.50659            0.112808              1.70039           0.0824575            1.03017
     10          0.119945              1.6258            0.0920244            1.26164            0.119872              1.69454           0.0859659            1.46084
     11          0.126795              1.64812           0.0949304            0.844503           0.126929              1.69996           0.0946312            2.14862
     12          0.13368               1.77578           0.099062             0.971756           0.134038              1.70506           0.103871             1.23798
     13          0.141593              1.93549           0.103028             1.07907            0.141138              1.69846           0.104948             1.0633
     14          0.149809              2.01059           0.108054             1.00796            0.148192              1.73755           0.112732             1.07323
     15          0.158348              2.07571           0.111428             1.36947            0.155617              1.86772           0.113891             1.00837
     16          0.167107              2.13037           0.119466             1.03853            0.163756              2.01673           0.121135             1.30855
     17          0.176101              2.15631           0.120082             0.684236           0.172424              2.11747           0.124796             1.04805
     18          0.185076              2.15293           0.125168             1.04356            0.181402              2.18529           0.129869             1.2868
     19          0.194042              2.12697           0.128779             0.413933           0.190634              2.21338           0.135519             1.29141
     20          0.202801              2.04817           0.128618             0.859659           0.199846              2.19614           0.14063              0.805382
     21          0.21111               1.88773           0.135943             1.46812            0.208936              2.1299            0.142231             1.11378
     22          0.218532              1.42248           0.140852             1.17745            0.217596              1.70471           0.149912             1.34071
     23          0.222964              0.774529          0.145755             1.30604            0.223141              0.759902          0.153403             1.09536
     24          0.224986              0.485227          0.151736             1.43553            0.223928              0.188834          0.15904              1.35279
