  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0638127          0.139954             0.062158           0                    0.0622737          0.150388             0.0612619          0
      1          0.0643959          0.147591             0.062158           0                    0.0629003          0.182748             0.0612619          0
      2          0.0650427          0.154276             0.062158           0                    0.0637966          0.220317             0.0612619          0.00254894
      3          0.0656815          0.162535             0.062158           0                    0.0647363          0.222756             0.0612832          0.00155153
      4          0.0663971          0.180473             0.062158           0                    0.0656529          0.213336             0.0612749          0.0119135
      5          0.0671855          0.182135             0.062158           0                    0.066514           0.203029             0.0613825          0.013853
      6          0.0679149          0.182222             0.062158           0                    0.0673448          0.205689             0.0613903         -0.00404506
      7          0.068704           0.209447             0.062158           0                    0.0682281          0.20458              0.0613487         -0.0154045
      8          0.0696603          0.216013             0.062158           0                    0.0690496          0.2012               0.0612619         -0.00975248
      9          0.0705041          0.206201             0.062158           0                    0.0699048          0.218489             0.0612675          0
     10          0.0713787          0.207622             0.062158           0                    0.0708703          0.228795             0.0612619         -0.000664942
     11          0.0722343          0.206438             0.062158           0                    0.0718114          0.224362             0.0612619          0.0308644
     12          0.073099           0.219799             0.062158           0                    0.07274            0.223143             0.0615191          0.0301994
     13          0.0740659          0.226196             0.062158           0                    0.0736709          0.235722             0.0615136          0.168507
     14          0.0749839          0.232876             0.062158           0                    0.0747044          0.237273             0.0629234          0.0489841
     15          0.0760066          0.256831             0.062158           0                    0.0756482          0.229128             0.0619218         -0.0720354
     16          0.0771242          0.257751             0.062158           0                    0.0766138          0.231234             0.0623231          0.00149612
     17          0.0781545          0.257345             0.062158           0                    0.0775752          0.239601             0.0619343          0.202974
     18          0.0792687          0.263489             0.062158           0                    0.0786105          0.23683              0.0640145         -0.0229959
     19          0.0803502          0.269564             0.062158           0.0723968            0.0795488          0.238603             0.0617426         -0.156982
     20          0.0815151          0.278005             0.0627613          0.25544              0.0805988          0.258829             0.0627063         -0.00947542
     21          0.0826669          0.275592             0.0642867          0.0150194            0.0817057          0.257831             0.0616637          0.181418
     22          0.0838117          0.281081             0.0628865         -0.0336446            0.0827474          0.262597             0.0642182          0.488344
     23          0.0850093          0.286565             0.0640063          0.0799716            0.083894           0.269579             0.0657332          0.402678
     24          0.0861997          0.308829             0.0635529          0.42136              0.0849939          0.278777             0.0675738          0.328537
     25          0.0875829          0.333091             0.0675177          0.31224              0.0862171          0.298836             0.068471           0.104673
     26          0.0889755          0.344756             0.0661549          0.425446             0.0874842          0.304433             0.0684461          0.40157
     27          0.0904558          0.358241             0.071063           0.613464             0.088754           0.305375             0.0718174          0.552567
     28          0.0919608          0.361075             0.0712671          0.436096             0.090029           0.308145             0.0730508         -0.0417805
     29          0.0934648          0.35545              0.0746972          0.43746              0.0913219          0.304322             0.0714693          0.434373
     30          0.0949229          0.352323             0.0749126          0.986794             0.092565           0.307203             0.0766706          0.343886
     31          0.0964008          0.359007             0.0829205          0.810875             0.093882           0.308866             0.074335           0.481695
     32          0.0979146          0.358212             0.0816699          0.359743             0.0951389          0.293461             0.0806847          0.715699
     33          0.0993859          0.354594             0.0859183          0.21042              0.0963275          0.286202             0.0802991          0.342002
