  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0642544          0.124102             0.0626442           0                   0.0626547          0.168038             0.0617541           0
      1          0.0647715          0.115465             0.0626442           0                   0.0633549          0.135544             0.0617541           0
      2          0.0652166          0.118356             0.0626442           0.00722814          0.0637843          0.116257             0.0617541           0
      3          0.0657578          0.130848             0.0627044           0.00930391          0.0643237          0.131922             0.0617541           0
      4          0.066307           0.137854             0.0627217           0.0156424           0.0648836          0.125744             0.0617541           0
      5          0.0669066          0.161169             0.0628348           0.0155312           0.0653715          0.151602             0.0617541           0
      6          0.0676501          0.189822             0.0628511           0.0332124           0.0661469          0.156252             0.0617541           0.00043253
      7          0.0684885          0.204797             0.0631115           0.0159019           0.0666736          0.137869             0.0617577           0.0101104
      8          0.0693568          0.19731              0.0629836           0.00107495          0.0672959          0.151548             0.0618383          -0.00043253
      9          0.0701327          0.199719             0.0631205           0.0166062           0.0679365          0.17112              0.0617541          -0.00827214
     10          0.0710211          0.223702             0.063122            0.0490772           0.0687219          0.177824             0.0617694           0
     11          0.0719969          0.232005             0.0635295           0.0345468           0.0694184          0.162631             0.0617541           0.0273035
     12          0.0729545          0.235081             0.0634099           0.0051153           0.0700771          0.173012             0.0619969           0.023627
     13          0.0739559          0.240122             0.0635721           0.0619396           0.0708602          0.205993             0.061951           -0.00194639
     14          0.0749555          0.265722             0.0639261           0.0186449           0.0717937          0.207777             0.0619807          -0.0148682
     15          0.0761702          0.273187             0.0637275          -0.0965976           0.0725916          0.214048             0.0618271           0.00578509
     16          0.077232           0.241345             0.0631211          -0.110572            0.0735775          0.239406             0.0620289          -0.00875874
     17          0.0781814          0.233135             0.062806           -0.0193121           0.0745867          0.245028             0.0617541          -0.0265465
     18          0.0791748          0.268185             0.0629602           0.159909            0.0756194          0.270764             0.0618077           0
     19          0.0804163          0.283142             0.0641386           0.0417749           0.0768431          0.276603             0.0617541          -0.00643389
     20          0.0815343          0.248566             0.0633083          -0.160798            0.0779244          0.269575             0.0617541           0
     21          0.0824877          0.241592             0.0627986          -0.0567131           0.0790895          0.28347              0.0617541           0
     22          0.0835476          0.255775             0.0628357           0.0842912           0.0802866          0.288973             0.0617541           0.00854247
     23          0.0846192          0.272254             0.063501            0.14871             0.0814976          0.294366             0.0618252           0.0420636
     24          0.0858164          0.275776             0.0640749           0.254527            0.0827397          0.301431             0.0621046           0.0041631
     25          0.0869173          0.272874             0.0656221           0.175351            0.0840095          0.299877             0.0618599          -0.0275197
     26          0.0880903          0.287012             0.0655362           0.116295            0.0852387          0.304285             0.0618753           0.0388737
     27          0.0893091          0.298663             0.0665912           0.172319            0.0865453          0.310178             0.0621839           0.0136247
     28          0.0905792          0.284449             0.0669722           0.234316            0.0878235          0.306015             0.0619888           0.00616356
     29          0.0916795          0.26561              0.0685439           0.404703            0.0890954          0.302825             0.0622353           0.0936969
     30          0.0927926          0.271873             0.0703447           0.526309            0.090347           0.294715             0.0627696           0.0260059
     31          0.0939451          0.266825             0.0729298           0.285297            0.0915513          0.2965               0.062452            0.110079
     32          0.0950162          0.265693             0.0727222           0.158109            0.0928178          0.299473             0.0636869           0.349376
     33          0.0961592          0.286299             0.0742473           0.150487            0.094047           0.283415             0.0653634           0.12884
     34          0.097402           0.286924             0.0739762           0.156997            0.0951796          0.27763              0.0647606           0.139167
     35          0.0985502          0.31221              0.0755556           0.244096            0.0963605          0.281145             0.0665232           0.139221
     36          0.100004           0.346203             0.0760104          -0.0287594           0.0975225          0.293147             0.0659208           0.184745
     37          0.101435           0.348876             0.075316            0.290048            0.0988034          0.303315             0.0680627           0.116729
     38          0.102911           0.338089             0.0784274           0.668349            0.10005            0.304975             0.0668935           0.110566
     39          0.104253           0.344155             0.0808856           0.223733            0.101345           0.309148             0.0689841           0.208534
     40          0.105779           0.379671             0.0802919           0.198358            0.102626           0.31722              0.0686313           0.278387
     41          0.107417           0.372297             0.0825385           0.228422            0.103988           0.323046             0.071304            0.139545
     42          0.108881           0.335348             0.0821954           0.500628            0.105318           0.323046             0.0697942           0.295526
     43          0.110211           0.346307             0.0867104           0.362182            0.10668            0.339915             0.0737667           0.357648
     44          0.111767           0.356856             0.0852136           0.225218            0.108151           0.352458             0.0727746           0.360136
     45          0.113185           0.353438             0.0885873           0.18437             0.109618           0.349106             0.0767678           0.427448
     46          0.114713           0.350915             0.08675             0.332349            0.11106            0.336725             0.0763366           0.421555
     47          0.116109           0.35844              0.0913568           0.572052            0.112424           0.335481             0.0802808           0.554774
     48          0.1177             0.349723             0.0915171           0.110603            0.113856           0.323                0.0809598           0.527795
     49          0.119024           0.322896             0.0922785           0.277221            0.115115           0.338881             0.0846791           0.0605542
     50          0.12039            0.308563             0.0938273           0.129245            0.11668            0.331846             0.0814644           0.241136
     51          0.121595           0.321347             0.0933556           0.350846            0.117881           0.324079             0.0866885           0.46005
     52          0.123068           0.330715             0.096751            0.356083            0.119381           0.330999             0.0852981           0.515901
     53          0.124351           0.324443             0.0963229           0.214985            0.120639           0.33473              0.0909877           0.274927
     54          0.125772           0.31633              0.0985425           0.37205             0.12217            0.352026             0.0875892          -0.156846
     55          0.126987           0.326365             0.0994233           0.0365726           0.123573           0.311795             0.0896807           0.33294
     56          0.128492           0.346588             0.0988473           0.472012            0.124768           0.2872               0.0903637           0.318613
     57          0.129875           0.338878             0.103357            0.170592            0.125966           0.31964              0.0923358           0.139869
     58          0.131316           0.361839             0.100269            0.184999            0.127432           0.329156             0.0915293           0.325587
     59          0.132891           0.3434               0.104898            0.306178            0.128709           0.313476             0.095049            0.301906
     60          0.134177           0.33772              0.10282             0.0999739           0.130044           0.317531             0.0940452           0.0337374
     61          0.135705           0.349362             0.105732            0.213644            0.131355           0.31445              0.0953301          -0.0955351
     62          0.137089           0.291957             0.104601            0.203929            0.132665           0.320721             0.093249           -0.0104348
     63          0.138138           0.275584             0.107431            0.137071            0.134028           0.316072             0.0952432           0.273467
     64          0.139385           0.299645             0.105743            0.543437            0.135299           0.295959             0.0955279           0.516063
     65          0.140635           0.305092             0.11196             0.423509            0.136494           0.30369              0.0995437           0.22697
     66          0.141928           0.309422             0.109272           -0.056064            0.137829           0.304447             0.0974193           0.084019
     67          0.143213           0.309974             0.111492            0.0417244           0.139031           0.281577             0.100244           -0.0491463
     68          0.144511           0.285051             0.10962             0.0314302           0.140176           0.28347              0.0970098          -0.075855
     69          0.145589           0.265715             0.111754            0.305108            0.141393           0.296662             0.0996117           0.126677
     70          0.146725           0.264751             0.112163            0.317041            0.142648           0.303907             0.0980654           0.0190854
     71          0.147795           0.245876             0.114396            0.164101            0.143926           0.294932             0.0997708           0.4082
     72          0.148774           0.23264              0.11353             0.279572            0.145106           0.283145             0.101467            0.212535
     73          0.149734           0.211044             0.116726            0.651344            0.146285           0.27763              0.101542            0.226376
     74          0.150533           0.210677             0.118958            0.390692            0.147419           0.258761             0.103354           -0.044821
     75          0.151489           0.239166             0.119982           -0.0603833           0.148442           0.250381             0.101168           -0.164091
     76          0.152526           0.227853             0.118455           -0.318033            0.149506           0.240379             0.101986            0.304339
     77          0.153388           0.212865             0.117332           -0.28734             0.150445           0.232377             0.103705            0.209182
     78          0.1543             0.208914             0.11606             0.263514            0.151442           0.23308              0.103729           -0.174039
     79          0.155129           0.202026             0.119528           -0.0353435           0.152387           0.210534             0.102254            0.125866
     80          0.155983           0.201425             0.115766           -0.0141045           0.153197           0.207128             0.104778            0.396144
     81          0.156808           0.197488             0.11941             0.691352            0.154113           0.207669             0.105555           -0.280009
     82          0.157629           0.199109             0.121527            0.0231581           0.154927           0.212535             0.102445           -0.518279
     83          0.158467           0.201032             0.119603           -0.00371159          0.155884           0.210642             0.101236            0.181825
