  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0632608          0.201281             0.0898959          0.00133079           0.0610288          0.166683             0.0601907          0.00955848
      1          0.0640995          0.11223              0.0899015          0.000831741          0.0617233          0.162065             0.0602305          0.00354416
      2          0.0641961          0.092046             0.0899029          0.000499044          0.0623794          0.182148             0.0602202          0.015358
      3          0.0648665          0.108903             0.0899056         -0.00121989           0.0632412          0.192405             0.0603585          0.038932
      4          0.0651036          0.118717             0.0898927          0.0233442            0.0639827          0.182739             0.0605446          0.0171838
      5          0.0658559          0.224736             0.0901002          0.0596081            0.0647641          0.229618             0.0605017          0.0252924
      6          0.0669764          0.200782             0.0903894          0.0302199            0.0658962          0.229833             0.0607554          0.145901
      7          0.067529           0.131581             0.090352           0.0248413            0.0666793          0.254159             0.0617175          0.0906982
      8          0.0680729          0.202002             0.0905964          0.0835622            0.0680142          0.23719              0.0615112          0.0229833
      9          0.0692124          0.227897             0.0910484          0.133079             0.0686559          0.110835             0.0619091          0.0520346
     10          0.069972           0.224903             0.0917054          0.176329             0.0689378          0.131563             0.0619449          0.046611
     11          0.0710866          0.343509             0.0925178          0.163576             0.0697523          0.176832             0.0622975          0.0438186
     12          0.0728346          0.315673             0.0930686          0.222352             0.0704114          0.216301             0.06231            0.0958533
     13          0.0737172          0.219912             0.0943707          0.164574             0.0715548          0.175382             0.0630963          0.155245
     14          0.0746672          0.212815             0.09444            0.104245             0.071873           0.178926             0.0636037          0.2083
     15          0.0754906          0.118551             0.0952394          0.114004             0.0730458          0.24852              0.0648321          0.281921
     16          0.0756551          0.0709198            0.09539            0.0883863            0.073944           0.147351             0.0659531          0.141659
     17          0.0760816          0.167457             0.095976           0.0435278            0.0742738          0.150841             0.0660126          0.265812
     18          0.0770506          0.183316             0.0957528          0.069589             0.075201           0.173664             0.0681682          0.171784
     19          0.0776093          0.125371             0.0965559          0.163298             0.075721           0.163353             0.0674441          0.0202983
     20          0.0780954          0.109623             0.0971136          0.086501             0.0765623          0.127053             0.0683373          0.102351
     21          0.0785228          0.0853921            0.0972767          0.0502926            0.0767797          0.103747             0.068297           0.0286217
     22          0.078807           0.0908815            0.0975327          0.0583328            0.0774268          0.175221             0.0685758          0.189022
     23          0.0792801          0.115778             0.0977628          0.0943194            0.0782399          0.196325             0.0698722          0.215818
     24          0.0797718          0.0675928            0.0983187          0.0984227            0.0790629          0.0999344            0.0703743          0.0414022
     25          0.0798434          0.0557266            0.098583           0.0535641            0.0790727          0.0818915            0.0702172          0.112393
     26          0.0802362          0.0711416            0.0987651          0.114226             0.0797453          0.107076             0.0713109          0.142464
     27          0.0804363          0.0660957            0.0995349         -0.022457             0.079965           0.0475239            0.0714044          0.084469
     28          0.080787           0.112451             0.0985779          0.054285             0.0801413          0.0382339            0.0720148          0.316557
     29          0.0813734          0.103746             0.0999873          0.0579446            0.0802836          0.145257             0.0740424          0.299481
