  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0632275           0.157214            0.0625118          0.110832             0.0625208           0.12406             0.061542            0.0526119
      1          0.0638825           0.173188            0.0629736          0.136722             0.0630377           0.149338            0.0617612           0.0650071
      2          0.0646707           0.195718            0.0636512          0.178201             0.0637653           0.186469            0.0620837           0.12747
      3          0.0655135           0.19985             0.0644586          0.195443             0.0645916           0.198648            0.0628235           0.171584
      4          0.0663361           0.198528            0.0652799          0.19032              0.0654207           0.201895            0.0635136           0.17494
      5          0.0671679           0.205689            0.0660446          0.182553             0.0662741           0.214669            0.0642813           0.188255
      6          0.0680502           0.218028            0.0668011          0.196214             0.0672096           0.22019             0.0650824           0.201571
      7          0.0689848           0.213621            0.0676797          0.211638             0.068109            0.21743             0.0659611           0.210231
      8          0.0698304           0.209324            0.0685648          0.218689             0.0690215           0.225495            0.0668343           0.244385
      9          0.0707292           0.212519            0.0695022          0.221664             0.0699881           0.230529            0.0679976           0.251151
     10          0.0716014           0.212299            0.070412           0.222325             0.0709426           0.228364            0.0689272           0.259216
     11          0.0724983           0.223371            0.0713549          0.220892             0.0718912           0.242545            0.0701577           0.265387
     12          0.0734628           0.231744            0.0722527          0.219075             0.0729638           0.256618            0.0711388           0.234209
     13          0.0744295           0.241384            0.0731805          0.241605             0.0740297           0.260353            0.0721095           0.229825
     14          0.0754743           0.24849             0.0742661          0.263804             0.0751334           0.25559             0.073054            0.251963
     15          0.0765003           0.24188             0.0753788          0.251244             0.0761596           0.256889            0.0742092           0.27421
     16          0.07749             0.248215            0.0763598          0.242871             0.0772741           0.265116            0.0753391           0.284494
     17          0.0785687           0.26419             0.0774028          0.258571             0.0783689           0.264467            0.07658             0.287633
     18          0.0796916           0.265236            0.0785146          0.268486             0.079478            0.264846            0.077736            0.281842
     19          0.080779            0.270579            0.0796402          0.272232             0.0805759           0.270529            0.0789286           0.292992
     20          0.0819464           0.275152            0.0807832          0.280715             0.0817324           0.282708            0.0801776           0.296564
     21          0.083072            0.274931            0.0819795          0.285397             0.0829318           0.291368            0.0814              0.292775
     22          0.0842375           0.289584            0.0831615          0.289584             0.0841605           0.296077            0.0826174           0.294507
     23          0.0854852           0.298177            0.0843927          0.301262             0.0853991           0.291368            0.0838542           0.300191
     24          0.0867223           0.299665            0.085672           0.303576             0.0865886           0.296348            0.085119            0.31015
     25          0.0879824           0.293991            0.0869224          0.294486             0.0878687           0.301165            0.0864388           0.31015
     26          0.0891722           0.293991            0.0881261          0.299169             0.0890983           0.296781            0.0877036           0.312478
     27          0.0904323           0.295313            0.0894155          0.293109             0.0903419           0.303601            0.0890428           0.310204
     28          0.0916332           0.27719             0.0905686          0.281652             0.0916283           0.302194            0.0902886           0.307336
     29          0.0927422           0.272618            0.0917626          0.278181             0.0928601           0.296294            0.0916039           0.302735
     30          0.093905            0.283965            0.0928868          0.275592             0.0940974           0.293858            0.0928114           0.295915
     31          0.0951086           0.281927            0.0940592          0.285728             0.095309            0.292721            0.0940699           0.291963
     32          0.0962544           0.281431            0.0952679          0.281762             0.0965368           0.292072            0.0952445           0.29651
     33          0.0974539           0.28033             0.0964072          0.276584             0.0977429           0.292072            0.0965408           0.306307
     34          0.0985905           0.270469            0.0975727          0.273279             0.0989707           0.286551            0.097797            0.288445
     35          0.0997078           0.262427            0.0986846          0.256808             0.100131            0.279081            0.0989445           0.279677
     36          0.100777            0.262923            0.0997128          0.263033             0.101296            0.274805            0.100128            0.28103
     37          0.101899            0.268486            0.100876           0.27405              0.102421            0.26766             0.101286            0.274318
     38          0.103015            0.256202            0.101997           0.259067             0.103527            0.261436            0.102414            0.260299
     39          0.104034            0.235215            0.103035           0.233011             0.104599            0.253208            0.103456            0.250664
     40          0.104975            0.236151            0.103938           0.229045             0.105637            0.252775            0.104503            0.263817
     41          0.106002            0.236426            0.104944           0.236977             0.106706            0.249852            0.105654            0.253479
     42          0.106945            0.235435            0.105913           0.23874              0.107719            0.247795            0.106615            0.241679
     43          0.107964            0.234388            0.106934           0.234168             0.108771            0.250935            0.107668            0.253804
     44          0.108898            0.217202            0.107865           0.217312             0.10981             0.243628            0.10873             0.244927
     45          0.109774            0.213897            0.108745           0.218524             0.110801            0.234101            0.109709            0.228526
     46          0.110681            0.215384            0.109686           0.21913              0.111761            0.225928            0.110634            0.229555
     47          0.111569            0.20938             0.110571           0.211308             0.112684            0.222193            0.111622            0.232044
     48          0.112426            0.197316            0.111446           0.202384             0.113613            0.219162            0.112568            0.228851
     49          0.113213            0.190706            0.112257           0.195168             0.11451             0.212396            0.113529            0.211368
     50          0.114015            0.187841            0.113073           0.185087             0.115383            0.200867            0.114329            0.201733
     51          0.114778            0.178697            0.1138             0.171646             0.116184            0.188905            0.11521             0.199027
     52          0.115504            0.159913            0.114503           0.16476              0.116957            0.173045            0.115988            0.18019
     53          0.116111            0.163493            0.115173           0.169608             0.117626            0.168715            0.116712            0.178025
     54          0.116866            0.167404            0.115917           0.165311             0.118363            0.177646            0.117471            0.178783
     55          0.117506            0.156277            0.11655            0.151264             0.119107            0.166713            0.118202            0.16628
     56          0.118169            0.147353            0.117177           0.151926             0.119752            0.161246            0.118857            0.161733
     57          0.118734            0.145536            0.117816           0.142947             0.12045             0.165846            0.119549            0.163627
