  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0623838             0.436033          0.0621842           0.0102745           0.0621402             0.144847          0.0614494           0.0121906
      1          0.0642006             0.655228          0.062227            0.0155229           0.0627437             0.246472          0.0615002           0.0323605
      2          0.067844              0.906074          0.0623135          -0.00513726          0.0641941             0.424344          0.0617191           0.0373476
      3          0.0717512             0.904144          0.0621842          -0.0155229           0.0662799             0.614296          0.0618114          -0.00698189
      4          0.0753785             0.856855          0.0621842           0                   0.0693133             0.78247           0.0616609          -0.0434429
      5          0.0788916             0.809549          0.0621842           0.0375496           0.0728005             0.868082          0.0614494          -0.0118027
      6          0.0821248             0.767332          0.0624971           0.238487            0.0765473             0.843091          0.0615625           0.076025
      7          0.0852861             0.757982          0.0641715           0.447236            0.0798263             0.768839          0.0620829           0.212061
      8          0.0884413             0.77977           0.066224            0.477113            0.0829543             0.718691          0.0633297           0.317177
      9          0.0917841             0.807099          0.0681475           0.502489            0.0858154             0.664499          0.0647261           0.347488
     10          0.0951671             0.840295          0.0704114           0.577167            0.0884918             0.621333          0.0662254           0.369375
     11          0.0987866             0.891511          0.0729572           0.63836             0.0909931             0.619006          0.0678042           0.43321
     12          0.102596              0.931926          0.0757311           0.675474            0.0936501             0.682064          0.0698355           0.540044
     13          0.106553              0.955469          0.0785862           0.701893            0.096677              0.749777          0.0723046           0.635352
     14          0.110559              0.987464          0.0815802           0.765478            0.0998983             0.793608          0.0751301           0.629368
     15          0.114782              0.99179           0.0849651           0.835318            0.10329               0.826523          0.0775493           0.62632
     16          0.118824              0.969328          0.0885412           0.830511            0.106786              0.826467          0.0803495           0.630476
     17          0.122859              0.967003          0.0918861           0.803501            0.110178              0.842038          0.0828033           0.640838
     18          0.126882              0.960288          0.095237            0.845843            0.113803              0.908477          0.0856898           0.64987
     19          0.130862              0.940769          0.0989348           0.843584            0.117748              0.956076          0.0882189           0.662116
     20          0.134722              0.917177          0.102267            0.786138            0.12177               0.971259          0.0912074           0.707831
     21          0.138505              0.886216          0.105486            0.794582            0.125842              0.961395          0.0941175           0.680346
     22          0.142107              0.855778          0.108888            0.802405            0.129782              0.952197          0.096877            0.683782
     23          0.145636              0.825867          0.112173            0.800015            0.133777              0.963556          0.0998156           0.684558
     24          0.148989              0.811893          0.115555            0.785069            0.137812              0.948041          0.102582            0.666383
     25          0.152402              0.796725          0.118715            0.759477            0.141677              0.939785          0.105369            0.706002
     26          0.155628              0.766505          0.121884            0.746056            0.145643              0.957128          0.108465            0.73598
     27          0.15879               0.748972          0.124932            0.751464            0.149653              0.948207          0.111502            0.722072
     28          0.16187               0.725096          0.128146            0.754438            0.153545              0.919393          0.114482            0.713926
     29          0.164832              0.691211          0.131219            0.736262            0.157315              0.896286          0.117451            0.698355
     30          0.16763               0.654546          0.134282            0.714221            0.161014              0.876948          0.120302            0.667048
     31          0.170287              0.62021           0.137171            0.670945            0.164623              0.853453          0.12301             0.651089
     32          0.172798              0.580638          0.139873            0.631242            0.168126              0.840154          0.125728            0.654192
     33          0.175125              0.543796          0.142431            0.657575            0.171624              0.812005          0.128462            0.660731
     34          0.17733               0.495339          0.145353            0.61626             0.174893              0.775599          0.131234            0.677687
     35          0.179253              0.453645          0.147567            0.580549            0.178088              0.737531          0.134109            0.670372
     36          0.18111               0.446351          0.150191            0.604753            0.181039              0.691484          0.13682             0.654247
     37          0.182973              0.436019          0.152606            0.555114            0.18385               0.655633          0.139561            0.651366
     38          0.184744              0.412313          0.154817            0.560117            0.186502              0.617288          0.142248            0.679959
     39          0.186409              0.382432          0.157274            0.604523            0.188994              0.594347          0.145227            0.703342
     40          0.187931              0.360873          0.159854            0.630152            0.191455              0.576948          0.148109            0.694643
     41          0.189416              0.353803          0.162525            0.628626            0.193802              0.542537          0.151016            0.667713
     42          0.190879              0.367406          0.165093            0.597503            0.195976              0.519818          0.153674            0.656464
     43          0.192478              0.364727          0.167504            0.596463            0.198134              0.50652           0.156487            0.662559
     44          0.193918              0.335614          0.170064            0.556795            0.200197              0.491392          0.159195            0.640727
     45          0.195274              0.32028           0.172144            0.618099            0.202229              0.464905          0.161826            0.614683
     46          0.196587              0.313797          0.175214            0.631004            0.204072              0.439527          0.164317            0.606926
     47          0.197889              0.343216          0.177403            0.54166             0.205891              0.436756          0.166884            0.615958
     48          0.199448              0.373979          0.179728            0.558114          nan                   nan               nan                 nan
