  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0622944          0.146434             0.0621156          0                    0.0619845            0.214994           0.061625           0
      1          0.0629045          0.246471             0.0621156          0                    0.0628803            0.328445           0.061625           0.00573751
      2          0.0643483          0.376251             0.0621156          0.0206878            0.0647215            0.457864           0.0616728          0.0566714
      3          0.0660399          0.413485             0.0622879          0.196326             0.0666958            0.476971           0.0620973          0.223655
      4          0.067794           0.450703             0.0637516          0.435301             0.0686963            0.471721           0.0635366          0.385983
      5          0.0697958          0.498372             0.0659155          0.568932             0.0706268            0.464522           0.0653138          0.443683
      6          0.0719471          0.53406              0.0684927          0.60472              0.0725673            0.475293           0.067234           0.495645
      7          0.0742463          0.576095             0.0709548          0.616971             0.0745876            0.49007            0.0694442          0.539001
      8          0.0767479          0.621472             0.0736341          0.678338             0.0766512            0.502032           0.0717256          0.575158
      9          0.0794252          0.667455             0.0766076          0.724712             0.0787712            0.533588           0.0742371          0.602763
     10          0.08231            0.711719             0.0796734          0.771983             0.0810978            0.560219           0.0767487          0.61348
     11          0.0853562          0.767015             0.0830408          0.844423             0.0834397            0.574076           0.0793495          0.634211
     12          0.0887018          0.815205             0.0867102          0.877276             0.0858818            0.613643           0.0820338          0.672642
     13          0.0921496          0.844459             0.0903514          0.89887              0.0885534            0.662358           0.0849548          0.703657
     14          0.095739           0.884104             0.0942008          0.934372             0.0914014            0.683576           0.0878976          0.71616
     15          0.0995171          0.911163             0.0981379          0.942681             0.0942499            0.698731           0.0909228          0.740788
     16          0.103332           0.90919              0.102056           0.931658             0.0972242            0.733806           0.0940708          0.780788
     17          0.107094           0.908148             0.105902           0.927667             0.100365             0.759083           0.0974294          0.798055
     18          0.1109             0.904071             0.109787           0.917904             0.10355              0.77819            0.100721           0.81045
     19          0.114628           0.894353             0.113551           0.903826             0.10685              0.799138           0.104183           0.844713
     20          0.118353           0.868786             0.117319           0.876803             0.110209             0.800816           0.107761           0.864902
     21          0.121868           0.85301              0.120858           0.855938             0.113523             0.810017           0.111391           0.875999
     22          0.125461           0.834187             0.124452           0.838432             0.116959             0.830802           0.115061           0.877027
     23          0.128819           0.786303             0.127845           0.78808              0.120447             0.842385           0.118699           0.863387
     24          0.132014           0.752768             0.131019           0.75357              0.123979             0.831181           0.122255           0.837622
     25          0.135092           0.722477             0.134124           0.727796             0.127373             0.803305           0.125679           0.818624
     26          0.138034           0.695081             0.137084           0.696239             0.130674             0.787392           0.129077           0.826959
     27          0.140884           0.658176             0.139926           0.655164             0.133935             0.768177           0.132571           0.801357
     28          0.143519           0.60239              0.142544           0.60197              0.137075             0.751289           0.135755           0.766174
     29          0.145904           0.562129             0.144943           0.565829             0.140196             0.734564           0.138956           0.75957
     30          0.148204           0.532808             0.147259           0.528421             0.143196             0.720599           0.142085           0.743116
     31          0.150344           0.473647             0.149346           0.468493             0.1462               0.712858           0.145148           0.714266
     32          0.152151           0.416943             0.151163           0.421501             0.149137             0.68639            0.148037           0.6839
     33          0.153819           0.376606             0.152859           0.381814             0.15192              0.660409           0.150847           0.665172
     34          0.155289           0.338322             0.154345           0.335904             0.15464              0.639029           0.15358            0.643738
     35          0.156638           0.307546             0.155658           0.301137             0.157246             0.601735           0.156212           0.606931
     36          0.157852           0.268213             0.156854           0.267987             0.159655             0.578027           0.158638           0.58095
     37          0.158873           0.224827             0.157891           0.226975             0.162063             0.552749           0.161053           0.552425
     38          0.159726           0.190933             0.158746           0.189153             0.164261             0.519245           0.163242           0.524387
