  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0621051             0.355191          0.0618086            0                  0.0618557             0.158883          0.0612013          0
      1          0.0635851             0.465802          0.0618086            0                  0.0625177             0.262087          0.0612013          0
      2          0.0659868             0.601202          0.0618086            0.0386699          0.0640397             0.429071          0.0612013          0.000972092
      3          0.0685951             0.630838          0.0621308            0.191917           0.0660933             0.529142          0.0612094          0.0605397
      4          0.0712438             0.658325          0.0634079            0.402068           0.0684492             0.559655          0.0617058          0.236002
      5          0.0740811             0.692423          0.0654814            0.55146            0.0707571             0.5933            0.0631761          0.434471
      6          0.077014              0.733517          0.0680034            0.661906           0.0733934             0.643255          0.0653264          0.581959
      7          0.0801938             0.771856          0.0709973            0.753458           0.0761175             0.679492          0.0680258          0.668529
      8          0.0834461             0.816861          0.0742822            0.814823           0.0790559             0.714326          0.0708975          0.705361
      9          0.0870009             0.866438          0.0777875            0.842035           0.0820702             0.751697          0.0739038          0.730527
     10          0.0906664             0.892714          0.0812991            0.892383           0.08532               0.795279          0.0769852          0.751373
     11          0.0944402             0.921248          0.085224             0.949231           0.0886976             0.82536           0.0801652          0.763794
     12          0.0983435             0.958541          0.0892094            0.987185           0.092198              0.834541          0.0833502          0.789987
     13          0.102428              1.00305           0.0934505            1.03726            0.0956521             0.838916          0.0867484          0.831733
     14          0.106702              1.03671           0.0978532            1.0626             0.099189              0.865702          0.0902813          0.866836
     15          0.111067              1.05885           0.102306             1.06072            0.102866              0.899509          0.0939721          0.90815
     16          0.115526              1.08221           0.106693             1.05924            0.106685              0.923056          0.0978492          0.938501
     17          0.120086              1.10573           0.111132             1.05378            0.110558              0.934667          0.101793           0.9304
     18          0.12474               1.11025           0.115474             1.03753            0.114474              0.944442          0.105603           0.920517
     19          0.129338              1.10859           0.119779             1.02888            0.118429              0.953136          0.109464           0.94509
     20          0.133979              1.09846           0.124048             1.01737            0.122417              0.967286          0.113478           0.941255
     21          0.138492              1.08794           0.128257             0.998257           0.126489              0.985702          0.117308           0.944442
     22          0.143045              1.07268           0.132367             0.966032           0.130631              1.00606           0.121349           0.969176
     23          0.147431              1.03847           0.136307             0.898663           0.134873              1.00541           0.125384           0.956107
     24          0.151699              1.01825           0.139856             0.872277           0.139009              0.997475          0.129316           0.958753
     25          0.155916              0.982613          0.143576             0.843908           0.143186              0.993964          0.133374           0.959563
     26          0.159887              0.938545          0.146888             0.74828            0.147292              0.989482          0.137313           0.956485
     27          0.163737              0.902905          0.149812             0.696555           0.151431              0.982353          0.141344           0.964694
     28          0.167411              0.865612          0.152693             0.698813           0.155479              0.965558          0.145352           0.946008
     29          0.170951              0.823141          0.155635             0.673364           0.159478              0.958105          0.149228           0.947142
     30          0.174271              0.776153          0.158304             0.639431           0.163463              0.949842          0.153244           0.94563
     31          0.177419              0.736987          0.160964             0.586274           0.167393              0.941579          0.157108           0.940175
     32          0.180412              0.684822          0.16319              0.524082           0.171309              0.927646          0.161079           0.88833
     33          0.183125              0.632105          0.165331             0.564129           0.175123              0.924514          0.164511           0.860194
     34          0.18568               0.585558          0.167891             0.580159           0.179013              0.9304            0.168248           0.896485
     35          0.188005              0.546722          0.170166             0.475387           0.182877              0.913659          0.171982           0.883092
     36          0.190236              0.523862          0.171853             0.420136           0.186627              0.895999          0.175607           0.851715
     37          0.192371              0.499459          0.173667             0.619766           0.190343              0.88104           0.179079           0.855279
     38          0.194398              0.482273          0.177017             0.767064           0.193969              0.850851          0.182734           0.819312
     39          0.19639               0.449662          0.180059             0.66141            0.197434              0.831247          0.185907           0.764875
     40          0.198145              0.417162          0.182529             0.477535           0.200896              0.823308          0.189108           0.713732
     41          0.199866              0.393034          0.184038             0.439471           0.204295              0.799384          0.191855           0.712436
     42          0.201421              0.353648          0.186191             0.452582           0.207558              0.768331          0.195045           0.712274
     43          0.202813              0.315254          0.18781              0.465141           0.210697              0.738274          0.19779            0.555065
     44          0.204048              0.297186          0.190068             0.460679           0.21371               0.723069          0.19967            0.451267
     45          0.205289              0.269368          0.191649             0.396229         nan                   nan               nan                nan
     46          0.206292              0.240723          0.193369             0.41292          nan                   nan               nan                nan
