  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0624854            0.246375           0.0621816           0                   0.0618038             0.200023          0.061471          -0.00156181
      1          0.0635119            0.401046           0.0621816           0                   0.0626373             0.340195          0.0614645         -0.000780903
      2          0.0658274            0.591299           0.0621816           0.00656711          0.0646388             0.523874          0.0614645          0.00228693
      3          0.0684394            0.636161           0.0622363           0.0814829           0.0670029             0.573573          0.0614836          0.00853416
      4          0.0711288            0.660662           0.0628606           0.322154            0.0694186             0.570115          0.0615356          0.0346944
      5          0.0739449            0.694571           0.0649209           0.556101            0.0717538             0.55009           0.0617727          0.0867918
      6          0.0769168            0.729344           0.0674948           0.671395            0.0740027             0.5608            0.0622589          0.236335
      7          0.0800228            0.748611           0.0705159           0.753623            0.0764272             0.568665          0.0637421          0.361
      8          0.0831553            0.770954           0.073775            0.809827            0.0787415             0.563645          0.0652672          0.525269
      9          0.0864474            0.813663           0.0772644           0.829207            0.0811242             0.588634          0.0681194          0.658859
     10          0.0899358            0.854147           0.080685            0.820882            0.0836468             0.635599          0.0707577          0.656628
     11          0.0935653            0.892412           0.0841051           0.852892            0.0864209             0.699578          0.0735913          0.676039
     12          0.0973726            0.924128           0.0877925           0.921403            0.0894766             0.76311           0.0763914          0.76099
     13          0.101266             0.942524           0.0917835           0.944697            0.0927801             0.799477          0.0799329          0.78029
     14          0.105227             0.936021           0.0956649           0.930199            0.0961389             0.801876          0.0828938          0.738121
     15          0.109067             0.920367           0.0995351           0.897345            0.0994624             0.802824          0.0860839          0.771086
     16          0.112897             0.917756           0.103143            0.926369            0.102829              0.831439          0.0893195          0.812976
     17          0.116715             0.91147            0.107255            0.922548            0.106391              0.85085           0.0928587          0.855089
     18          0.120492             0.90123            0.110831            0.859378            0.10992               0.825861          0.0964453          0.859997
     19          0.124225             0.890337           0.114416            0.842029            0.113273              0.818331          0.100025           0.852188
     20          0.127912             0.850185           0.117848            0.870939            0.116739              0.844937          0.103547           0.892684
     21          0.13131              0.808288           0.121674            0.860818            0.120314              0.853471          0.107464           0.866914
     22          0.134647             0.770064           0.125021            0.819588            0.123851              0.84834           0.110771           0.792394
     23          0.137727             0.710134           0.128504            0.78453             0.127384              0.849009          0.114068           0.81939
     24          0.140565             0.671537           0.131559            0.744203            0.130926              0.835399          0.117599           0.822905
     25          0.143323             0.63881            0.134706            0.726541            0.134346              0.807733          0.120925           0.773038
     26          0.145889             0.60441            0.137613            0.683105            0.137657              0.802992          0.124041           0.805111
     27          0.14836              0.570817           0.140398            0.617759            0.141037              0.78425           0.127634           0.782632
     28          0.150645             0.535477           0.142761            0.561668            0.144193              0.761715          0.130563           0.691936
     29          0.152822             0.507979           0.145079            0.527196            0.147385              0.757532          0.133401           0.709172
     30          0.154879             0.469694           0.147155            0.503853            0.150506              0.726798          0.136473           0.790218
     31          0.156736             0.4469             0.149278            0.493655            0.153441              0.690263          0.139986           0.723786
     32          0.158603             0.42771            0.151268            0.51798             0.156258              0.667784          0.142505           0.716813
     33          0.1603               0.39658            0.153594            0.534321            0.159006              0.645584          0.145959           0.722168
     34          0.161908             0.377467           0.155721            0.465737            0.161638              0.61485           0.148523           0.682732
     35          0.163446             0.366764           0.157475            0.404051            0.16413               0.581048          0.151649           0.641568
     36          0.164964             0.354432           0.159088            0.405428            0.16648               0.560967          0.153869           0.601574
     37          0.1664               0.332998           0.160854            0.394752            0.168805              0.550592          0.156662           0.608658
     38          0.167739             0.308811           0.162378            0.371153            0.171068              0.528002          0.158941           0.574912
     39          0.168973             0.292454           0.163947            0.35825             0.173205              0.497993          0.161453           0.566489
     40          0.170176             0.277425           0.165363            0.325537            0.175218              0.462908          0.163662           0.526608
     41          0.171285             0.260234           0.16666             0.294957            0.177062              0.431951          0.165841           0.499332
     42          0.172345             0.252893           0.167821            0.278205            0.178818              0.404229          0.167823           0.49526
     43          0.173392             0.24033            0.168978            0.27564             0.180431              0.405233          0.169968           0.480367
     44          0.174347             0.21551            0.170118            0.273727            0.182194              0.399599          0.171826           0.473116
     45          0.175188             0.217115           0.171259            0.219801            0.183761              0.389671          0.173911           0.443888
     46          0.176157             0.213494           0.17195             0.2014              0.185442              0.377288          0.175525           0.425927
     47          0.176967             0.180332           0.172937            0.226307            0.186905              0.321119          0.17746            0.406125
     48          0.177659             0.175801           0.173836            0.222513            0.188118              0.301875          0.17891            0.354084
     49          0.178432             0.192211           0.174792            0.200406            0.189421              0.328983          0.180411           0.346721
     50          0.179261             0.17302            0.175506            0.175838            0.190859              0.316489          0.181799           0.3803
     51          0.179874             0.152469           0.176257            0.172285            0.192058              0.282575          0.18358            0.353972
     52          0.180532             0.152619           0.176942            0.170825            0.193214              0.262495          0.184749           0.284026
     53          0.181146             0.140798           0.17768             0.171295            0.194245              0.25859           0.185947           0.290106
     54          0.181705             0.13817            0.178369            0.152623            0.195369              0.260375          0.187166           0.327198
     55          0.182297             0.12946            0.178952            0.132034            0.196415              0.248997          0.188674           0.311301
     56          0.182784             0.119579           0.179469            0.125694            0.197444              0.222669          0.18976            0.269802
     57          0.183294             0.114876           0.18                0.134851            0.198271              0.214414          0.190922           0.260933
     58          0.183741             0.109736           0.180593            0.11961             0.199231              0.221553          0.191935           0.275882
     59          0.184208             0.115194           0.180997            0.100519            0.200117              0.207943          0.193221           0.269244
     60          0.184701             0.116753           0.181431            0.112981            0.200964              0.194389          0.194179           0.2553
     61          0.185181             0.109574           0.181938            0.12108             0.201737              0.184962          0.195348           0.239514
     62          0.185614             0.10927            0.18244             0.121101            0.202505              0.173639          0.196174           0.215418
     63          0.186092             0.0968676          0.182947            0.0924479           0.203184              0.174365          0.197144           0.198517
     64          0.186422             0.0857074          0.18321             0.0763198           0.203958              0.167894          0.197829           0.184684
     65          0.186806             0.0967284          0.183583            0.0781673           0.204583              0.151049          0.198683           0.202254
     66          0.187228             0.0972437          0.183861            0.0894784           0.205217              0.152053          0.199514           0.199577
     67          0.187616             0.089778           0.184329            0.095078          nan                   nan               nan                nan
     68          0.187976             0.0793739          0.184654            0.0904819         nan                   nan               nan                nan
     69          0.188278             0.0782449          0.185083            0.101139          nan                   nan               nan                nan
     70          0.188628             0.0929499          0.185497            0.102848          nan                   nan               nan                nan
     71          0.189053             0.0825977          0.18594             0.0702402         nan                   nan               nan                nan
     72          0.189316             0.071874           0.186082            0.0486595         nan                   nan               nan                nan
     73          0.189651             0.0824385          0.186345            0.0830356         nan                   nan               nan                nan
     74          0.190003             0.0845088          0.186774            0.0710463         nan                   nan               nan                nan
     75          0.190356             0.0778202          0.186938            0.055848          nan                   nan               nan                nan
     76          0.190652             0.078298           0.187239            0.0760741         nan                   nan               nan                nan
     77          0.191008             0.0726712          0.187571            0.06657           nan                   nan               nan                nan
     78          0.191257             0.0706009          0.187794            0.0608012         nan                   nan               nan                nan
     79          0.191597             0.0787359          0.188078            0.0859975         nan                   nan               nan                nan
     80          0.191913             0.0698011          0.188511            0.0838143         nan                   nan               nan                nan
     81          0.192178             0.0696513          0.188777            0.0648286         nan                   nan               nan                nan
     82          0.192494             0.0740504          0.189051            0.0740568         nan                   nan               nan                nan
     83          0.192795             0.0662399          0.189394            0.0694784         nan                   nan               nan                nan
     84          0.193046             0.0692056          0.18963             0.0661334         nan                   nan               nan                nan
     85          0.193372             0.0708911          0.189945            0.0647964         nan                   nan               nan                nan
     86          0.193637             0.0688721          0.19017             0.0767332         nan                   nan               nan                nan
     87          0.193946             0.0780848          0.190584            0.0820981         nan                   nan               nan                nan
     88          0.194287             0.0791743          0.190854            0.0524584         nan                   nan               nan                nan
     89          0.194606             0.0701942          0.191021            0.0481156         nan                   nan               nan                nan
     90          0.194872             0.0599952          0.191255            0.054151          nan                   nan               nan                nan
     91          0.195106             0.063078           0.191473            0.041658          nan                   nan               nan                nan
     92          0.195398             0.0740956          0.191602            0.0543212         nan                   nan               nan                nan
     93          0.195723             0.071711           0.191925            0.0656546         nan                   nan               nan                nan
     94          0.195995             0.0674108          0.192149            0.0505977         nan                   nan               nan                nan
     95          0.196285             0.0674996          0.192347            0.0465859         nan                   nan               nan                nan
     96          0.196558             0.0644965          0.192538            0.060547          nan                   nan               nan                nan
     97          0.196822             0.0562686          0.192852            0.0474595         nan                   nan               nan                nan
     98          0.197027             0.0635459          0.192933            0.0532711         nan                   nan               nan                nan
     99          0.197352             0.0740037          0.193296            0.0798584         nan                   nan               nan                nan
    100          0.197644             0.0672053          0.193598            0.0663063         nan                   nan               nan                nan
    101          0.197912             0.0716345          0.193848            0.067374          nan                   nan               nan                nan
    102          0.198241             0.0788496          0.19416             0.0748482         nan                   nan               nan                nan
