  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0626487             0.180506          0.0623689            0                  0.0614143             0.217902          0.0611938            0
      1          0.0634009             0.50806           0.0623689            0                  0.0623222             0.482844          0.0611938            0
      2          0.0668826             0.985859          0.0623689            0                  0.065438              0.887073          0.0611938            0.0184279
      3          0.0716163             1.19668           0.0623689            0.120447           0.0697145             1.06483           0.0613474            0.0503265
      4          0.0768549             1.31966           0.0633726            0.383635           0.0743116             1.15185           0.0616132            0.388387
      5          0.0826135             1.38982           0.0655659            0.486761           0.0793132             1.27045           0.0645839            0.498847
      6          0.0884368             1.45304           0.067429             1.68495            0.0848986             1.38441           0.0657702            0.418292
      7          0.0947222             1.59476           0.0796071            2.48376            0.09085               1.42649           0.0680697            1.23101
      8          0.101726              1.76341           0.088127             1.87383            0.0967861             1.42439           0.0760286            1.77253
      9          0.109417              1.94493           0.0952224            1.69403            0.10272               1.42084           0.0828408            1.46076
     10          0.117934              2.09584           0.102244             1.82966            0.108626              1.44729           0.0882017            1.09474
     11          0.126883              2.17831           0.11047              2.12805            0.114781              1.50371           0.0919636            1.36356
     12          0.136087              2.25017           0.119978             1.87921            0.121157              1.57947           0.0995646            1.73325
     13          0.145634              2.29486           0.12613              1.58416            0.127943              1.65824           0.106407             1.99512
     14          0.155211              2.28893           0.133179             1.49509            0.134976              1.73955           0.116191             1.86515
     15          0.164709              2.26042           0.138589             1.07885            0.142439              1.83907           0.12195              1.66778
     16          0.174048              2.17178           0.142169            -0.569371           0.150302              1.92006           0.130089             1.9852
     17          0.182807              2.05086           0.133844            -0.130888           0.15844               1.96182           0.138494             1.63001
     18          0.191138              1.89265           0.141079            -0.27862            0.16665               1.98305           0.143672             1.52542
     19          0.198579              1.68194           0.131522            -0.909289           0.174965              2.00099           0.151205             1.56222
     20          0.205154              1.45033           0.133501            -0.937026           0.183325              1.98628           0.156691             1.2843
     21          0.210665              1.2085            0.123714            -0.313534           0.191517              1.94027           0.161908             0.855066
     22          0.215225              1.00936           0.130888             0.112818           0.199494              1.89285           0.163816             1.29965
     23          0.219076              0.76444           0.124654            -0.309111           0.207291              1.79247           0.172738             0.301959
     24          0.221595              0.518256          0.128313            -0.0947862          0.214431              1.5015            0.166333             0.207664
     25          0.223395              0.338908          0.123864             0.261587           0.219804              0.987292          0.174469            -0.10394
     26          0.22442               0.210897          0.130492             0.54273            0.222659              0.68518           0.165466            -2.16059
     27          0.225152              0.175885          0.128387            -0.505398         nan                   nan               nan                  nan
