  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0                nan                  nan                nan                  nan          0.0620419             0.151939          0.0614945          0.00134163
      1                nan                  nan                nan                  nan          0.0626749             0.175194          0.0615001          0
      2                nan                  nan                nan                  nan          0.0635018             0.233108          0.0614945         -0.000670813
      3                nan                  nan                nan                  nan          0.0646175             0.397122          0.0614945          0.0194536
      4                nan                  nan                nan                  nan          0.0668111             0.532123          0.0616566          0
      5                nan                  nan                nan                  nan          0.0690519             0.554204          0.0614945          0
      6                nan                  nan                nan                  nan          0.0714295             0.667627          0.0616566          0
      7                nan                  nan                nan                  nan          0.0746154             0.797597          0.0614945         -0.0185592
      8                nan                  nan                nan                  nan          0.0780762             0.820964          0.0615019          0.22925
      9                nan                  nan                nan                  nan          0.0814568             0.820964          0.0634049          0.338593
     10                nan                  nan                nan                  nan          0.0849175             0.861157          0.0643235          0.333897
     11                nan                  nan                nan                  nan          0.0886331             0.790386          0.0661874          0.413277
     12                nan                  nan                nan                  nan          0.0915041             0.70072           0.0677675          0.21248
     13                nan                  nan                nan                  nan          0.0944724             0.732472          0.0679581          0.70223
     14                nan                  nan                nan                  nan          0.097608              0.796703          0.0736194          1.41553
     15                nan                  nan                nan                  nan          0.101112              0.908617          0.0797541          0.89179
     16                nan                  nan                nan                  nan          0.10518               0.983468          0.081051           0.394662
     17                nan                  nan                nan                  nan          0.109307              0.98386           0.083043           0.32568
     18                nan                  nan                nan                  nan          0.113379              0.945456          0.083765           0.497464
     19                nan                  nan                nan                  nan          0.117186              0.908449          0.0871885          0.992245
     20                nan                  nan                nan                  nan          0.120949              0.899561          0.0920337          0.786137
     21                nan                  nan                nan                  nan          0.124682              0.919797          0.0937396          0.772274
     22                nan                  nan                nan                  nan          0.128614              0.980002          0.0984693          0.910629
     23                nan                  nan                nan                  nan          0.132849              0.985593          0.101328           0.498247
     24                nan                  nan                nan                  nan          0.136827              0.960605          0.102621           0.518427
     25                nan                  nan                nan                  nan          0.140854              0.969269          0.105648           0.449389
     26                nan                  nan                nan                  nan          0.144905              1.00879           0.106366           0.859032
     27                nan                  nan                nan                  nan          0.149261              1.02763           0.112807           0.552974
     28                nan                  nan                nan                  nan          0.153468              1.02422           0.110974           0.282468
     29                nan                  nan                nan                  nan          0.157796              1.01634           0.115161           0.749354
     30                nan                  nan                nan                  nan          0.161938              1.00644           0.117219           0.674112
     31                nan                  nan                nan                  nan          0.166183              1.02299           0.120779           0.623186
     32                nan                  nan                nan                  nan          0.170463              1.04418           0.122412           0.510824
     33                nan                  nan                nan                  nan          0.174884              1.03713           0.125035           0.49042
     34                nan                  nan                nan                  nan          0.179105              1.01768           0.126499           0.548893
     35                nan                  nan                nan                  nan          0.183365              1.01058           0.12961            0.52357
     36                nan                  nan                nan                  nan          0.187527              1.01433           0.130862           0.813976
     37                nan                  nan                nan                  nan          0.191818              1.02668           0.136393           0.753994
     38                nan                  nan                nan                  nan          0.196082              1.01019           0.137145           0.467725
     39                nan                  nan                nan                  nan          0.200236              0.999288          0.14029            0.649291
     40                nan                  nan                nan                  nan          0.20441               0.979052          0.142556           0.658515
     41                nan                  nan                nan                  nan          0.208395              0.940648          0.145778           0.585676
     42                nan                  nan                nan                  nan          0.212249              0.833374          0.147437           0.506017
     43                nan                  nan                nan                  nan          0.215339              0.662484          0.149995           0.630844
     44                nan                  nan                nan                  nan          0.217769              0.506911          0.152694           0.491483
     45                nan                  nan                nan                  nan          0.219564              0.430662          0.15409            0.335183
