  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0642533          0.127808             0.0625254         -0.00728729           0.0627848          0.133361             0.0611441          0
      1          0.0647859          0.124893             0.062495          -0.00482082           0.0633405          0.146098             0.0611441          0
      2          0.0652941          0.170859             0.0624852         -0.00117718           0.0640023          0.169645             0.0611441          0.0126297
      3          0.0662097          0.211892             0.0624852          0                    0.0647542          0.199989             0.0612493          0.00246173
      4          0.0670599          0.185938             0.0624852          0.00168168           0.0656688          0.216043             0.0611646         -0.0126297
      5          0.0677592          0.153089             0.0624992          0.0122202            0.0665545          0.22787              0.0611441          0.0084555
      6          0.0683356          0.181734             0.0625871          0.00756757           0.0675678          0.247243             0.0612351          0.00379962
      7          0.0692736          0.211612             0.0625623          0.000224224          0.0686149          0.238038             0.0611757          0.00144493
      8          0.070099           0.198775             0.0625889         -0.00252252           0.0695514          0.227817             0.0612471          0.0455955
      9          0.0709301          0.185938             0.0625413          0.0105385            0.0705134          0.226907             0.0615557         -0.00893714
     10          0.0716485          0.219796             0.0626767          0.0507868            0.0714423          0.224392             0.0611726         -0.0357486
     11          0.0727617          0.263688             0.0629645         -0.0206847            0.0723833          0.239804             0.0612578          0.0020336
     12          0.0738459          0.21761              0.0625044          0.013005             0.0734407          0.249437             0.0611896          0.0196938
     13          0.0745751          0.190254             0.0630729          0.0776937            0.0744619          0.243122             0.0614219          0.0234399
     14          0.0754314          0.221197             0.0631518          0.0905305            0.0754667          0.256287             0.0613849          0.0219415
     15          0.0764184          0.246422             0.0638273          0.125341             0.0765977          0.263994             0.0616048          0.108048
     16          0.0774849          0.239808             0.0641963          0.180893             0.0776666          0.260836             0.0622853          0.14171
     17          0.0784168          0.227812             0.0653347          0.0137898            0.0787713          0.265867             0.0627857          0.047201
     18          0.0793833          0.233361             0.0643112          0.155275             0.0798822          0.264047             0.0626786          0.0656639
     19          0.0803615          0.234707             0.0666287          0.381798             0.0809717          0.268703             0.0633329          0.143476
     20          0.0813392          0.24446              0.0674929         -0.0811692            0.0821214          0.275125             0.0638743          0.120946
     21          0.0823987          0.254158             0.0659523         -0.0901381            0.0832644          0.27475              0.0643408          0.144867
     22          0.0834572          0.26649              0.0667417          0.33998              0.084411           0.280155             0.0650815          0.420474
     23          0.0846194          0.307299             0.0687855          0.30999              0.085599           0.275393             0.0678447          0.43107
     24          0.086018           0.326807             0.069325           0.2763               0.0867059          0.270362             0.0686738          0.350796
     25          0.0873428          0.314026             0.071088           0.102302             0.087852           0.27946              0.070768           0.278603
     26          0.0886349          0.290595             0.0701775          0.11626              0.0890347          0.29118              0.0709954          0.194691
     27          0.0897644          0.282466             0.0720568          0.313522             0.0902785          0.293855             0.0723904          0.237824
     28          0.0909888          0.306402             0.0727902          0.519303             0.0914835          0.307984             0.0729773          0.0560846
     29          0.0923178          0.307524             0.0763843          0.428661             0.0928451          0.321523             0.0728578          0.266562
     30          0.0935515          0.307692             0.0763624          0.394859             0.0941629          0.316493             0.0751987          0.446162
     31          0.0948819          0.319183             0.0796748          0.441385             0.0954825          0.317349             0.0765758          0.261639
     32          0.0962113          0.330058             0.0800406          0.273161             0.0968075          0.320239             0.077379           0.439954
     33          0.0976324          0.336168             0.0819512          0.179996             0.0981512          0.336615             0.0802421          0.144814
     34          0.0990127          0.317838             0.0815405          0.257409             0.0996126          0.34127              0.0785858          0.0481643
     35          0.100281           0.314979             0.0840962          0.297602             0.100995           0.333083             0.0806435          0.43776
     36          0.101638           0.333029             0.0840206          0.407976             0.102388           0.335865             0.0822338          0.526114
     37          0.103056           0.336729             0.087496           0.36756              0.103794           0.325002             0.0850277          0.345391
     38          0.104444           0.335832             0.0870836          0.177586             0.105097           0.320239             0.085112           0.13379
     39          0.105855           0.329946             0.0889759          0.239528             0.106463           0.33121              0.0861427          0.186717
     40          0.107193           0.358591             0.0890796          0.448561             0.107857           0.331263             0.086668           0.242801
     41          0.108843           0.375576             0.0927139          0.4679               0.109223           0.329818             0.088166           0.204591
     42          0.110323           0.350631             0.0929788          0.143335             0.110605           0.349672             0.0883729          0.249919
     43          0.111765           0.334374             0.0939084          0.145578             0.112137           0.329872             0.0902487          0.699934
     44          0.113109           0.312232             0.0941919          0.279439             0.113354           0.303863             0.0942057          0.522208
     45          0.114367           0.318567             0.096237           0.239696             0.114669           0.312051             0.0946004         -0.0313068
     46          0.115764           0.33045              0.0961894          0.131956             0.115955           0.328641             0.0939448          0.17002
     47          0.117121           0.318118             0.0973367          0.361001             0.117408           0.308144             0.0960172          0.340521
     48          0.118415           0.305337             0.0991977          0.301918             0.118522           0.27368              0.0967825          0.210638
     49          0.119665           0.291267             0.0998527          0.257746             0.119689           0.28342              0.0977725          0.258107
     50          0.120842           0.268733             0.101346           0.245301             0.120884           0.304452             0.0989334          0.381033
     51          0.121905           0.284092             0.101897           0.103816             0.122226           0.318794             0.100948           0.222358
     52          0.12321            0.292164             0.102211           0.270134             0.123541           0.297548             0.100786           0.159798
     53          0.124339           0.276805             0.104148           0.0131171            0.124705           0.278764             0.102279           0.184523
     54          0.125517           0.28611              0.10232            0.108412             0.125864           0.267526             0.102324           0.110457
     55          0.126724           0.313297             0.105051           0.467451             0.126935           0.260729             0.1032             0.16713
     56          0.128127           0.282803             0.106215           0.307804             0.128037           0.300384             0.103717           0.234399
     57          0.12908            0.238967             0.107616           0.159087             0.129438           0.304505             0.105153           0.0702663
     58          0.130119           0.234426             0.107541          -0.000392392          0.130574           0.237503             0.104302           0.0299154
     59          0.131034           0.257241             0.107613          -0.136553             0.131417           0.259124             0.105403           0.290002
     60          0.132262           0.248496             0.106403           0.0313353            0.132734           0.270416             0.106719           0.217007
     61          0.133105           0.186723             0.107874           0.145409             0.133671           0.232526             0.107211           0.0275607
     62          0.133818           0.20595              0.107615           0.0364364            0.134671           0.253612             0.106949           0.288183
     63          0.134821           0.226579             0.108178           0.0975936            0.135784           0.265492             0.109612           0.294872
     64          0.135707           0.218619             0.108428           0.236781             0.136884           0.250882             0.109406           0.0263833
     65          0.136643           0.217441             0.110151           0.0982102            0.137875           0.231617             0.109832          -0.0897996
     66          0.137519           0.183135             0.109247          -0.0563363            0.138814           0.220378             0.108658          -0.0430267
     67          0.138169           0.184088             0.109682           0.141093             0.139711           0.245049             0.109474           0.0749222
     68          0.139053           0.194346             0.110422           0.288128             0.140856           0.236433             0.109282           0.134218
     69          0.139788           0.187956             0.112083           0.122482             0.141681           0.213582             0.110592          -0.156266
     70          0.140619           0.209313             0.111443          -0.110655             0.142636           0.206839             0.10798           -0.010275
     71          0.141533           0.19586              0.111161          -0.0843083            0.143405           0.177244             0.110507           0.397837
     72          0.142251           0.151576             0.110741          -0.0534214            0.144113           0.178689             0.111295           0.0097934
     73          0.142796           0.122482             0.110715           0.0821782            0.144894           0.181954             0.110588          -0.065985
     74          0.143272           0.116709             0.111425           0.102583             0.145629           0.177512             0.110745           0.0545862
     75          0.143768           0.152585             0.11157            0.0668749            0.146373           0.175371             0.111043          -0.0999141
