  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0640341          0.14166              0.0625121         -0.0188771            0.0612619           0.124939            0.0604555         -0.000967689
      1          0.0646244          0.1467               0.0624335         -0.0067607            0.0617824           0.134079            0.0604514          0.00989193
      2          0.0652566          0.164224             0.0624558          0.000829193          0.0623792           0.168593            0.0605379          0.008978
      3          0.0659929          0.188336             0.0624404         -0.00600807           0.0631874           0.195151            0.0605262          0.00919304
      4          0.0668261          0.19815              0.0624057         -0.00508375           0.0640054           0.200258            0.0606145          0.0225794
      5          0.0676441          0.192478             0.062398           0.0249921            0.0648562           0.196172            0.0607144          0.00935432
      6          0.0684301          0.178333             0.062614           0.00917208           0.0656402           0.178592            0.0606924         -0.0108596
      7          0.0691303          0.178848             0.0624744          0.0185891            0.0663445           0.171066            0.0606239         -0.0289231
      8          0.0699205          0.180828             0.0627689         -0.00707459           0.0670658           0.18085             0.0604514         -0.0170421
      9          0.0706372          0.184249             0.0624155         -0.014643             0.0678516           0.183485            0.0604819          0.00403204
     10          0.0714559          0.194968             0.0626469          0.0206213            0.0685948           0.186979            0.060485           0.0105371
     11          0.0722619          0.204517             0.0625873          0.023289             0.0694097           0.186226            0.0605697          0.0123112
     12          0.0731602          0.222133             0.0628409          0.0567003            0.0701467           0.186495            0.0605876          0.0156443
     13          0.074113           0.235201             0.0630598          0.0373212            0.0709638           0.201978            0.0607001          0.188914
     14          0.0751202          0.238262             0.0631519         -0.02732              0.0718298           0.213107            0.0621619          0.0973602
     15          0.0760985          0.243998             0.0628322         -0.0613138            0.0727397           0.216171            0.0615114         -0.0792967
     16          0.0771535          0.260383             0.062641           0.0674562            0.0736313           0.219343            0.0615011          0.105048
     17          0.0782684          0.272593             0.0633943          0.132558             0.0745676           0.228321            0.0623868          0.0921455
     18          0.0794251          0.281397             0.0637456          0.01511              0.0755339           0.235578            0.062269           0.0403741
     19          0.0806133          0.293256             0.0635202          0.12011              0.0765307           0.248373            0.0627232          0.0451588
     20          0.0818689          0.311572             0.0647466          0.130006             0.0776037           0.265953            0.0626453         -0.0300521
     21          0.0832098          0.315092             0.0646036          0.112196             0.078747            0.274393            0.0624728          0.123542
     22          0.0844947          0.315726             0.0656815          0.228124             0.0798903           0.278856            0.0636748          0.155529
     23          0.0858408          0.322049             0.0665046          0.201018             0.0810708           0.276383            0.0637689          0.00650502
