  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.062346             0.363605           0.0621827            0                  0.0612484             0.143383          0.0610277             0
      1          0.0638611            0.579098           0.0621827            0                  0.0618459             0.441262          0.0610277             0
      2          0.0671719            0.74637            0.0621827            0                  0.0649256             0.702836          0.0610277             0
      3          0.0700808            0.706202           0.0621827            0                  0.0677028             0.655527          0.0610277             0
      4          0.0730569            0.742611           0.0621827            0.0627702          0.0703883             0.662432          0.0610277             0.130167
      5          0.0762692            0.742794           0.0627058            0.373347           0.0732231             0.794433          0.0621124             0.499845
      6          0.0792468            0.706064           0.065294             0.927074           0.0770086             1.03502           0.0651931             0.825828
      7          0.0821531            0.988272           0.0704314            1.30553            0.0818483             1.20241           0.0689943             0.961983
      8          0.0874824            1.46674            0.0761734            1.46613            0.0870287             1.25101           0.0732096             1.07866
      9          0.0943759            1.63454            0.0826492            1.62371            0.0922734             1.25511           0.0779832             1.18321
     10          0.101104             1.63581            0.0897043            1.71486            0.097488              1.26321           0.0830697             1.28635
     11          0.108008             1.67384            0.0969397            1.70766            0.1028                1.21692           0.0887028             1.35852
     12          0.115052             1.64659            0.103935             1.66319            0.107629              1.17382           0.0943907             1.37633
     13          0.121729             1.46979            0.1108               1.57888            0.112582              1.21336           0.100172              1.38043
     14          0.127301             1.17113            0.117092             1.47964            0.11774               1.2871            0.105894              1.33986
     15          0.131489             0.984603           0.12313              1.42983            0.123308              1.35011           0.111338              1.31283
     16          0.135506             1.00522            0.129007             1.34886            0.128991              1.33349           0.116835              1.31764
     17          0.139865             0.991787           0.13437              1.21745            0.13442               1.20888           0.122318              1.27777
     18          0.14377              0.947253           0.139153             1.14686            0.139065              1.08503           0.127483              1.24411
     19          0.147759             0.929162           0.143928             1.10752            0.143462              1.09161           0.132686              1.21584
     20          0.151513             0.848591           0.148382             1.04013            0.148162              1.04883           0.137615              1.15872
     21          0.154831             0.597589           0.152595             0.979509           0.152202              0.929994          0.142341              1.11006
     22          0.156493             0.561719           0.156545             0.937533           0.155912              0.887648          0.146865              1.05169
     23          0.159512             0.471114           0.160408             0.893626           0.1596                0.819031          0.151106              0.970668
     24          0.160419             0.135094           0.163991             0.827853           0.162737              0.598616          0.154954              0.897574
     25          0.160638             0.180388           0.167307             0.826605           0.164588              0.600504          0.158585              0.861054
     26          0.161923             0.31828            0.17088              0.808362           0.167741              0.758776          0.162129              0.825235
     27          0.16329              0.325243           0.174043             0.692569           0.170911              0.719235          0.165462              0.772585
     28          0.164633             0.324015           0.176651             0.546903           0.173735              0.671818          0.168568              0.749659
     29          0.16599              0.263447           0.178601             0.529781           0.17651               0.49677           0.171709              0.751547
     30          0.166828             0.17771            0.181066             0.577528           0.177875              0.416609          0.174831              0.718156
     31          0.167471             0.152386           0.183414             0.48021            0.179981              0.460951          0.177694              0.678561
     32          0.168098             0.105804           0.185068             0.409781           0.181716              0.37518           0.180485              0.613667
     33          0.168353             0.15882            0.186828             0.357638           0.183108              0.350798          0.182808              0.555569
     34          0.169422             0.17428            0.188048             0.115857           0.184639              0.367574          0.185115              0.553681
     35          0.169805             0.0683163          0.187794             0.17131          nan                   nan               nan                   nan
     36          0.169991             0.0480386          0.189476             0.0231948        nan                   nan               nan                   nan
     37          0.170205             0.110735           0.187987            -0.196129         nan                   nan               nan                   nan
     38          0.170914             0.172092           0.187841            -0.357211         nan                   nan               nan                   nan
     39          0.171639             0.119784           0.18501             -0.680933         nan                   nan               nan                   nan
     40          0.171912             0.111632           0.182167            -0.509297         nan                   nan               nan                   nan
     41          0.17257              0.147853           0.180766            -0.0548541        nan                   nan               nan                   nan
     42          0.173144             0.0736518          0.18171              0.262728         nan                   nan               nan                   nan
     43          0.173183             0.0496875          0.182956             0.229695         nan                   nan               nan                   nan
     44          0.173558             0.116744           0.183624             0.0700792        nan                   nan               nan                   nan
     45          0.174156             0.142192           0.18354             -0.115095         nan                   nan               nan                   nan
     46          0.174743             0.0841508          0.182665            -0.160847         nan                   nan               nan                   nan
     47          0.174858             0.0274836          0.182199            -0.111731         nan                   nan               nan                   nan
