  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0620112             0.469291          0.0615949          0                    0.061395             0.502218           0.0608479          0
      1          0.0639666             0.517555          0.0615949          0                    0.0634876            0.686221           0.0608479          0
      2          0.0663241             0.705413          0.0615949          0                    0.0671135            1.08471            0.0608479          0.000809159
      3          0.069845              1.04244           0.0615949          0.000273607          0.0725268            1.47623            0.0608546          0.217664
      4          0.0750112             1.55245           0.0615971          0.022381             0.0794154            1.69298            0.0626618          0.393575
      5          0.0827821             1.79661           0.0617814          0.181128             0.0866349            1.68882            0.0641344          0.405874
      6          0.0899829             1.6133            0.0631065          0.479578             0.0934889            1.56022            0.066044           0.755
      7          0.0962262             1.50818           0.0657778          1.49554              0.0996367            1.3951             0.0704261          1.09781
      8          0.102551              1.59502           0.0755693          1.89637              0.105115             1.35221            0.0751925          1.16336
      9          0.109518              1.69018           0.0815809          1.79721              0.110905             1.44138            0.0801207          1.0217
     10          0.116636              1.78124           0.0905461          1.73467              0.117126             1.4731             0.0837066          1.04975
     11          0.124362              1.92165           0.0960365          1.34992              0.123181             1.47396            0.0888686          1.85395
     12          0.13265               1.98464           0.101795           1.69937              0.129409             1.52802            0.0991562          2.09826
     13          0.1409                1.98381           0.110198           1.75896              0.135915             1.61573            0.106354           1.61519
     14          0.149181              1.9807            0.116453           1.21098              0.142874             1.72815            0.112616           1.5223
     15          0.157406              2.02059           0.120289           1.21651              0.150316             1.77832            0.11904            1.82428
     16          0.16602               2.09441           0.126591           0.899893             0.157693             1.81176            0.127818           2.17324
     17          0.174859              2.12959           0.127789           1.35315              0.165414             1.8882             0.13715            1.35728
     18          0.183766              2.12609           0.137867           1.37017              0.173428             1.9531             0.139129           0.883494
     19          0.192577              2.06628           0.139207           0.828865             0.18169              2.02009            0.144513           1.20338
     20          0.200985              1.94266           0.144775           1.0982               0.190262             2.07145            0.149157           1.26747
     21          0.208766              1.7159            0.148358           1.08748              0.198952             2.07672            0.155075           1.00535
     22          0.215284              1.32327           0.153837           0.493642             0.207568             2.03476            0.157535           1.44041
     23          0.219793              0.796251          0.152472           0.395088             0.215908             1.71883            0.167078           1.61454
     24          0.22192               0.510441          0.157129           1.11774              0.221892             0.952522           0.17099            1.36149
     25        nan                   nan               nan                nan                    0.223846             0.252791           0.178424           1.27011
     26        nan                   nan               nan                nan                    0.223998             0.0366525          0.181574           0.755971
