  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0                nan                  nan                nan                  nan          0.0613974           0.539278            0.0608449          0
      1                nan                  nan                nan                  nan          0.0636444           0.621398            0.0608449          0.0251027
      2                nan                  nan                nan                  nan          0.0665757           0.69676             0.0610541          0.325476
      3                nan                  nan                nan                  nan          0.0694507           0.675412            0.0635572          0.725832
      4                nan                  nan                nan                  nan          0.0722041           0.734199            0.0671027          0.912439
      5                nan                  nan                nan                  nan          0.075569            0.878808            0.0711609          1.05748
      6                nan                  nan                nan                  nan          0.0795275           0.998796            0.075915           1.16411
      7                nan                  nan                nan                  nan          0.0838923           1.14056             0.0808618          1.30475
      8                nan                  nan                nan                  nan          0.0890322           1.30695             0.0867879          1.43943
      9                nan                  nan                nan                  nan          0.0947835           1.40977             0.092857           1.48133
     10                nan                  nan                nan                  nan          0.10078             1.45756             0.0991323          1.52477
     11                nan                  nan                nan                  nan          0.10693             1.4972              0.105563           1.55089
     12                nan                  nan                nan                  nan          0.113257            1.53995             0.112056           1.54671
     13                nan                  nan                nan                  nan          0.119763            1.56227             0.118453           1.56479
     14                nan                  nan                nan                  nan          0.126276            1.53421             0.125096           1.55476
     15                nan                  nan                nan                  nan          0.132548            1.48824             0.131409           1.4949
     16                nan                  nan                nan                  nan          0.138678            1.43128             0.137554           1.42554
     17                nan                  nan                nan                  nan          0.144475            1.3601              0.143289           1.35726
     18                nan                  nan                nan                  nan          0.150012            1.30351             0.148864           1.30459
     19                nan                  nan                nan                  nan          0.155338            1.24028             0.15416            1.245
     20                nan                  nan                nan                  nan          0.160348            1.15413             0.159239           1.15006
     21                nan                  nan                nan                  nan          0.164956            1.06069             0.163744           1.05914
     22                nan                  nan                nan                  nan          0.169187            0.978789            0.168065           0.985279
     23                nan                  nan                nan                  nan          0.173112            0.888033            0.171955           0.887765
     24                nan                  nan                nan                  nan          0.176587            0.80232             0.175463           0.802695
     25                nan                  nan                nan                  nan          0.179798            0.717089            0.178644           0.717464
     26                nan                  nan                nan                  nan          0.182563            0.613781            0.181442           0.62231
     27                nan                  nan                nan                  nan          0.184913            0.521148            0.18383            0.521738
     28                nan                  nan                nan                  nan          0.186906            0.43286             0.18579            0.43817
     29                nan                  nan                nan                  nan          0.18852             0.360663            0.187481           0.362487
     30                nan                  nan                nan                  nan          0.189911            0.287715            0.188811           0.283639
     31                nan                  nan                nan                  nan          0.190918            0.207794            0.189845           0.212193
     32                nan                  nan                nan                  nan          0.191643            0.153244            0.190579           0.151635
     33                nan                  nan                nan                  nan          0.192195            0.110495            0.191108           0.10674
     34                nan                  nan                nan                  nan          0.192564            0.0666722           0.191469           0.0687641
     35                nan                  nan                nan                  nan          0.192751            0.0377076           0.191681           0.0428033
     36                nan                  nan                nan                  nan          0.192878            0.025639            0.191825           0.0293401
     37                nan                  nan                nan                  nan          0.192964            0.0118004           0.191926           0.0208116
     38                nan                  nan                nan                  nan          0.192976            0.00273555          0.191999           0.00579292
     39                nan                  nan                nan                  nan          0.192987            0.00600747          0.191974           0.0105667
     40                nan                  nan                nan                  nan          0.193026            0.00257463          0.192087           0.000643658
     41                nan                  nan                nan                  nan          0.193008           -0.00160914          0.191979          -0.00831391
     42                nan                  nan                nan                  nan          0.193013            0.00906485          0.192017           0.0121759
     43                nan                  nan                nan                  nan          0.193084            0.0158769           0.192081           0.00466652
     44                nan                  nan                nan                  nan          0.193145            0.0144823           0.192056           0.00675841
     45                nan                  nan                nan                  nan          0.193205            0.0110495           0.192137           0.018827
     46                nan                  nan                nan                  nan          0.193237            0.00960123          0.192213           0.0102985
     47                nan                  nan                nan                  nan          0.193285            0.0150723           0.192223           0.0116395
     48                nan                  nan                nan                  nan          0.193363            0.0134095           0.19231            0.0156623
     49                nan                  nan                nan                  nan          0.193396            0.0101376           0.192354           0.0111031
     50                nan                  nan                nan                  nan          0.193447            0.0196852           0.192403           0.017647
     51                nan                  nan                nan                  nan          0.19356             0.018827            0.192501           0.0151796
     52                nan                  nan                nan                  nan          0.193604            0.0114249           0.192529           0.0183979
     53                nan                  nan                nan                  nan          0.193656            0.0196852           0.192654           0.015716
     54                nan                  nan                nan                  nan          0.193768            0.0145359           0.19266           -0.00118004
     55                nan                  nan                nan                  nan          0.193777            0.0163596           0.192644           0.00740207
     56                nan                  nan                nan                  nan          0.193905            0.0215625           0.192722           0.0161987
     57                nan                  nan                nan                  nan          0.193956            0.0179688           0.192779           0.0183979
     58                nan                  nan                nan                  nan          0.194054            0.0195779           0.192875           0.0197925
     59                nan                  nan                nan                  nan          0.19412             0.0187197           0.192944           0.0191488
     60                nan                  nan                nan                  nan          0.19421             0.0186661           0.193035           0.0163596
     61                nan                  nan                nan                  nan          0.194275            0.0202752           0.19308            0.0161451
     62                nan                  nan                nan                  nan          0.194379            0.024459            0.193169           0.0224208
     63                nan                  nan                nan                  nan          0.194479            0.0232253           0.193267           0.0211334
     64                nan                  nan                nan                  nan          0.194573            0.0225817           0.193345           0.019417
     65                nan                  nan                nan                  nan          0.194667            0.0241372           0.193429           0.0181297
     66                nan                  nan                nan                  nan          0.194774            0.0258              0.193497           0.0137314
     67                nan                  nan                nan                  nan          0.194882            0.025049            0.193543           0.0151796
     68                nan                  nan                nan                  nan          0.194983            0.0217771           0.193623           0.0200607
     69                nan                  nan                nan                  nan          0.195064            0.0253708           0.193711           0.0241908
     70                nan                  nan                nan                  nan          0.195194            0.0236008           0.193825           0.0249954
     71                nan                  nan                nan                  nan          0.19526             0.0297155           0.193919           0.023118
     72                nan                  nan                nan                  nan          0.195442            0.0328266           0.194017           0.0209725
     73                nan                  nan                nan                  nan          0.195534            0.0226353           0.194094           0.0152869
     74                nan                  nan                nan                  nan          0.19563             0.0253172           0.194145           0.0298765
     75                nan                  nan                nan                  nan          0.195745            0.0292328           0.194343           0.031271
     76                nan                  nan                nan                  nan          0.195874            0.0285355           0.194405           0.0193097
