  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0                nan                  nan                nan                  nan          0.0618066             0.164932          0.0612778           0.00799276
      1                nan                  nan                nan                  nan          0.0624938             0.160503          0.0613111           0.00145814
      2                nan                  nan                nan                  nan          0.0631441             0.137605          0.06129            -0.00399638
      3                nan                  nan                nan                  nan          0.0636405             0.249558          0.0612778          -0.00145814
      4                nan                  nan                nan                  nan          0.0652238             0.48097           0.0612778           0.00183617
      5                nan                  nan                nan                  nan          0.0676486             0.656486          0.0612931           0.00178217
      6                nan                  nan                nan                  nan          0.0706945             0.741328          0.0612927           0.0618899
      7                nan                  nan                nan                  nan          0.0738264             0.79555           0.0618089           0.0575695
      8                nan                  nan                nan                  nan          0.0773241             0.839564          0.0617724           0.229468
      9                nan                  nan                nan                  nan          0.0808227             0.817584          0.0637211           0.334886
     10                nan                  nan                nan                  nan          0.0841373             0.784856          0.0645631           0.475785
     11                nan                  nan                nan                  nan          0.0873632             0.771247          0.067686            0.586928
     12                nan                  nan                nan                  nan          0.0905643             0.749267          0.0694542           0.662643
     13                nan                  nan                nan                  nan          0.0936071             0.712058          0.073208            1.16365
     14                nan                  nan                nan                  nan          0.0964982             0.717404          0.0791513           0.915981
     15                nan                  nan                nan                  nan          0.0995855             0.744461          0.0808412           0.570348
     16                nan                  nan                nan                  nan          0.102702              0.73312           0.0839042           0.591788
     17                nan                  nan                nan                  nan          0.105695              0.708115          0.0857727           0.91139
     18                nan                  nan                nan                  nan          0.108603              0.718646          0.0914991           1.06169
     19                nan                  nan                nan                  nan          0.111683              0.773623          0.0946201           1.01157
     20                nan                  nan                nan                  nan          0.11505               0.814235          0.0999288           1.17494
     21                nan                  nan                nan                  nan          0.118469              0.856629          0.104411            0.759852
     22                nan                  nan                nan                  nan          0.122188              0.926404          0.106261            0.807215
     23                nan                  nan                nan                  nan          0.126189              0.959617          0.111138            1.47893
     24                nan                  nan                nan                  nan          0.130185              0.951192          0.118585            1.07465
     25                nan                  nan                nan                  nan          0.134115              0.949788          0.120093            0.690294
     26                nan                  nan                nan                  nan          0.1381                0.953731          0.124338            0.917277
     27                nan                  nan                nan                  nan          0.142063              0.949194          0.127737            0.845234
     28                nan                  nan                nan                  nan          0.14601               0.963613          0.131381            0.967124
     29                nan                  nan                nan                  nan          0.150093              0.974739          0.135797            1.01049
     30                nan                  nan                nan                  nan          0.154133              0.971444          0.139802            0.897295
     31                nan                  nan                nan                  nan          0.158189              0.966368          0.143274            0.648602
     32                nan                  nan                nan                  nan          0.162186              0.950004          0.145207            0.578503
     33                nan                  nan                nan                  nan          0.166105              0.935369          0.148095            0.537405
     34                nan                  nan                nan                  nan          0.169981              0.924082          0.149686            0.499277
     35                nan                  nan                nan                  nan          0.173806              0.918033          0.152256            0.310043
     36                nan                  nan                nan                  nan          0.177631              0.919923          0.152269            0.261007
     37                nan                  nan                nan                  nan          0.181472              0.923434          0.154431            0.0720968
     38                nan                  nan                nan                  nan          0.185326              0.918897          0.15287             0.303293
     39                nan                  nan                nan                  nan          0.18913               0.916413          0.156958            0.548368
     40                nan                  nan                nan                  nan          0.192963              0.903182          0.15744             0.376632
     41                nan                  nan                nan                  nan          0.196656              0.890923          0.160097            0.564462
     42                nan                  nan                nan                  nan          0.200387              0.885198          0.162144            0.906908
     43                nan                  nan                nan                  nan          0.204033              0.838916          0.167654            0.546532
     44                nan                  nan                nan                  nan          0.207378              0.753935          0.166698            0.325759
     45                nan                  nan                nan                  nan          0.210316              0.650699          0.170369            0.550744
     46                nan                  nan                nan                  nan          0.212801              0.557597          0.171288            0.787125
     47                nan                  nan                nan                  nan          0.214962              0.449245          0.176928            0.751049
     48                nan                  nan                nan                  nan          0.216545              0.379771          0.177546            0.148298
