  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0632063          0.127312             0.0621259         -0.00334152           0.0622815          0.12456              0.060421          -0.00320361
      1          0.0637368          0.136278             0.062112          -0.00300737           0.0628005          0.139818             0.0604076         -0.0036233
      2          0.064342           0.162175             0.0621008         -0.000556921          0.0634466          0.168365             0.0603908         -0.00512247
      3          0.0650882          0.168524             0.0621073          0.00545782           0.0642035          0.177813             0.060365          -0.00730458
      4          0.0657463          0.167633             0.0621463          0.00289599           0.0649284          0.174044             0.0603299         -0.00420359
      5          0.0664852          0.192806             0.0621314         -0.0035086            0.0656539          0.164201             0.0603299         -7.11914e-05
      6          0.067353           0.223715             0.0621171         -0.00367568           0.0662967          0.157525             0.0603293         -7.11914e-05
      7          0.0683495          0.237025             0.0621008         -0.00194922           0.0669666          0.168906             0.0603293          0
      8          0.0693283          0.231178             0.0621008          0                    0.0677043          0.170832             0.0603293          0
      9          0.0702759          0.231512             0.0621008          0                    0.0683902          0.176983             0.0603293          0.00555293
     10          0.0712575          0.238919             0.0621008          0.00467813           0.0691792          0.188364             0.0603756          0.0057309
     11          0.0722669          0.237972             0.0621398          0.0128092            0.0699599          0.18401              0.0603771          0.00929047
     12          0.0732406          0.243987             0.0622076          0.015371             0.0707126          0.189195             0.060453           0.0164808
     13          0.0743002          0.256518             0.0622679          0.0354758            0.0715365          0.202695             0.0605144          0.0256645
     14          0.0753783          0.262644             0.0625032          0.0734578            0.0724017          0.20444              0.0606669          0.0469574
     15          0.0764889          0.275509             0.06288            0.094955             0.0732402          0.22098              0.0609057          0.0619989
     16          0.0776742          0.27846              0.0632945          0.110939             0.0742432          0.237617             0.0611836          0.0759944
     17          0.0788094          0.287204             0.0638045          0.138116             0.0752203          0.247382             0.061539           0.097213
     18          0.0800675          0.298844             0.0644455          0.154768             0.0763047          0.26619              0.0619937          0.126337
     19          0.0812997          0.29656              0.0650943          0.180943             0.0774386          0.27384              0.0625918          0.156933
     20          0.0825389          0.293831             0.0659533          0.234519             0.0785867          0.274393             0.0633014          0.190826
     21          0.0837483          0.290267             0.0670486          0.225943             0.0797252          0.292941             0.0641821          0.204409
     22          0.0849578          0.292049             0.0678362          0.225386             0.0810279          0.312149             0.0650048          0.210412
     23          0.0861821          0.292996             0.0689268          0.232236             0.0823264          0.325143             0.0659355          0.259853
     24          0.0873994          0.298788             0.0697715          0.238696             0.0837374          0.332911             0.0671703          0.237108
     25          0.088672           0.306195             0.0709159          0.2676               0.0851007          0.33263              0.0679114          0.22993
     26          0.089951           0.303076             0.0720015          0.248943             0.0865093          0.351677             0.0690864          0.256838
     27          0.0911976          0.303299             0.0729905          0.257075             0.0880313          0.356783             0.0700517          0.246822
     28          0.0924785          0.303243             0.0741438          0.269995             0.0894825          0.355811             0.0711432          0.258928
     29          0.0937246          0.303355             0.0752404          0.254958             0.0909964          0.362722             0.0722094          0.265844
     30          0.0950065          0.30536              0.0762684          0.248387             0.0925052          0.354555             0.0733586          0.233087
     31          0.0962693          0.29656              0.0773103          0.246382             0.0939511          0.343455             0.0741518          0.237047
     32          0.0974778          0.299289             0.0783216          0.261697             0.0953673          0.340785             0.075334           0.266021
     33          0.0987634          0.306585             0.0794911          0.264649             0.0967909          0.342879             0.0763687          0.262988
