  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.062572              0.4127            0.0616837          0.0170765            0.0614404             0.144792          0.0609328          0.00596075
      1          0.0642915             0.578782          0.0617549         -0.000275427          0.0620437             0.214045          0.0609577          0.0207542
      2          0.0673951             0.730653          0.0616814         -0.00881366           0.0632241             0.411183          0.0611058         -0.000596075
      3          0.0703803             0.712089          0.0616814          0.00214833           0.0654702             0.589626          0.0609527         -0.0207542
      4          0.0733292             0.685703          0.0616993          0.101853             0.0681377             0.618129          0.0609328          0.00135472
      5          0.0760945             0.661741          0.0625302          0.296525             0.0706213             0.583124          0.060964           0.0412375
      6          0.0788437             0.681957          0.0641703          0.478582             0.072997              0.56302           0.0612765          0.150102
      7          0.0817775             0.720352          0.0665184          0.588973             0.0753131             0.565837          0.0622148          0.304594
      8          0.0848466             0.750098          0.0690785          0.718864             0.0777123             0.585129          0.0638148          0.400074
      9          0.0880283             0.777971          0.0725089          0.773123             0.0801892             0.652648          0.0655488          0.465318
     10          0.0913297             0.808323          0.0755211          0.817743             0.0831511             0.705536          0.0676924          0.521836
     11          0.0947643             0.83873           0.0793234          0.909184             0.0860687             0.724393          0.0698974          0.595153
     12          0.0983192             0.889243          0.0830977          0.972863             0.0891877             0.768015          0.072652           0.662402
     13          0.102175              0.973359          0.0874306          0.959147             0.0924688             0.790883          0.0754174          0.754414
     14          0.10643               1.04761           0.0910906          0.950223             0.0957784             0.804322          0.0789388          0.80443
     15          0.110905              1.06783           0.0953491          0.981126             0.0991715             0.806272          0.082121           0.802425
     16          0.115329              1.07014           0.0992666          0.964104             0.102497              0.800041          0.0856257          0.783134
     17          0.119823              1.09405           0.103383           0.986745             0.105838              0.813046          0.0886471          0.819549
     18          0.124446              1.11113           0.107489           1.02002              0.109273              0.837431          0.0924552          0.870919
     19          0.129082              1.09873           0.111883           1.01363              0.112817              0.839869          0.0959048          0.859756
     20          0.133602              1.05566           0.115936           0.990601             0.116272              0.863712          0.0996199          0.902999
     21          0.137879              1.00272           0.120138           0.974516             0.120015              0.899477          0.10343            0.935837
     22          0.141958              0.97088           0.124057           0.97402              0.123767              0.923862          0.107419           0.931177
     23          0.14597               0.940638          0.128255           0.935901             0.127714              0.970464          0.11119            0.963473
     24          0.149797              0.909405          0.131857           0.898333             0.131854              0.979513          0.115447           0.942719
     25          0.153548              0.884231          0.135741           0.892934             0.135876              0.975232          0.119046           0.949384
     26          0.157165              0.850078          0.139298           0.891667             0.139981              0.981356          0.123359           0.963853
     27          0.160632              0.808378          0.143172           0.878061             0.144054              0.970681          0.127078           0.928793
     28          0.163902              0.768331          0.146615           0.847489             0.14807               0.967158          0.131099           0.947867
     29          0.167035              0.720902          0.150234           0.816035             0.152114              0.960601          0.134977           0.949005
     30          0.16991               0.676504          0.153415           0.801658             0.156075              0.946567          0.139007           0.947921
     31          0.172672              0.654745          0.156915           0.818018             0.160002              0.940389          0.142876           0.939847
     32          0.175366              0.630287          0.160232           0.771691             0.163912              0.916654          0.146839           0.915842
     33          0.177925              0.628304          0.163346           0.711868             0.167641              0.885063          0.150508           0.906901
     34          0.180602              0.608638          0.166164           0.689063             0.171287              0.8752            0.154397           0.901915
     35          0.182997              0.565892          0.169088           0.695343             0.174934              0.848973          0.158024           0.892595
     36          0.185317              0.55774           0.171959           0.679919             0.178362              0.824696          0.161835           0.849569
     37          0.187645              0.536862          0.174754           0.671326             0.181806              0.826105          0.165104           0.83548
     38          0.189791              0.508438          0.177553           0.665762             0.185246              0.813534          0.168798           0.828544
     39          0.191882              0.479684          0.180302           0.635906             0.188586              0.775818          0.172008           0.841549
     40          0.193789              0.486349          0.182852           0.628965             0.191712              0.742709          0.17581            0.813967
     41          0.195935              0.490701          0.185543           0.609795             0.194775              0.720654          0.178791           0.76704
     42          0.197878              0.486624          0.187934           0.61916              0.197717              0.683712          0.182202           0.777065
     43          0.19999               0.472688          0.190703           0.633096             0.200473              0.649508          0.185267           0.736748
     44          0.201817              0.436331          0.19321            0.55796              0.20313               0.626742          0.188342           0.717511
     45          0.203626              0.415674          0.195353           0.552837             0.205696              0.615814          0.191246           0.696974
     46          0.205281              0.397166          0.197817           0.591397           nan                   nan               nan                nan
