  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0647541          0.216333             0.062032           0.00686068           0.0630839          0.123682             0.0612647          0
      1          0.0656555          0.199292             0.0620606          0.0161558            0.0635992          0.135953             0.0612647          0
      2          0.0664149          0.212681             0.0621666          0.0546641            0.0642168          0.133047             0.0612647          0.000699681
      3          0.0674278          0.217993             0.0625161          0.0650658            0.064708           0.118354             0.0612706          0.00279873
      4          0.0682315          0.189001             0.0627088          0.0385083            0.0652031          0.134016             0.061288           0.0106029
      5          0.0690028          0.161945             0.062837           0.0156025            0.0658248          0.140044             0.0613589          0.0311627
      6          0.069581           0.140312             0.0628388          0.0476928            0.0663702          0.134716             0.0615477          0.0389669
      7          0.0701721          0.152263             0.0632344          0.243831             0.0669474          0.157644             0.0616836          0.0463404
      8          0.0708499          0.173343             0.0648708          0.17871              0.0676839          0.171422             0.0619339          0.014801
      9          0.0716166          0.187783             0.0647237          0.226734             0.0683759          0.169269             0.061807          -0.00430573
     10          0.0724147          0.187894             0.0667602          0.205599             0.0690944          0.174705             0.061898           0.0805172
     11          0.0731824          0.20831              0.066437           0.135664             0.0698318          0.175028             0.062478           0.0686226
     12          0.0741507          0.241396             0.0678908          0.214894             0.070553           0.179603             0.0624699          0.102261
     13          0.0751941          0.256169             0.0682278          0.255948             0.0713285          0.188806             0.0633301          0.22562
     14          0.0762854          0.269392             0.0700236          0.0857585            0.0721264          0.193596             0.0643501          0.128203
     15          0.077439           0.282228             0.0689424          0.277138             0.0729418          0.198117             0.0643985          0.0635634
     16          0.0786373          0.283612             0.0723331          0.370643             0.0737774          0.202369             0.0648797          0.18703
     17          0.0798024          0.273321             0.0720311          0.313212             0.0746282          0.21421              0.0659571          0.247364
     18          0.080915           0.270222             0.0749432          0.465973             0.0755624          0.228042             0.0669411         -0.0257267
     19          0.0820543          0.27653              0.0759142          0.229169             0.0765285          0.234824             0.0657427         -0.0186761
     20          0.0832194          0.27913              0.076853           0.253181             0.0775193          0.232994             0.0667855         -0.134231
     21          0.0843804          0.262919             0.0780241          0.224466             0.0784702          0.24209              0.0646241          0.106352
     22          0.0854104          0.256501             0.0787235          0.0639592            0.0795367          0.242359             0.0676717          0.226966
     23          0.0865179          0.263694             0.0785571          0.0879716            0.0804898          0.244458             0.0665155          0.126858
     24          0.0876078          0.27996              0.0794566          0.234868             0.0815739          0.25942              0.0687289          0.267063
     25          0.0888509          0.292077             0.0805143          0.381874             0.0826517          0.248225             0.068741           0.299302
     26          0.0900418          0.279462             0.0826389          0.211851             0.0836424          0.244512             0.0712231          0.294243
     27          0.0911797          0.275755             0.0822797          0.100752             0.0846893          0.257267             0.071193           0.268409
     28          0.0923398          0.297333             0.0834785          0.47726              0.0857863          0.254361             0.0734598          0.200217
     29          0.0936575          0.27913              0.0862569          0.425749             0.0868089          0.248333             0.0728615          0.107374
