  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0622897             0.764987                nan                  nan          0.0612942             0.400404                nan                  nan
      1          0.0654771             0.811388                nan                  nan          0.0629626             0.678931                nan                  nan
      2          0.0690513             0.880018                nan                  nan          0.066952              1.03359                 nan                  nan
      3          0.0728106             0.927531                nan                  nan          0.0715758             1.13577                 nan                  nan
      4          0.0767807             0.95715                 nan                  nan          0.0764167             1.14905                 nan                  nan
      5          0.0807869             1.01478                 nan                  nan          0.0811512             1.10741                 nan                  nan
      6          0.0852372             1.10413                 nan                  nan          0.0856452             1.07528                 nan                  nan
      7          0.089988              1.1786                  nan                  nan          0.0901119             1.06729                 nan                  nan
      8          0.0950588             1.27046                 nan                  nan          0.0945393             1.08119                 nan                  nan
      9          0.100575              1.37399                 nan                  nan          0.0991219             1.10235                 nan                  nan
     10          0.106509              1.49557                 nan                  nan          0.103726              1.12643                 nan                  nan
     11          0.113038              1.69769                 nan                  nan          0.108509              1.1773                  nan                  nan
     12          0.120656              1.96543                 nan                  nan          0.113536              1.24707                 nan                  nan
     13          0.129417              2.19893                 nan                  nan          0.118901              1.38363                 nan                  nan
     14          0.138981              2.33469                 nan                  nan          0.125067              1.60955                 nan                  nan
     15          0.148873              2.34631                 nan                  nan          0.132314              1.83473                 nan                  nan
     16          0.158533              2.27784                 nan                  nan          0.140356              1.983                   nan                  nan
     17          0.167855              2.19043                 nan                  nan          0.148839              2.07466                 nan                  nan
     18          0.176787              2.1053                  nan                  nan          0.157645              2.13194                 nan                  nan
     19          0.185399              2.04823                 nan                  nan          0.166605              2.14483                 nan                  nan
     20          0.193855              2.00866                 nan                  nan          0.175518              2.13172                 nan                  nan
     21          0.202138              1.95481                 nan                  nan          0.184369              2.10848                 nan                  nan
     22          0.210145              1.89296                 nan                  nan          0.193089              2.07714                 nan                  nan
     23          0.217912              1.86406                 nan                  nan          0.201679              2.04816                 nan                  nan
     24        nan                   nan                       nan                  nan          0.210157              2.01153                 nan                  nan
     25        nan                   nan                       nan                  nan          0.218442              1.98829                 nan                  nan
