  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0625444             0.125842          0.0623813            0                  0.0620079             0.125224          0.0615238           0
      1          0.0630687             0.26212           0.0623813            0                  0.0625296             0.124577          0.0615238           0
      2          0.0647287             0.492716          0.0623813            0                  0.063046              0.144568          0.0615238           0
      3          0.0671747             0.635022          0.0623813            0                  0.0637344             0.198881          0.0615238           0
      4          0.0700205             0.693574          0.0623813            0                  0.0647034             0.290267          0.0615238           0
      5          0.0729545             0.714505          0.0623813            0                  0.0661533             0.43311           0.0615238           0.00140095
      6          0.0759748             0.747168          0.0623813            0.0018649          0.0683126             0.54427           0.0615355           0.0140095
      7          0.0791809             0.786657          0.0623969            0.111946           0.0706888             0.596914          0.0616406           0.135138
      8          0.0825302             0.826967          0.0633142            0.46437            0.0732869             0.64169           0.0626617           0.323243
      9          0.0860722             0.882329          0.0662666            0.879235           0.0760363             0.670841          0.0643343           0.396685
     10          0.089883              0.927381          0.0706412            1.18266            0.0788772             0.671272          0.0659674           0.679947
     11          0.0938004             0.953956          0.0761221            0.884687           0.0816302             0.687545          0.0700005           0.802315
     12          0.0978326             0.964066          0.0780136            1.21343            0.0846068             0.730543          0.0726533           0.862448
     13          0.101834              0.973497          0.0862341            1.4162             0.0877181             0.756299          0.0771876           1.14258
     14          0.105945              1.00155           0.0898152            0.686746           0.0909093             0.796334          0.0821749           1.01143
     15          0.110181              1.02024           0.0919569            1.19173            0.0943542             0.842188          0.0856162           0.809427
     16          0.114447              1.02252           0.0997463            1.30989            0.0979275             0.849193          0.0889201           0.858622
     17          0.118702              1.04435           0.102873             1.11403            0.101431              0.855821          0.0927714           0.800052
     18          0.12315               1.06367           0.10903              1.28025            0.105059              0.874949          0.0955872           0.724993
     19          0.127565              1.06233           0.113541             0.948171           0.108722              0.899035          0.098813            0.756892
     20          0.132003              1.06082           0.116931             0.884635           0.112551              0.913367          0.101895            0.962239
     21          0.136406              1.04937           0.120913             0.819604           0.116333              0.921504          0.106832            0.930879
     22          0.140748              1.03054           0.123761             0.684653           0.12023               0.957875          0.109652            0.632638
     23          0.144993              1.00872           0.126619             0.781867           0.124316              0.95184           0.112104            0.58118
     24          0.149153              0.977048          0.130277             0.989692           0.128162              0.928024          0.114495            0.707643
     25          0.153136              0.944769          0.134866             0.680055           0.132049              0.947691          0.118001            0.878451
     26          0.157027              0.906203          0.135944             0.540363           0.13606               0.96003           0.121816            0.803177
     27          0.160687              0.860518          0.139369             0.59949            0.140049              0.962562          0.124694            0.711415
     28          0.164198              0.823995          0.14094              0.595394           0.144081              0.972638          0.127744            0.818426
     29          0.167554              0.780744          0.144331             0.11827            0.148155              0.97447           0.131514            0.922689
     30          0.170704              0.735353          0.141925             0.0670369          0.152202              0.973824          0.135433            1.002
     31          0.173682              0.69323           0.14489              0.051738           0.15627               0.95739           0.139864            0.70344
     32          0.176481              0.635926          0.142357             0.0677897          0.16018               0.943596          0.141295            0.775589
     33          0.178981              0.584488          0.145454            -0.153609           0.164133              0.93061           0.146327            0.809212
     34          0.181351              0.567881          0.141076            -0.484786           0.167935              0.905016          0.148039            0.744068
     35          0.183714              0.551161          0.141415            -0.321476           0.171675              0.893             0.152528            0.699237
     36          0.185944              0.537501          0.138397             0.35047            0.175377              0.883031          0.153865            0.728765
     37          0.188193              0.547429          0.144335             0.372052           0.179034              0.868375          0.158601            0.834752
     38          0.190506              0.539931          0.141498             0.165263           0.182613              0.841865          0.160822            0.755814
     39          0.192692              0.533906          0.145712             0.258662           0.186049              0.813038          0.164899            0.784426
     40          0.194956              0.530608          0.143653             0.330714           0.189389              0.787389          0.167359            0.641852
     41          0.197114              0.498018          0.148468             0.130798           0.192611              0.760017          0.170248            0.436936
     42          0.199106              0.484972          0.144743             0.27766            0.195722              0.730381          0.171               0.451053
     43          0.201155              0.486018          0.150782             0.470172           0.198697              0.674236          0.174007            0.639697
     44          0.203156              0.453077          0.148662             0.179989           0.201341              0.593896          0.176331            0.536996
     45          0.204931              0.408899          0.152282             0.231035           0.203646              0.543145          0.178482            0.0862125
     46          0.206563              0.406145          0.150587             0.824753           0.205867              0.503473          0.177049            0.305246
     47          0.208315              0.391327          0.159155             0.290572           0.207842              0.460221          0.181026            0.381275
     48          0.209824              0.359322          0.153008            -0.16048            0.209702              0.44641           0.180226           -0.191823
     49          0.21131               0.331394          0.157818             0.461134         nan                   nan               nan                 nan
     50          0.212586              0.287601          0.156851            -0.194978         nan                   nan               nan                 nan
     51          0.213707              0.208719          0.156193            -0.0495891        nan                   nan               nan                 nan
     52          0.214325              0.14851           0.156438             0.0587868        nan                   nan               nan                 nan
