  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0623434             0.303951          0.0617127           0                   0.0621339             0.151386          0.0613283          0
      1          0.0636099             0.429709          0.0617127           0                   0.0627647             0.212372          0.0613283          0.000324398
      2          0.0659243             0.634945          0.0617127           0                   0.0639036             0.352783          0.061331           0
      3          0.0689011             0.745972          0.0617127           0.00164892          0.0657045             0.516766          0.0613283         -0.000324398
      4          0.0721408             0.778841          0.0617265           0.0543045           0.06821               0.671341          0.0613283          0.00410904
      5          0.0753914             0.775103          0.0621653           0.177754            0.071299              0.731949          0.0613625          0.0454697
      6          0.0786                0.766529          0.0632077           0.262343            0.0743096             0.724759          0.0617072          0.109755
      7          0.0817792             0.769991          0.0643515           0.361663            0.0773387             0.747466          0.0622772          0.226862
      8          0.0850166             0.784172          0.0662216           0.491489            0.0805385             0.78926           0.0635977          0.342077
      9          0.088314              0.812808          0.0684472           0.6112              0.0839158             0.805966          0.0651278          0.419338
     10          0.09179               0.834299          0.0713149           0.745203            0.0872549             0.830026          0.0670922          0.418635
     11          0.0952664             0.862386          0.0746572           0.890857            0.0908327             0.844461          0.0686164          0.527092
     12          0.0989765             0.898333          0.0787388           0.85634             0.0942921             0.822889          0.0714846          0.699293
     13          0.102753              0.942084          0.0817934           0.855296            0.0976901             0.812941          0.0744439          0.737086
     14          0.106827              1.01403           0.0858662           0.973853            0.101067              0.812562          0.077627           0.746872
     15          0.111203              1.08065           0.0899088           1.01112             0.104461              0.828944          0.0806678          0.813752
     16          0.115833              1.1133            0.0942922           1.09038             0.107974              0.859708          0.0844083          0.865385
     17          0.12048               1.10676           0.0989953           1.13688             0.111626              0.893229          0.0878793          0.856248
     18          0.125056              1.12143           0.103766            1.14375             0.115418              0.934319          0.0915437          0.91491
     19          0.129826              1.15221           0.108527            1.15392             0.119412              0.95919           0.0955036          0.953351
     20          0.134657              1.16843           0.113382            1.17596             0.123411              0.963245          0.0994883          0.943781
     21          0.139562              1.1709            0.118326            1.21273             0.127439              0.958866          0.103368           0.958974
     22          0.144415              1.16865           0.123488            1.18195             0.131402              0.955622          0.10748            0.953729
     23          0.149301              1.17029           0.128176            1.15743             0.135402              0.963299          0.111316           0.997631
     24          0.154167              1.1565            0.133133            1.14474             0.139429              0.964759          0.115793           1.01839
     25          0.158939              1.14501           0.137715            1.14858             0.143442              0.979735          0.119803           1.04505
     26          0.163709              1.13023           0.142705            1.11923             0.147594              1.00904           0.124502           1.07073
     27          0.168357              1.1089            0.147042            1.11269             0.151851              1.03807           0.128726           1.03364
     28          0.17295               1.08395           0.151977            1.11901             0.156244              1.06532           0.133116           1.03234
     29          0.17739               1.06037           0.156367            1.08092             0.160728              1.07992           0.137328           1.04024
     30          0.181786              1.03783           0.160985            1.05564             0.165244              1.08608           0.141784           1.04402
     31          0.186039              0.99364           0.165164            1.02431             0.169779              1.09479           0.146029           1.04548
     32          0.190067              0.944008          0.169521            1.04135             0.174367              1.09311           0.150497           1.06489
     33          0.193905              0.966268          0.173842            1.05075             0.178888              1.07705           0.154903           1.05483
     34          0.198119              1.01909           0.178277            1.0236              0.183342              1.07543           0.159287           1.03888
     35          0.202398              0.990892          0.182372            1.01804             0.18785               1.07662           0.16356            1.08457
     36          0.206376              0.882063          0.186761            1.0386              0.192314              1.06278           0.168325           1.08706
     37          0.209748              0.809291          0.191027            1.02387             0.196707              1.04991           0.172619           1.04521
     38        nan                   nan               nan                 nan                   0.201064              1.03883           0.177035           1.05792
     39        nan                   nan               nan                 nan                   0.205364              1.02675           0.181435           1.07489
     40        nan                   nan               nan                 nan                   0.20962               1.02258           0.185993           1.07067
     41        nan                   nan               nan                 nan                   0.213885              1.02367           0.190357           1.04748
