  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0624749             0.187208          0.0622376           0                   0.061358              0.226735          0.0611111            0
      1          0.0632549             0.432457          0.0622376           0                   0.0623027             0.416911          0.0611111            0
      2          0.0660787             0.783952          0.0622376           0                   0.0648322             0.670366          0.0611111            0
      3          0.0697879             0.911744          0.0622376           0.0190725           0.0678891             0.726379          0.0611111            0
      4          0.0736766             0.907072          0.0623966           0.0160495           0.0708854             0.769199          0.0611111            0.0242052
      5          0.0773468             0.861177          0.0623714           0.00862936          0.0742991             0.835722          0.0613128            0.0600378
      6          0.080853              0.852877          0.0624685           0.170334            0.0778498             0.834939          0.0616114            0.112417
      7          0.0844541             0.844193          0.0637908           0.228101            0.0812569             0.810846          0.0622496            0.0788765
      8          0.087888              0.825725          0.0643693           0.238819            0.0846068             0.794243          0.0622687            0.19012
      9          0.0913351             0.814677          0.065781            0.804894            0.0878756             0.773504          0.0638339            0.274027
     10          0.094677              0.823471          0.0710768           0.579431            0.0910527             0.739125          0.0645523            0.570359
     11          0.0981974             0.857934          0.0706096           0.831606            0.094035              0.727833          0.0685869            1.17895
     12          0.101826              0.902015          0.0780068           1.0297              0.0971179             0.745833          0.0743769            0.329481
     13          0.105714              0.941919          0.0791904           0.90273             0.10025               0.776019          0.0713326            0.891287
     14          0.109676              0.957364          0.0855296           0.771366            0.103585              0.820349          0.0818043            0.971282
     15          0.113692              0.954671          0.0856184           0.941424            0.107087              0.847014          0.0794266            0.452352
     16          0.117631              0.942359          0.0933748           0.740091            0.110643              0.852324          0.0855739            1.02053
     17          0.121545              0.938786          0.0917858           0.792087            0.114189              0.85484           0.0879311            1.26845
     18          0.125455              0.951483          0.0999755           0.90163             0.117767              0.848523          0.0961443            1.33006
     19          0.129474              0.980998          0.0992994           0.972204            0.12126               0.851933          0.0990148            1.03691
     20          0.13363               0.980449          0.108077            1.24538             0.124866              0.87189           0.104785             0.483601
     21          0.137645              0.992651          0.109678            0.676278            0.128526              0.902356          0.103045             1.05485
     22          0.141902              1.03805           0.113713            0.797638            0.132386              0.946238          0.113576             1.08426
     23          0.146295              1.05245           0.116325            0.942139            0.136411              0.976369          0.11208              0.602111
     24          0.150672              1.04212           0.121564            0.49682             0.140522              1.00097           0.118593             0.761597
     25          0.154979              1.01645           0.120465            0.51254             0.144753              0.995431          0.118427             0.664217
     26          0.159142              1.00205           0.125835            0.829243            0.148818              0.986207          0.124128             1.30747
     27          0.16333               0.988144          0.127375            0.590974            0.152971              0.994704          0.129323             0.841088
     28          0.167377              0.947196          0.13076             0.418276            0.157107              0.984978          0.131137             0.52575
     29          0.171223              0.938511          0.130861            0.97039             0.161179              0.970835          0.133704             0.57321
     30          0.175198              0.931641          0.138847            0.54332             0.165197              0.955406          0.135914             0.399917
     31          0.178987              0.899597          0.135388            0.245634            0.169141              0.943331          0.137036             0.76305
     32          0.182695              0.867388          0.140893            0.588445            0.173058              0.946741          0.142273             0.462246
     33          0.186215              0.831771          0.140292            0.393543            0.17703               0.939865          0.140889             0.630565
     34          0.189626              0.800716          0.144173            0.366665            0.18089               0.911188          0.147528             0.329928
     35          0.192888              0.765594          0.143348            0.840071            0.184624              0.892126          0.143638             0.246077
     36          0.196006              0.721733          0.151174            0.486927            0.188325              0.880554          0.149578             0.809728
     37          0.198902              0.670726          0.147405            0.0299554           0.191962              0.858026          0.150386             0.570024
     38          0.201595              0.624557          0.151423            0.0888219           0.195475              0.826554          0.154329             0.715758
     39          0.204107              0.563931          0.148146            0.697659            0.19885               0.806374          0.15635              0.862498
     40          0.206295              0.502811          0.157237            0.709421            0.202195              0.788932          0.161516             0.421662
     41          0.208297              0.464666          0.154057           -0.0456202           0.205424              0.763106          0.159864             0.49288
     42          0.210167              0.430478          0.156857            0.380681            0.208554              0.721572          0.165623             0.866859
     43          0.211884              0.409977          0.15723             0.740146            0.211437              0.626037          0.167088             0.694795
     44          0.213583              0.407833          0.163025            1.39081             0.213771              0.5428            0.171413             0.699491
     45        nan                   nan               nan                 nan                   0.21596               0.496402          0.172917             0.623353
     46        nan                   nan               nan                 nan                   0.217908              0.438488          0.176608             0.378842
     47        nan                   nan               nan                 nan                   0.219615              0.370848          0.176074             0.510657
     48        nan                   nan               nan                 nan                   0.220998              0.292978          0.180863             0.570303
     49        nan                   nan               nan                 nan                   0.222056              0.21617           0.180827             0.578744
     50        nan                   nan               nan                 nan                   0.222799              0.178436          0.185686             1.16632
