  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0622304            0.134078           0.0618485          0                    0.0618688            0.194198           0.0614822           0
      1          0.0627891            0.185858           0.0618485          0                    0.0626779            0.256827           0.0614822           0
      2          0.0637792            0.285067           0.0618485          0                    0.064009             0.318755           0.0614822           0
      3          0.0651646            0.303245           0.0618485          0                    0.0653342            0.324041           0.0614822           0
      4          0.0663063            0.304292           0.0618485          0                    0.0667094            0.336233           0.0614822           0
      5          0.0677004            0.347699           0.0618485          0                    0.0681362            0.358296           0.0614822           0
      6          0.0692038            0.370449           0.0618485          0                    0.0696952            0.397189           0.0614822           0.0121913
      7          0.0707875            0.384606           0.0618485          0.000330512          0.0714461            0.430419           0.0615838           0.0973689
      8          0.0724088            0.383725           0.0618513          0.0586109            0.073282             0.442934           0.0622936           0.224677
      9          0.0739852            0.378326           0.0623369          0.233011             0.0751372            0.441801           0.0634561           0.338876
     10          0.0755615            0.370394           0.063793           0.488497             0.0769637            0.472118           0.0651176           0.419037
     11          0.0770718            0.465361           0.0664077          0.706415             0.0790715            0.526062           0.0669481           0.479616
     12          0.0794396            0.682783           0.0696798          0.898773             0.0813475            0.567652           0.0691144           0.528057
     13          0.0827617            0.872553           0.0738975          0.893595             0.0838019            0.64107            0.0713485           0.587719
     14          0.0867108            0.986139           0.0771264          0.837628             0.0866897            0.696255           0.074012            0.628285
     15          0.0909795            0.989995           0.0808777          0.926757             0.0896041            0.676619           0.0765842           0.652075
     16          0.0949608            0.928629           0.0848494          0.930007             0.0923282            0.652506           0.079446            0.678507
     17          0.0987181            0.852391           0.0886278          0.9099               0.0950416            0.645925           0.0822385           0.691777
     18          0.102064             0.802153           0.0924319          0.885938             0.097711             0.633086           0.0852108           0.710388
     19          0.105403             0.772077           0.0960106          0.839556             0.100317             0.636161           0.0881584           0.739841
     20          0.108498             0.748721           0.0994282          0.833001             0.103012             0.644199           0.0913761           0.757589
     21          0.111642             0.72911            0.102952           0.831128             0.105686             0.644091           0.0944716           0.753166
     22          0.114574             0.684877           0.106354           0.807387             0.10838              0.665507           0.0976525           0.756564
     23          0.117349             0.64863            0.109681           0.771471             0.111232             0.696524           0.100776            0.766598
     24          0.119979             0.605333           0.112783           0.743598             0.114184             0.704832           0.104041            0.744804
     25          0.122394             0.56749            0.115877           0.708068             0.117105             0.68347            0.106983            0.71055
     26          0.124708             0.546061           0.118684           0.666643             0.11988              0.642688           0.109962            0.699545
     27          0.126944             0.532896           0.121433           0.643563             0.122461             0.611131           0.112813            0.68196
     28          0.129149             0.526782           0.124047           0.601147             0.124972             0.596674           0.115645            0.689188
     29          0.131334             0.510752           0.126442           0.574981             0.127433             0.57391            0.118556            0.681744
     30          0.133405             0.475111           0.128838           0.566553             0.129755             0.549096           0.121326            0.649
     31          0.135293             0.446632           0.131163           0.513616             0.132009             0.54861            0.123964            0.646788
     32          0.137127             0.434789           0.133118           0.485247             0.134327             0.548017           0.126716            0.635352
     33          0.138917             0.406695           0.135207           0.482934             0.136576             0.539655           0.129259            0.621812
     34          0.140516             0.367364           0.137143           0.449221             0.138824             0.531456           0.131898            0.617335
     35          0.141978             0.350674           0.138951           0.420522             0.141005             0.51004            0.134403            0.591388
     36          0.143439             0.324783           0.140647           0.364059             0.143074             0.490189           0.136826            0.572885
     37          0.144685             0.29377            0.141984           0.293936             0.145089             0.478321           0.139177            0.543593
     38          0.145887             0.271571           0.143097           0.279944             0.14706              0.460681           0.141356            0.498119
     39          0.146948             0.239071           0.144317           0.265952             0.148928             0.432631           0.143328            0.478267
     40          0.147879             0.222049           0.145313           0.241219             0.150665             0.399185           0.145342            0.457607
     41          0.148798             0.218248           0.146327           0.250473             0.152255             0.38079            0.147142            0.441262
     42          0.149698             0.20343            0.1474             0.22585              0.153839             0.35986            0.149019            0.422004
     43          0.150493             0.175612           0.14821            0.178972             0.155254             0.32388            0.150658            0.376259
     44          0.151161             0.172362           0.148892           0.179138             0.156538             0.310717           0.152154            0.362557
     45          0.15193              0.167074           0.149702           0.171591             0.157843             0.301439           0.15368             0.362234
     46          0.152553             0.158921           0.150322           0.160354             0.15905              0.277919           0.155173            0.306294
     47          0.153254             0.146968           0.151039           0.154459             0.160159             0.262329           0.156232            0.261574
     48          0.153778             0.119976           0.151609           0.153303             0.161236             0.245067           0.157353            0.263516
     49          0.154254             0.127137           0.152316           0.140358             0.162201             0.231959           0.158428            0.242101
     50          0.154838             0.123226           0.152778           0.128459             0.163169             0.216801           0.15937             0.225809
     51          0.155281             0.0972808          0.153387           0.125485             0.164008             0.198514           0.16031             0.212647
     52          0.155648             0.0959587          0.153824           0.110391             0.164823             0.189451           0.161142            0.198622
     53          0.15608              0.0781111          0.154307           0.111934             0.165587             0.171919           0.161965            0.169438
     54          0.156299             0.0686915          0.154757           0.106094             0.166256             0.155898           0.162554            0.148184
     55          0.156653             0.0800391          0.155191           0.104662             0.166886             0.146782           0.1632              0.154603
     56          0.156966             0.0674245          0.155629           0.101577             0.167479             0.13815            0.163843            0.14608
     57          0.157215             0.0775602          0.156037           0.106921             0.168037             0.12925            0.164417            0.120565
     58          0.157613             0.0843357          0.15652            0.0951876            0.168556             0.107079           0.164847            0.106539
     59          0.157917             0.061255           0.15683            0.0842256            0.16893              0.102871           0.165305            0.101091
     60          0.158123             0.0462166          0.157222           0.0734288            0.169413             0.0966136          0.16569             0.0845302
     61          0.158303             0.0436276          0.157442           0.0777806            0.169735             0.0896009          0.166009            0.0939164
     62          0.158487             0.0520006          0.15787            0.0814713            0.17016              0.0968834          0.166472            0.107079
     63          0.158736             0.0522209          0.158121           0.0440683            0.170542             0.0893851          0.166902            0.103087
     64          0.158922             0.0437929          0.158237           0.0489709            0.170905             0.0887378          0.167331            0.0893851
     65          0.159101             0.0539286          0.158529           0.0673143            0.171282             0.0751979          0.167647            0.0647867
     66          0.159371             0.0676449          0.158798           0.0968952            0.171531             0.0715297          0.167871            0.0737953
     67          0.159665             0.0577846          0.159337           0.0936452            0.171878             0.0812936          0.168262            0.0794055
     68          0.159853             0.0283139          0.159579           0.0538735            0.172209             0.0767623          0.168533            0.0647328
     69          0.1599               0.0468226          0.159786           0.0686364            0.172517             0.0711521          0.168801            0.0657037
     70          0.160243             0.0516701          0.160151           0.0699584            0.172802             0.065434           0.169081            0.0601475
     71          0.160331             0.0280385          0.160369           0.0636236            0.173063             0.0715297          0.169302            0.0687786
     72          0.160477             0.0429115          0.160681           0.0667084            0.173398             0.0794595          0.169654            0.0655419
     73          0.160689             0.0488607          0.160925           0.0536532            0.173725             0.0706126          0.169848            0.0357109
     74          0.160884             0.0414242          0.161128           0.0575642            0.173986             0.0588529          0.169951            0.0402961
     75          0.161034             0.0440132          0.161404           0.0680305            0.174215             0.0550768          0.170184            0.0589068
     76          0.161251             0.0441234          0.161695           0.0469328            0.174445             0.0595541          0.170442            0.0514625
     77          0.161402             0.0443437          0.161795           0.0506235            0.174711             0.0655419          0.170613            0.0565333
