  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0617118            0.14486                  nan                  nan          0.0605572             0.13459                 nan                  nan
      1          0.0623153            0.404352                 nan                  nan          0.061118              0.38629                 nan                  nan
      2          0.0650814            0.777935                 nan                  nan          0.0637763             0.7822                  nan                  nan
      3          0.0687981            0.97299                  nan                  nan          0.0676363             0.996933                nan                  nan
      4          0.0731896            1.10827                  nan                  nan          0.0720841             1.15522                 nan                  nan
      5          0.0780337            1.22233                  nan                  nan          0.0772632             1.28362                 nan                  nan
      6          0.0833757            1.34348                  nan                  nan          0.0827809             1.35778                 nan                  nan
      7          0.0892294            1.45514                  nan                  nan          0.088578              1.4267                  nan                  nan
      8          0.0955019            1.55949                  nan                  nan          0.0946701             1.47928                 nan                  nan
      9          0.102225             1.66471                  nan                  nan          0.100905              1.53763                 nan                  nan
     10          0.109374             1.75691                  nan                  nan          0.107484              1.60508                 nan                  nan
     11          0.116866             1.82358                  nan                  nan          0.114281              1.64167                 nan                  nan
     12          0.124571             1.85111                  nan                  nan          0.121164              1.67675                 nan                  nan
     13          0.132292             1.84852                  nan                  nan          0.128254              1.71393                 nan                  nan
     14          0.139975             1.81848                  nan                  nan          0.135447              1.7338                  nan                  nan
     15          0.147446             1.73981                  nan                  nan          0.142702              1.73518                 nan                  nan
     16          0.154474             1.62831                  nan                  nan          0.149907              1.72238                 nan                  nan
     17          0.161015             1.48173                  nan                  nan          0.157055              1.71021                 nan                  nan
     18          0.166821             1.25621                  nan                  nan          0.164159              1.6854                  nan                  nan
     19          0.171484             1.17858                  nan                  nan          0.1711                1.66356                 nan                  nan
     20          0.176643             1.209                    nan                  nan          0.178022              1.62428                 nan                  nan
     21          0.181559             1.26103                  nan                  nan          0.184636              1.578                   nan                  nan
     22          0.187151             1.35351                  nan                  nan          0.191172              1.20648                 nan                  nan
     23          0.192838             1.35296                  nan                  nan          0.19469               1.09424                 nan                  nan
     24          0.198426             1.3159                   nan                  nan          0.20029               1.58282                 nan                  nan
     25          0.203804             1.24565                  nan                  nan          0.20788               0.83835                 nan                  nan
     26          0.208807             0.650017                 nan                  nan          0.207276             -0.429029                nan                  nan
     27          0.20922              0.82415                  nan                  nan          0.204305              0.347656                nan                  nan
     28          0.215674             0.622992                 nan                  nan          0.210174              0.339905                nan                  nan
     29          0.214412             0.0174617                nan                  nan          0.207137             -0.72868                 nan                  nan
     30          0.21582              0.325279                 nan                  nan        nan                   nan                       nan                  nan
     31          0.217123             0.219846                 nan                  nan        nan                   nan                       nan                  nan
     32          0.217652             0.172583                 nan                  nan        nan                   nan                       nan                  nan
     33          0.218561             0.214117                 nan                  nan        nan                   nan                       nan                  nan
     34          0.219436             0.188888                 nan                  nan        nan                   nan                       nan                  nan
     35          0.220135             0.185417                 nan                  nan        nan                   nan                       nan                  nan
     36          0.220981             0.203155                 nan                  nan        nan                   nan                       nan                  nan
