TestCode                               N    rpm         G    r_0    H_p0    H_f0    d_p    rho_p     phi_p  IF      C_m        C_v    rho_f        mu_f    sigma_f
20211126_08g_020k_050_050_001    1            0    9.81    0.054    0.05    0.05  0.008  2632.25  0.60636   k     0.2    0.0862069  1330     0.108301    0.0989551
20211126_04g_020k_050_050_030   28.0783     116  275.448   0.054    0.05    0.05  0.004  2661.87  0.600609  k     0.2    0.0862069  1330     0.0317778   0.0989551
20211126_08g_020k_050_050_005    4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   k     0.2    0.0862069  1330     0.0617495   0.0989551
20211129_04g_020k_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.004  2661.87  0.600609  k     0.2    0.0862069  1330     0.0410105   0.0989551
20220411_08g_500g_050_050_005    4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.784  0.742312   1203.84  0.0524632   0.0653656
20220411_00g_500g_000_050_005    4.60947     47   45.2189  0.054    0       0.05  0      2671.94  0.603083  g     0.784  0.742312   1203.84  0.0524632   0.0653656
20220411_08g_1000g_050_050_005   4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.845  0.812266   1219.7   0.10529     0.0648105
20220411_00g_1000g_000_050_005   4.60947     47   45.2189  0.054    0       0.05  0      2671.94  0.603083  g     0.845  0.812266   1219.7   0.10529     0.0648105
20220411_08g_1500g_050_050_005   4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.875  0.847458   1227.5   0.156765    0.0645375
20220411_00g_1500g_000_050_005   4.60947     47   45.2189  0.054    0       0.05  0      2671.94  0.603083  g     0.875  0.847458   1227.5   0.156765    0.0645375
20220412_08g_020k_050_050_005    4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   k     0.2    0.0862069  1330     0.0617495   0.0989551
20220412_00g_020k_000_050_005    4.60947     47   45.2189  0.054    0       0.05  0      2671.94  0.603083  k     0.2    0.0862069  1330     0.0617495   0.0989551
20220412_04g_020k_050_050_005    4.60947     47   45.2189  0.054    0.05    0.05  0.004  2661.87  0.600609  k     0.2    0.0862069  1330     0.0617495   0.0989551
20220412_08g_020k_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.008  2632.25  0.60636   k     0.2    0.0862069  1330     0.0410105   0.0989551
20220412_04g_020k_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.004  2661.87  0.600609  k     0.2    0.0862069  1330     0.0410105   0.0989551
20220413_08g_1000g_050_050_015  14.0308      82  137.642   0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.845  0.812266   1219.7   0.10529     0.0648105
20220413_08g_010k_050_050_005    4.60947     47   45.2189  0.054    0.05    0.05  0.008  2632.25  0.60636   k     0.1    0.0402414  1165     0.0166729   0.0925886
20220606_08g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.008  2632.25  0.60636   w     0      0          1000     0.00104792  0.0725
20220606_06g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.006  2671.94  0.603083  w     0      0          1000     0.00104792  0.0725
20220606_04g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.004  2661.87  0.600609  w     0      0          1000     0.00104792  0.0725
20220606_02g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.002  2632.25  0.60636   w     0      0          1000     0.00104792  0.0725
20220608_08g_310g_050_050_001    1            0    9.81    0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.734  0.68652    1190.84  0.0323584   0.0658206
20220608_06g_310g_050_050_001    1            0    9.81    0.054    0.05    0.05  0.006  2671.94  0.603083  g     0.734  0.68652    1190.84  0.0323584   0.0658206
20220608_04g_310g_050_050_001    1            0    9.81    0.054    0.05    0.05  0.004  2661.87  0.600609  g     0.734  0.68652    1190.84  0.0323584   0.0658206
20220608_02g_310g_050_050_001    1            0    9.81    0.054    0.05    0.05  0.002  2632.25  0.60636   g     0.734  0.68652    1190.84  0.0323584   0.0658206
